,Equatorial_Guinea
0,-0.11669922
1,-0.083496094
2,-0.02709961
3,-0.24804688
4,-0.265625
5,-0.33007812
6,-0.37695312
7,0.059814453
8,-0.29101562
9,0.030273438
10,0.23925781
11,0.20214844
12,-0.025390625
13,0.30859375
14,0.19628906
15,0.46875
16,0.035888672
17,0.02355957
18,-0.13378906
19,0.62890625
20,0.140625
21,-0.69140625
22,0.13574219
23,-0.08642578
24,0.34765625
25,-0.13769531
26,-0.080078125
27,-0.41796875
28,-0.10449219
29,0.34960938
30,-0.14941406
31,-0.23046875
32,-0.41992188
33,-0.43164062
34,-0.1875
35,0.40625
36,-0.265625
37,-0.008911133
38,0.44921875
39,-0.006713867
40,0.023925781
41,0.20898438
42,0.12890625
43,0.47851562
44,0.36132812
45,0.18359375
46,-0.421875
47,0.0075683594
48,-0.14550781
49,0.053222656
50,-0.05078125
51,-0.41210938
52,0.12890625
53,-0.15234375
54,-0.14257812
55,-0.0025482178
56,-0.65625
57,-0.095214844
58,-0.14746094
59,-0.10107422
60,0.075683594
61,-0.10888672
62,0.001701355
63,0.25390625
64,0.10058594
65,-0.41015625
66,-0.14746094
67,-0.09082031
68,-0.038085938
69,0.04248047
70,-0.23144531
71,-0.22558594
72,-0.06933594
73,-0.095214844
74,0.18457031
75,0.16113281
76,0.055419922
77,-0.037353516
78,-0.049560547
79,0.53515625
80,-0.3984375
81,-0.01373291
82,-0.037841797
83,0.037841797
84,0.29296875
85,-0.32421875
86,-0.34765625
87,0.24707031
88,-0.18652344
89,0.2109375
90,0.546875
91,-0.25585938
92,-0.23632812
93,0.3046875
94,0.029785156
95,-0.25195312
96,0.37109375
97,-0.34570312
98,-0.032226562
99,-0.024780273
100,0.09863281
101,0.29101562
102,0.026977539
103,-0.40625
104,-0.03491211
105,0.37695312
106,0.07470703
107,0.0146484375
108,-0.037597656
109,0.296875
110,0.048583984
111,0.0009765625
112,-0.012512207
113,0.1640625
114,-0.20410156
115,-0.03149414
116,0.26171875
117,0.027709961
118,0.08300781
119,0.10888672
120,-0.21386719
121,-0.107910156
122,0.000289917
123,-0.048828125
124,-0.026855469
125,0.21972656
126,-0.11669922
127,-0.032714844
128,-0.38476562
129,-0.16992188
130,0.09863281
131,0.27148438
132,-0.22167969
133,0.115722656
134,-0.11767578
135,-0.03930664
136,0.026123047
137,0.16503906
138,-0.18164062
139,0.43359375
140,-0.032470703
141,-0.16992188
142,0.091796875
143,0.23925781
144,0.059326172
145,0.14453125
146,0.05126953
147,-0.13085938
148,-0.072753906
149,-0.07373047
150,0.27734375
151,0.06982422
152,-0.3828125
153,0.049560547
154,0.5546875
155,-0.012573242
156,-0.24023438
157,0.4375
158,-0.13574219
159,0.38085938
160,-0.16210938
161,0.51953125
162,-0.092285156
163,0.09716797
164,0.19726562
165,-0.041992188
166,0.0063476562
167,-0.0546875
168,-0.010620117
169,0.46679688
170,0.0038604736
171,0.5234375
172,-0.096191406
173,0.00061416626
174,-0.29101562
175,-0.39257812
176,0.016113281
177,-0.74609375
178,-0.053710938
179,-0.2890625
180,-0.18945312
181,0.047851562
182,-0.46289062
183,-0.057617188
184,-0.028198242
185,0.057861328
186,0.25585938
187,-0.06689453
188,0.08691406
189,-0.20605469
190,-0.25976562
191,-0.115722656
192,-0.15625
193,0.026977539
194,0.012634277
195,0.53125
196,-0.026245117
197,-0.23632812
198,-0.49609375
199,-0.29296875
200,0.16796875
201,-0.07128906
202,-0.1484375
203,-0.049316406
204,0.012756348
205,-0.2265625
206,-0.16113281
207,0.075683594
208,-0.38867188
209,-0.17773438
210,-0.06689453
211,0.032958984
212,0.26757812
213,0.18457031
214,-0.0011749268
215,0.34765625
216,-0.1796875
217,-0.0390625
218,-0.021972656
219,-0.06591797
220,-0.33984375
221,0.15234375
222,-0.052978516
223,-0.1328125
224,0.13769531
225,0.2890625
226,0.28125
227,0.171875
228,0.27539062
229,0.0043640137
230,0.123046875
231,-0.19921875
232,-0.2890625
233,-0.125
234,0.03857422
235,0.58203125
236,0.1015625
237,0.34375
238,0.13867188
239,-0.20507812
240,-0.038085938
241,-0.075683594
242,-0.19824219
243,0.018188477
244,0.016479492
245,-0.23144531
246,-0.21777344
247,-0.16992188
248,-0.29101562
249,-0.033691406
250,0.2265625
251,0.032470703
252,0.203125
253,0.23535156
254,0.20800781
255,0.375
256,0.055664062
257,0.0095825195
258,-0.114746094
259,-0.18164062
260,-0.00592041
261,0.44726562
262,-0.15332031
263,0.22460938
264,0.38476562
265,-0.01977539
266,-0.734375
267,-0.123046875
268,-0.35742188
269,0.27148438
270,-0.2109375
271,0.15136719
272,-0.13183594
273,-0.26367188
274,0.07470703
275,0.103027344
276,-0.20507812
277,-0.03955078
278,-0.06542969
279,0.06591797
280,-0.009887695
281,-0.3203125
282,-0.06225586
283,-0.087402344
284,-0.16015625
285,-0.38671875
286,-0.12011719
287,0.072753906
288,0.18066406
289,0.028076172
290,-0.19824219
291,0.0034637451
292,0.045898438
293,-0.171875
294,0.18066406
295,0.24023438
296,-0.0054626465
297,-0.07470703
298,-0.00038146973
299,0.0154418945
