,Türkiye
0,0.16796875
1,-0.08642578
2,-0.010925293
3,-0.12792969
4,-0.029052734
5,-0.033935547
6,0.27929688
7,-0.21777344
8,0.036621094
9,0.27148438
10,-0.17480469
11,0.099609375
12,-0.048339844
13,0.29492188
14,-0.10644531
15,0.056640625
16,-0.265625
17,-0.008544922
18,0.0625
19,0.12451172
20,0.12402344
21,0.16601562
22,0.22265625
23,0.203125
24,-0.08300781
25,0.17382812
26,0.08203125
27,0.061767578
28,-0.15429688
29,-0.036865234
30,0.044677734
31,-0.21386719
32,0.13769531
33,0.16113281
34,-0.049316406
35,-0.072753906
36,-0.056396484
37,0.10546875
38,0.13378906
39,-0.30664062
40,0.09472656
41,0.06347656
42,-0.027832031
43,0.059814453
44,0.099609375
45,-0.14355469
46,-0.44335938
47,-0.3828125
48,-0.017944336
49,0.13476562
50,-0.26367188
51,0.13574219
52,0.15429688
53,0.29492188
54,-0.15332031
55,0.32421875
56,-0.07421875
57,0.14160156
58,0.092285156
59,-0.14257812
60,-0.055664062
61,-0.016479492
62,-0.13769531
63,0.12890625
64,0.12207031
65,-0.24804688
66,0.35546875
67,-0.2734375
68,-0.0063476562
69,-0.0007324219
70,-0.22460938
71,0.10107422
72,0.0067443848
73,-0.072753906
74,-0.33007812
75,0.052246094
76,0.1015625
77,-0.13476562
78,0.23144531
79,-0.056396484
80,-0.11328125
81,-0.32226562
82,-0.017700195
83,-0.05053711
84,-0.048095703
85,0.22265625
86,-0.16796875
87,0.32226562
88,-0.11767578
89,0.15722656
90,-0.18261719
91,-0.37109375
92,-0.1875
93,0.17675781
94,-0.23925781
95,-0.10986328
96,-0.0154418945
97,-0.16308594
98,0.2734375
99,0.103515625
100,0.072753906
101,-0.18261719
102,-0.09765625
103,0.0146484375
104,0.23535156
105,0.21777344
106,-0.0002975464
107,0.072265625
108,-0.00793457
109,0.24511719
110,-0.14746094
111,-0.25
112,0.296875
113,-0.44726562
114,0.21484375
115,-0.03515625
116,-0.07910156
117,0.2109375
118,0.15332031
119,-0.07519531
120,-0.025634766
121,0.01928711
122,-0.20507812
123,0.08886719
124,-0.078125
125,-0.05419922
126,-0.24902344
127,0.091796875
128,-0.41796875
129,-0.1484375
130,-0.31835938
131,0.13085938
132,-0.015625
133,-0.1171875
134,-0.14941406
135,-0.032226562
136,-0.011657715
137,-0.017700195
138,0.18359375
139,-0.051513672
140,0.16308594
141,-0.011169434
142,-0.041503906
143,-0.08642578
144,-0.16992188
145,-0.052001953
146,-0.19824219
147,0.2109375
148,0.109375
149,-0.3125
150,0.05810547
151,0.029174805
152,-0.23730469
153,-0.19042969
154,0.16992188
155,-0.35546875
156,-0.22460938
157,0.16113281
158,-0.006958008
159,-0.31640625
160,-0.020751953
161,-0.057861328
162,-0.1171875
163,-0.061523438
164,0.27929688
165,0.16699219
166,0.12207031
167,0.1328125
168,-0.18066406
169,0.20214844
170,-0.27929688
171,0.048583984
172,0.08251953
173,-0.16503906
174,0.0625
175,0.23242188
176,0.23046875
177,-0.118652344
178,0.119628906
179,-0.51953125
180,0.10205078
181,-0.049316406
182,-0.25585938
183,0.026367188
184,0.16015625
185,0.13378906
186,0.064941406
187,-0.12109375
188,-0.2734375
189,0.14550781
190,-0.39453125
191,0.08544922
192,-0.27539062
193,0.11279297
194,0.16796875
195,-0.0069885254
196,-0.140625
197,0.080566406
198,0.06201172
199,-0.21679688
200,-0.24902344
201,0.18945312
202,0.08691406
203,-0.08496094
204,-0.024169922
205,-0.24804688
206,0.23828125
207,-0.036132812
208,0.072753906
209,0.25390625
210,0.29296875
211,-0.11669922
212,-0.16992188
213,0.18164062
214,0.0077209473
215,0.30078125
216,0.27929688
217,-0.036132812
218,0.035888672
219,-0.083984375
220,0.0009613037
221,0.10498047
222,-0.20898438
223,-0.033447266
224,0.083984375
225,-0.10449219
226,-0.08984375
227,0.046142578
228,-0.10498047
229,-0.28320312
230,0.018554688
231,-0.092285156
232,0.12988281
233,0.046142578
234,-0.14941406
235,0.044189453
236,0.0010070801
237,0.24414062
238,0.1796875
239,-0.03930664
240,-0.29296875
241,-0.18847656
242,-0.12890625
243,0.29882812
244,0.26757812
245,0.0390625
246,-0.12402344
247,0.49804688
248,-0.07421875
249,-0.11767578
250,0.38476562
251,-0.091308594
252,0.012573242
253,0.21386719
254,0.14453125
255,0.18359375
256,-0.08984375
257,0.08203125
258,0.09326172
259,0.024902344
260,0.234375
261,0.04663086
262,0.20605469
263,-0.05029297
264,0.20019531
265,0.018188477
266,-0.060546875
267,-0.12158203
268,0.119140625
269,0.111328125
270,-0.032470703
271,-0.059814453
272,-0.0006980896
273,0.096191406
274,0.13378906
275,0.06542969
276,0.024291992
277,-0.017700195
278,-0.08544922
279,0.07080078
280,-0.24414062
281,0.18066406
282,-0.14746094
283,0.04296875
284,0.099609375
285,-0.08544922
286,-0.06542969
287,0.14648438
288,0.0015258789
289,0.044433594
290,-0.04345703
291,0.0625
292,-0.080566406
293,0.15234375
294,-0.16113281
295,0.13574219
296,-0.13964844
297,0.1640625
298,-0.068359375
299,0.26367188
