,Tristan_da_Cunha
0,-0.00982666
1,0.064453125
2,-0.515625
3,0.33789062
4,0.20800781
5,0.11816406
6,0.03149414
7,0.011291504
8,0.34179688
9,0.0070495605
10,0.44335938
11,-0.24414062
12,-0.07714844
13,-0.3515625
14,0.16308594
15,0.13476562
16,-0.00074005127
17,0.10986328
18,-0.26367188
19,0.31054688
20,0.41992188
21,-0.4140625
22,0.12011719
23,0.14550781
24,0.19921875
25,0.13574219
26,-0.080078125
27,0.30078125
28,0.13964844
29,-0.03540039
30,-0.024047852
31,-0.05493164
32,-0.546875
33,-0.07373047
34,0.091308594
35,-0.045898438
36,-0.32617188
37,0.21289062
38,-0.14453125
39,-0.059814453
40,-0.061767578
41,0.21484375
42,-0.092285156
43,0.41601562
44,-0.000869751
45,0.22363281
46,-0.107421875
47,-0.31835938
48,-0.12988281
49,-0.18164062
50,-0.17675781
51,-0.0625
52,0.39257812
53,-0.15136719
54,-0.029174805
55,0.08886719
56,-0.40234375
57,-0.18359375
58,-0.020141602
59,-0.3359375
60,0.18164062
61,-0.27148438
62,0.104003906
63,-0.24414062
64,0.022949219
65,-0.16503906
66,-0.10546875
67,-0.059814453
68,-0.30078125
69,-0.10107422
70,0.092285156
71,-0.53515625
72,0.029296875
73,-0.040771484
74,-0.34375
75,-0.25976562
76,0.08984375
77,-0.45898438
78,-0.12060547
79,-0.080078125
80,-0.119140625
81,0.06933594
82,-0.16113281
83,-0.2734375
84,0.014343262
85,-0.08984375
86,-0.12011719
87,-0.24414062
88,0.17578125
89,0.20605469
90,0.48828125
91,-0.15039062
92,0.07763672
93,0.014526367
94,-0.12988281
95,0.33789062
96,0.46875
97,-0.44726562
98,0.13574219
99,-0.06982422
100,0.23242188
101,0.012145996
102,0.0625
103,-0.18554688
104,-0.038330078
105,-0.08642578
106,-0.17578125
107,0.27929688
108,0.29882812
109,0.21679688
110,-0.23339844
111,0.20898438
112,0.13574219
113,0.29296875
114,-0.17480469
115,0.18164062
116,-0.0028533936
117,-0.20117188
118,0.25
119,0.18945312
120,-0.52734375
121,0.020751953
122,-0.46875
123,0.4296875
124,-0.14257812
125,0.14257812
126,-0.38085938
127,0.45703125
128,-0.50390625
129,0.30664062
130,-0.13378906
131,0.021484375
132,-0.35546875
133,0.30859375
134,-0.10546875
135,0.049804688
136,-0.4921875
137,-0.045410156
138,0.10058594
139,0.46289062
140,0.016601562
141,0.12011719
142,0.28710938
143,0.21679688
144,-0.09082031
145,0.08203125
146,-0.1796875
147,0.09765625
148,-0.23535156
149,-0.029418945
150,-0.0046081543
151,0.16210938
152,-0.22558594
153,0.28710938
154,0.37890625
155,-0.026855469
156,0.040527344
157,0.28515625
158,-0.110839844
159,-0.140625
160,-0.122558594
161,0.79296875
162,0.011169434
163,-0.04321289
164,0.013366699
165,-0.265625
166,-0.16210938
167,0.037597656
168,-0.36328125
169,0.036621094
170,0.17089844
171,0.32421875
172,0.33398438
173,0.20507812
174,-0.067871094
175,0.13085938
176,-0.13671875
177,-0.19042969
178,-0.0011291504
179,-0.041503906
180,-0.20605469
181,-0.15234375
182,-0.09326172
183,-0.125
184,-0.18945312
185,0.32421875
186,-0.09472656
187,-0.18261719
188,0.076660156
189,-0.006164551
190,-0.48046875
191,-0.18164062
192,-0.625
193,0.111328125
194,-0.21582031
195,0.4765625
196,0.51171875
197,0.11376953
198,-0.041015625
199,-0.07324219
200,0.13378906
201,0.1484375
202,0.014709473
203,-0.18261719
204,-0.34960938
205,0.16210938
206,0.33007812
207,-0.13867188
208,0.23144531
209,-0.40625
210,-0.07324219
211,-0.11767578
212,-0.02355957
213,0.10888672
214,-0.19335938
215,-0.048583984
216,0.6875
217,-0.29101562
218,0.41992188
219,-0.11621094
220,0.33789062
221,0.15527344
222,0.36132812
223,0.20410156
224,-0.010620117
225,0.107910156
226,0.028442383
227,0.053955078
228,0.24707031
229,-0.02709961
230,0.19921875
231,-0.0039367676
232,-0.15527344
233,-0.41015625
234,0.13183594
235,0.19433594
236,0.036132812
237,0.03515625
238,0.19824219
239,0.036865234
240,0.140625
241,-0.04248047
242,0.24707031
243,-0.13671875
244,0.11425781
245,0.23730469
246,0.20703125
247,-0.1875
248,0.3984375
249,0.045410156
250,-0.29101562
251,-0.09326172
252,0.16113281
253,0.34179688
254,0.061279297
255,-0.2890625
256,-0.11376953
257,-0.02709961
258,0.12890625
259,0.13769531
260,0.140625
261,-0.10546875
262,-0.4453125
263,-0.13378906
264,-0.24609375
265,-0.35546875
266,-0.25195312
267,-0.4609375
268,-0.08105469
269,-0.055664062
270,-0.23925781
271,0.14160156
272,0.33007812
273,0.39453125
274,-0.011230469
275,-0.17089844
276,-0.35546875
277,0.15332031
278,0.08154297
279,0.14550781
280,-0.049316406
281,0.01965332
282,0.08935547
283,-0.13671875
284,0.24804688
285,-0.23632812
286,-0.2109375
287,0.03149414
288,-0.20214844
289,0.056396484
290,0.16113281
291,-0.19335938
292,-0.16308594
293,0.44335938
294,0.31640625
295,0.27734375
296,-0.20605469
297,0.02331543
298,0.49414062
299,0.045654297
