,Antarctica
0,-0.17089844
1,-0.015991211
2,-0.23730469
3,0.122558594
4,-0.13085938
5,0.036621094
6,-0.23632812
7,-0.022949219
8,0.09863281
9,0.008911133
10,0.33984375
11,-0.06225586
12,-0.20605469
13,-0.29492188
14,0.12792969
15,0.328125
16,-0.115722656
17,0.16699219
18,0.22363281
19,0.17773438
20,0.049560547
21,-0.203125
22,-0.08691406
23,-0.38085938
24,0.26757812
25,-0.24707031
26,-0.35546875
27,0.023071289
28,0.21582031
29,-0.041259766
30,-0.01928711
31,-0.19921875
32,-0.33007812
33,-0.16992188
34,-0.030639648
35,-0.3515625
36,-0.12792969
37,-0.046142578
38,0.20800781
39,0.17773438
40,0.0703125
41,0.0043029785
42,-0.25976562
43,0.27734375
44,-0.10205078
45,0.096191406
46,0.0048828125
47,0.23730469
48,0.08886719
49,0.3125
50,-0.17578125
51,-0.32226562
52,-0.00982666
53,-0.09033203
54,-0.063964844
55,-0.044433594
56,-0.061035156
57,-0.21582031
58,0.032958984
59,-0.32226562
60,0.048095703
61,-0.111816406
62,0.3046875
63,-0.30078125
64,0.23925781
65,0.09326172
66,-0.06689453
67,-0.33789062
68,0.115234375
69,-0.16503906
70,-0.26757812
71,-0.28320312
72,0.04663086
73,-0.03857422
74,-0.5
75,-0.25195312
76,0.17285156
77,-0.16308594
78,-0.19921875
79,-0.092285156
80,0.14355469
81,0.084472656
82,0.088378906
83,-0.31640625
84,-0.03125
85,0.014953613
86,0.0011062622
87,0.12011719
88,0.13671875
89,0.42578125
90,-0.11230469
91,-0.09033203
92,-0.014587402
93,0.13671875
94,-0.041015625
95,-0.20507812
96,0.3671875
97,-0.091796875
98,0.44140625
99,-0.27539062
100,0.20800781
101,-0.037353516
102,-0.021240234
103,0.053710938
104,-0.016967773
105,0.123046875
106,-0.13183594
107,-0.059326172
108,-0.19042969
109,0.27734375
110,-0.27734375
111,-0.47070312
112,0.045166016
113,0.25585938
114,0.04638672
115,0.0062561035
116,0.015197754
117,-0.04663086
118,-0.14648438
119,0.107910156
120,-0.62890625
121,-0.36132812
122,-0.05029297
123,0.38867188
124,-0.0703125
125,-0.21972656
126,-0.13574219
127,0.22363281
128,-0.43359375
129,0.26757812
130,0.03881836
131,0.20605469
132,-0.31054688
133,0.27148438
134,0.040771484
135,0.16601562
136,-0.32421875
137,-0.061767578
138,-0.45117188
139,0.5859375
140,0.1328125
141,-0.15527344
142,0.27734375
143,0.100097656
144,0.064941406
145,0.052246094
146,0.18066406
147,0.064453125
148,0.14355469
149,-0.17382812
150,0.28125
151,-0.22753906
152,-0.123535156
153,0.033935547
154,0.051513672
155,-0.0625
156,0.13476562
157,-0.024536133
158,0.0234375
159,0.28320312
160,-0.25585938
161,0.10205078
162,0.21679688
163,0.21679688
164,0.3515625
165,-0.11425781
166,-0.049804688
167,0.004180908
168,-0.2890625
169,0.13085938
170,0.15722656
171,0.21679688
172,0.18457031
173,0.29882812
174,0.04663086
175,0.03491211
176,-0.47460938
177,0.023925781
178,0.05859375
179,-0.15625
180,-0.37695312
181,-0.109375
182,-0.29296875
183,-0.096191406
184,0.24414062
185,0.25
186,0.05883789
187,-0.009094238
188,0.23632812
189,0.07763672
190,-0.18066406
191,-0.26757812
192,0.36523438
193,0.032226562
194,-0.19726562
195,0.61328125
196,0.6015625
197,0.038330078
198,0.09277344
199,-0.20117188
200,0.24023438
201,0.068359375
202,-0.37890625
203,0.14160156
204,0.048095703
205,0.17480469
206,0.21582031
207,-0.25195312
208,-0.515625
209,0.05834961
210,-0.35742188
211,0.28710938
212,0.19140625
213,0.1328125
214,-0.37304688
215,-0.006866455
216,0.38476562
217,0.13964844
218,0.296875
219,-0.2890625
220,0.39257812
221,-0.23242188
222,0.30273438
223,-0.05493164
224,-0.33398438
225,0.20410156
226,0.07763672
227,0.22949219
228,-0.041992188
229,0.056152344
230,0.013916016
231,0.140625
232,-0.076660156
233,-0.17675781
234,0.5078125
235,0.041259766
236,0.10546875
237,-0.0062561035
238,-0.020385742
239,-0.05444336
240,0.08886719
241,-0.119628906
242,0.11621094
243,-0.100097656
244,0.0018310547
245,0.19238281
246,0.04638672
247,-0.1640625
248,-0.010070801
249,-0.02734375
250,-0.21777344
251,-0.111328125
252,0.092285156
253,0.20507812
254,0.20898438
255,0.13867188
256,0.2265625
257,-0.11669922
258,0.10449219
259,-0.31640625
260,0.16699219
261,-0.25585938
262,-0.203125
263,-0.060546875
264,-0.16796875
265,-0.014343262
266,-0.27148438
267,-0.096191406
268,0.19042969
269,-0.40820312
270,-0.17871094
271,0.03112793
272,0.13378906
273,0.08544922
274,0.047607422
275,-0.060058594
276,-0.11425781
277,0.032714844
278,-0.013793945
279,-0.32226562
280,0.05053711
281,-0.114746094
282,0.27734375
283,0.25585938
284,0.45117188
285,-0.0047302246
286,0.08300781
287,-0.021484375
288,0.026733398
289,0.07714844
290,0.0055236816
291,-0.24414062
292,-0.029296875
293,0.26757812
294,-0.013305664
295,0.03466797
296,0.059570312
297,0.36523438
298,0.24316406
299,-0.27929688
