,French_Polynesia
0,0.20898438
1,-0.10839844
2,-0.31835938
3,-0.071777344
4,-0.26171875
5,-0.40234375
6,-0.14648438
7,-0.35546875
8,0.16308594
9,0.059814453
10,0.056152344
11,-0.328125
12,0.075683594
13,-0.27734375
14,0.22167969
15,0.29882812
16,-0.06542969
17,0.12890625
18,0.092285156
19,0.36914062
20,0.14941406
21,-0.44726562
22,-0.037841797
23,0.055664062
24,-0.16894531
25,-0.08300781
26,-0.12695312
27,-0.13476562
28,0.15917969
29,0.111816406
30,-0.265625
31,-0.12451172
32,-0.453125
33,-0.19726562
34,0.33789062
35,-0.28710938
36,-0.31054688
37,-0.04711914
38,-0.29296875
39,0.14257812
40,-0.16992188
41,0.0015182495
42,-0.014953613
43,0.2890625
44,-0.14550781
45,0.10644531
46,-0.1640625
47,-0.0068969727
48,-0.328125
49,-0.059326172
50,-0.0051879883
51,-0.3203125
52,0.33007812
53,-0.052978516
54,-0.5234375
55,0.47851562
56,-0.29882812
57,-0.35351562
58,-0.064453125
59,-0.34960938
60,-0.21972656
61,0.012573242
62,0.15820312
63,0.25390625
64,0.20117188
65,0.080078125
66,-0.13769531
67,0.008850098
68,0.28710938
69,0.12402344
70,-0.21191406
71,0.23144531
72,-0.15234375
73,0.04296875
74,0.07324219
75,0.088378906
76,-0.09863281
77,0.095703125
78,0.09326172
79,0.4296875
80,-0.18847656
81,-0.2265625
82,-0.296875
83,-0.24511719
84,0.21679688
85,-0.09814453
86,-0.6328125
87,0.033203125
88,-0.118652344
89,0.38476562
90,-0.0054016113
91,0.21386719
92,-0.3515625
93,0.07421875
94,-0.44335938
95,-0.15234375
96,0.29296875
97,-0.31054688
98,0.28515625
99,-0.03881836
100,-0.04345703
101,0.18652344
102,0.16601562
103,-0.12988281
104,0.047607422
105,0.09423828
106,0.24316406
107,0.0077209473
108,0.07324219
109,0.4375
110,-0.32617188
111,0.171875
112,0.20800781
113,-0.024902344
114,0.07519531
115,0.15332031
116,0.064941406
117,-0.006072998
118,0.10839844
119,-0.02734375
120,-0.044433594
121,-0.08544922
122,-0.055419922
123,0.23046875
124,0.58984375
125,0.21582031
126,-0.1953125
127,-0.28320312
128,-0.359375
129,0.35546875
130,0.12890625
131,0.11816406
132,-0.035888672
133,0.032714844
134,-0.087890625
135,-0.2578125
136,-0.12695312
137,0.18066406
138,0.21582031
139,0.13867188
140,-0.037841797
141,-0.265625
142,0.04321289
143,0.15332031
144,0.088378906
145,0.19628906
146,-0.12597656
147,0.14160156
148,-0.024902344
149,0.16113281
150,0.056884766
151,-0.048828125
152,-0.2265625
153,0.0034637451
154,0.30273438
155,-0.45703125
156,-0.04345703
157,-0.024658203
158,0.328125
159,-0.08300781
160,-0.41601562
161,0.18359375
162,0.31054688
163,0.12792969
164,0.11767578
165,-0.44335938
166,-0.28515625
167,0.36328125
168,-0.07128906
169,0.16015625
170,0.14648438
171,0.080566406
172,0.2109375
173,0.060546875
174,0.068359375
175,-0.024902344
176,-0.125
177,-0.30664062
178,0.22558594
179,0.040771484
180,-0.20117188
181,-0.06982422
182,-0.44921875
183,-0.080566406
184,0.125
185,0.203125
186,-0.07324219
187,0.0051879883
188,0.13964844
189,-0.29882812
190,0.20019531
191,0.20117188
192,-0.103027344
193,-0.016845703
194,-0.125
195,0.33007812
196,0.36132812
197,0.1640625
198,0.34960938
199,-0.2890625
200,0.40625
201,-0.037353516
202,-0.07763672
203,-0.20898438
204,-0.26367188
205,0.19726562
206,-0.05078125
207,-0.26953125
208,0.06738281
209,-0.31640625
210,-0.028076172
211,-0.091796875
212,-0.040283203
213,0.3125
214,-0.024047852
215,-0.13378906
216,0.28125
217,-0.10205078
218,0.23828125
219,-0.13378906
220,0.25
221,-0.17285156
222,-0.005859375
223,0.13574219
224,0.04248047
225,0.11230469
226,0.34179688
227,0.61328125
228,0.15136719
229,0.31054688
230,0.15039062
231,-0.18945312
232,-0.06542969
233,-0.18359375
234,0.033691406
235,0.47070312
236,0.008178711
237,-0.021850586
238,-0.03149414
239,0.24121094
240,0.23242188
241,-0.20507812
242,0.2734375
243,0.091308594
244,0.3046875
245,-0.059814453
246,-0.53515625
247,-0.046142578
248,0.15136719
249,-0.28125
250,-0.4453125
251,0.30859375
252,0.16992188
253,0.16601562
254,-0.00970459
255,-0.11425781
256,0.234375
257,-0.29101562
258,0.03540039
259,0.21191406
260,0.15136719
261,0.11621094
262,-0.38867188
263,0.07080078
264,-0.21289062
265,-0.20214844
266,-0.26171875
267,0.033447266
268,0.022583008
269,-0.3359375
270,-0.27148438
271,0.24414062
272,0.032958984
273,-0.095214844
274,-0.2578125
275,0.28710938
276,-0.09667969
277,0.18847656
278,-0.05834961
279,0.14453125
280,-0.33398438
281,0.0049743652
282,0.24023438
283,-0.20703125
284,-0.02709961
285,0.15234375
286,-0.027832031
287,0.080078125
288,-0.22460938
289,0.15429688
290,0.22167969
291,0.11621094
292,-0.10107422
293,0.2890625
294,-0.014343262
295,0.091796875
296,-0.18164062
297,0.060302734
298,0.2734375
299,0.17285156
