,Lithuania
0,0.12402344
1,-0.16699219
2,0.13574219
3,0.061279297
4,0.10839844
5,-0.059570312
6,-0.016845703
7,-0.0703125
8,-0.23339844
9,0.13769531
10,-0.18164062
11,0.043701172
12,0.04321289
13,-0.04321289
14,-0.012451172
15,-0.036376953
16,-0.099121094
17,0.02319336
18,0.12158203
19,-0.15039062
20,0.42382812
21,-0.115234375
22,0.265625
23,0.06640625
24,-0.19238281
25,0.15527344
26,-0.099121094
27,-0.028930664
28,-0.27929688
29,0.18847656
30,-0.0032043457
31,-0.16601562
32,-0.025512695
33,-0.13867188
34,0.13378906
35,-0.28710938
36,-0.328125
37,0.10546875
38,0.005432129
39,-0.056640625
40,0.18457031
41,0.06201172
42,0.46875
43,-0.01965332
44,0.0703125
45,0.12402344
46,0.03491211
47,-0.05126953
48,-0.11621094
49,0.25585938
50,-0.11621094
51,0.24707031
52,-0.19433594
53,0.09423828
54,-0.15136719
55,-0.1015625
56,-0.515625
57,0.037841797
58,-0.15917969
59,-0.05883789
60,0.2421875
61,-0.13183594
62,0.03466797
63,-0.119140625
64,0.15527344
65,0.052001953
66,0.41015625
67,-0.21386719
68,0.111328125
69,-0.04272461
70,-0.27539062
71,-0.29296875
72,-0.032714844
73,-0.047607422
74,-0.21582031
75,-0.3046875
76,0.23632812
77,-0.067871094
78,0.21484375
79,0.34765625
80,-0.13378906
81,-0.33398438
82,0.16113281
83,-0.016845703
84,0.16113281
85,0.05053711
86,-0.21777344
87,0.0042419434
88,0.29882812
89,0.22363281
90,0.10449219
91,-0.076171875
92,-0.38671875
93,0.29101562
94,0.007659912
95,-0.30664062
96,-0.16601562
97,-0.16503906
98,-0.04638672
99,-0.23535156
100,0.02368164
101,0.020751953
102,-0.10888672
103,0.17382812
104,0.19140625
105,-0.02746582
106,0.10595703
107,-0.07373047
108,-0.15039062
109,-0.24023438
110,0.13769531
111,0.123046875
112,-0.32421875
113,-0.060791016
114,-0.111328125
115,0.08691406
116,0.06982422
117,0.10498047
118,0.3828125
119,0.08984375
120,-0.32617188
121,-0.09716797
122,0.034423828
123,-0.06298828
124,-0.012817383
125,0.23828125
126,-0.03125
127,0.037597656
128,-0.54296875
129,0.05810547
130,-0.31835938
131,0.28515625
132,-0.25585938
133,-0.044677734
134,-0.049560547
135,-0.118652344
136,-0.13964844
137,0.010986328
138,0.028442383
139,-0.2578125
140,-0.00680542
141,-0.020751953
142,0.076660156
143,0.16796875
144,0.091308594
145,0.036376953
146,-0.17089844
147,-0.032226562
148,-0.3828125
149,0.08886719
150,0.24121094
151,-0.052734375
152,0.08691406
153,-0.095214844
154,0.25390625
155,0.13378906
156,-0.3359375
157,0.08251953
158,0.29882812
159,0.100097656
160,-0.041992188
161,0.31054688
162,0.09814453
163,-0.10839844
164,0.5390625
165,-0.049560547
166,-0.296875
167,0.16992188
168,-0.32421875
169,0.096191406
170,-0.30859375
171,0.075683594
172,0.17089844
173,0.106933594
174,0.076660156
175,-0.15722656
176,-0.005340576
177,-0.044677734
178,0.15722656
179,-0.017700195
180,0.44335938
181,-0.12890625
182,-0.203125
183,0.08251953
184,0.119628906
185,0.08886719
186,0.051513672
187,-0.07519531
188,-0.011291504
189,0.10205078
190,0.095214844
191,-0.22167969
192,0.091308594
193,0.045410156
194,0.04321289
195,0.119628906
196,-0.07128906
197,-0.032714844
198,-0.28125
199,-0.43945312
200,0.03881836
201,-0.024291992
202,-0.006958008
203,-0.007019043
204,0.19433594
205,-0.050048828
206,0.18164062
207,-0.23632812
208,-0.19824219
209,-0.27929688
210,-0.16894531
211,-0.06298828
212,-0.09863281
213,0.10888672
214,-0.13085938
215,0.07324219
216,0.103027344
217,-0.033203125
218,0.21777344
219,-0.17578125
220,-0.24511719
221,-0.083496094
222,-0.031982422
223,-0.15722656
224,-0.34765625
225,0.011657715
226,-0.043701172
227,0.10595703
228,0.37304688
229,-0.22851562
230,0.021850586
231,0.12695312
232,0.16113281
233,0.026245117
234,0.025024414
235,0.1640625
236,-0.020996094
237,-0.032226562
238,-0.060302734
239,0.008728027
240,-0.19140625
241,0.07373047
242,-0.16113281
243,-0.060546875
244,0.050048828
245,0.20507812
246,0.046142578
247,-0.006958008
248,-0.05810547
249,-0.16699219
250,0.09326172
251,0.3046875
252,0.34570312
253,0.26367188
254,-0.0070495605
255,0.2890625
256,0.37304688
257,-0.026489258
258,0.09814453
259,-0.11230469
260,0.33007812
261,0.18359375
262,0.10107422
263,0.20214844
264,0.3828125
265,0.0051574707
266,-0.46679688
267,-0.05859375
268,-0.14453125
269,-0.037597656
270,0.030517578
271,0.05029297
272,0.234375
273,-0.049316406
274,0.16992188
275,0.020507812
276,0.107421875
277,0.033203125
278,-0.27539062
279,0.171875
280,-0.10986328
281,0.041015625
282,0.013549805
283,-0.036132812
284,-0.26367188
285,-0.118652344
286,-0.171875
287,-0.015136719
288,-0.025634766
289,0.16503906
290,-0.07763672
291,0.118652344
292,-0.20898438
293,-0.13964844
294,0.11621094
295,0.14550781
296,-0.25585938
297,0.040039062
298,0.38867188
299,0.3359375
