,Malta
0,0.265625
1,-0.119628906
2,-0.21972656
3,0.13378906
4,-0.33007812
5,-0.25390625
6,0.0030059814
7,-0.13476562
8,-0.018432617
9,0.107421875
10,0.0031280518
11,-0.04248047
12,0.075683594
13,0.034179688
14,0.27929688
15,0.016845703
16,0.04345703
17,-0.022827148
18,0.106933594
19,0.13671875
20,0.19921875
21,-0.15332031
22,0.35546875
23,0.04321289
24,-0.07128906
25,0.18847656
26,0.09423828
27,0.36328125
28,-0.13085938
29,0.08300781
30,0.10546875
31,-0.27148438
32,0.115234375
33,0.19921875
34,0.10986328
35,-0.32617188
36,-0.16308594
37,0.13671875
38,0.13867188
39,0.005340576
40,-0.08300781
41,0.29101562
42,-0.038085938
43,0.055664062
44,0.05810547
45,-0.14257812
46,-0.34765625
47,0.22851562
48,0.036621094
49,-0.025268555
50,-0.008056641
51,0.18847656
52,0.11328125
53,-0.04711914
54,0.00090408325
55,-0.19824219
56,-0.22753906
57,-0.080566406
58,-0.07763672
59,-0.034179688
60,-0.13378906
61,-0.021484375
62,0.025268555
63,-0.31445312
64,0.07373047
65,-0.19824219
66,0.0703125
67,-0.1640625
68,-0.14257812
69,0.033935547
70,-0.43359375
71,-0.30664062
72,0.075683594
73,-0.10253906
74,-0.0008506775
75,-0.16992188
76,0.067871094
77,-0.041259766
78,0.11816406
79,0.107910156
80,-0.32617188
81,-0.35742188
82,-0.16113281
83,-0.296875
84,-0.059326172
85,0.016601562
86,-0.23242188
87,-7.915497e-05
88,0.17871094
89,0.28125
90,0.33984375
91,0.0056762695
92,-0.55078125
93,0.044189453
94,-0.049560547
95,0.02331543
96,0.28320312
97,-0.23144531
98,0.27539062
99,-0.18652344
100,-0.09863281
101,0.13476562
102,-0.09765625
103,0.083984375
104,-0.11376953
105,-0.28320312
106,0.19433594
107,-0.18359375
108,0.099121094
109,-0.08886719
110,0.061279297
111,0.21875
112,-0.03125
113,0.03173828
114,-0.063964844
115,-0.10449219
116,0.012145996
117,-0.13183594
118,0.40820312
119,0.20117188
120,-0.15136719
121,-0.104003906
122,-0.13964844
123,-0.20800781
124,-0.23925781
125,-0.33789062
126,-0.39648438
127,-0.06542969
128,-0.56640625
129,0.1015625
130,-0.10644531
131,0.025512695
132,-0.27929688
133,-0.29492188
134,0.025634766
135,-0.32226562
136,-0.23535156
137,0.072753906
138,0.123535156
139,-0.19238281
140,0.125
141,0.18066406
142,0.013183594
143,-0.04321289
144,0.24316406
145,0.14453125
146,-0.0625
147,-0.045166016
148,0.09863281
149,0.043945312
150,-0.017944336
151,0.18457031
152,-0.03515625
153,-0.07373047
154,0.41015625
155,0.080078125
156,0.100097656
157,0.16308594
158,0.21191406
159,0.17675781
160,-0.16503906
161,0.26757812
162,-0.31445312
163,-0.08203125
164,0.21972656
165,-0.046142578
166,-0.060791016
167,0.20605469
168,0.05029297
169,0.103027344
170,-0.22558594
171,0.06591797
172,0.109375
173,-0.05908203
174,-0.34960938
175,-0.0625
176,0.375
177,-0.27148438
178,0.08984375
179,-0.34375
180,0.16113281
181,-0.32226562
182,-0.068359375
183,0.0021972656
184,-0.022460938
185,-0.08154297
186,0.23828125
187,-0.31054688
188,-0.14648438
189,-0.03491211
190,-0.1796875
191,-0.16015625
192,0.0039978027
193,0.24023438
194,-0.125
195,0.35546875
196,0.037841797
197,0.059814453
198,0.031982422
199,-0.087890625
200,0.25
201,0.010681152
202,-0.24804688
203,-0.203125
204,0.109375
205,0.064453125
206,0.015014648
207,0.1171875
208,0.103027344
209,-0.12402344
210,0.20800781
211,-0.19921875
212,-0.13867188
213,0.2578125
214,-0.13085938
215,0.040771484
216,0.31445312
217,-0.12011719
218,0.20507812
219,-0.037841797
220,0.12890625
221,-0.076660156
222,0.08544922
223,-0.07714844
224,-0.13183594
225,-0.13574219
226,0.056884766
227,0.0138549805
228,0.18945312
229,-0.08251953
230,-0.18847656
231,-0.22265625
232,0.034179688
233,-0.30859375
234,0.040039062
235,0.15039062
236,0.023071289
237,0.13378906
238,0.12792969
239,-0.19824219
240,0.24121094
241,-0.06738281
242,0.041503906
243,0.07714844
244,-0.050048828
245,0.123535156
246,-0.24316406
247,0.12207031
248,0.018554688
249,-0.18066406
250,0.22753906
251,-0.0625
252,-0.091796875
253,0.2109375
254,0.13769531
255,0.22851562
256,0.27734375
257,0.059814453
258,0.19628906
259,0.07470703
260,0.49804688
261,0.17480469
262,0.123046875
263,0.052734375
264,0.3359375
265,-0.09472656
266,-0.19921875
267,-0.01184082
268,-0.096191406
269,0.012512207
270,0.088378906
271,-0.087402344
272,0.07324219
273,0.2734375
274,-0.12451172
275,-0.24414062
276,0.067871094
277,-0.18554688
278,-0.12060547
279,0.18164062
280,-0.19921875
281,0.33789062
282,0.041503906
283,0.06201172
284,-0.13671875
285,0.0017318726
286,-0.25585938
287,-0.02722168
288,-0.22265625
289,0.26953125
290,-0.19628906
291,-0.05859375
292,-0.1328125
293,-0.037109375
294,0.05126953
295,0.3203125
296,-0.33007812
297,-0.027954102
298,-0.18164062
299,0.27539062
