,Mauritania
0,0.118652344
1,0.0703125
2,-0.041259766
3,0.076660156
4,-0.125
5,-0.16113281
6,-0.40039062
7,-0.37695312
8,-0.19726562
9,0.06640625
10,0.0703125
11,-0.23730469
12,0.028320312
13,-0.10888672
14,0.23046875
15,0.16699219
16,-0.15234375
17,0.0062561035
18,0.18554688
19,0.37304688
20,0.08496094
21,-0.3828125
22,-0.16113281
23,0.23828125
24,0.22070312
25,0.02722168
26,-0.20605469
27,-0.13671875
28,0.28515625
29,0.13769531
30,-0.08544922
31,-0.1171875
32,-0.083984375
33,-0.008300781
34,-0.3203125
35,0.13378906
36,-0.31835938
37,-0.11376953
38,0.035888672
39,-0.10107422
40,0.18554688
41,0.36132812
42,0.052734375
43,0.33789062
44,0.25585938
45,0.17871094
46,-0.38671875
47,-0.14941406
48,-0.05102539
49,-0.03515625
50,-0.095703125
51,-0.2890625
52,0.12060547
53,0.20800781
54,-0.32226562
55,0.10253906
56,-0.41015625
57,-0.006378174
58,-0.22070312
59,-0.103027344
60,-0.064941406
61,-0.04711914
62,0.20898438
63,0.13183594
64,0.18457031
65,-0.23144531
66,-0.07421875
67,-0.453125
68,-0.09375
69,0.100097656
70,-0.087402344
71,0.042236328
72,-0.32421875
73,-0.0009918213
74,-0.13964844
75,-0.10058594
76,0.039794922
77,-0.15136719
78,0.19140625
79,0.42773438
80,-0.33007812
81,-0.28515625
82,-0.045166016
83,0.115234375
84,-0.13085938
85,-0.24023438
86,-0.29296875
87,0.16113281
88,-0.24414062
89,0.3359375
90,0.11230469
91,-0.15136719
92,-0.24804688
93,-0.059814453
94,0.15722656
95,-0.546875
96,0.010559082
97,-0.3046875
98,0.38671875
99,0.125
100,0.03881836
101,-0.13867188
102,-0.16308594
103,-0.17089844
104,-0.25976562
105,0.09277344
106,-0.029785156
107,-0.41796875
108,-0.29101562
109,0.29882812
110,0.02734375
111,-0.044189453
112,0.11621094
113,0.27539062
114,-0.07080078
115,-0.28320312
116,-0.13183594
117,0.39648438
118,0.14550781
119,0.025146484
120,-0.14257812
121,0.21484375
122,-0.31640625
123,0.15625
124,0.20800781
125,-0.07910156
126,-0.47265625
127,-0.30078125
128,-0.36914062
129,0.006072998
130,0.27539062
131,0.042236328
132,0.03515625
133,0.171875
134,-0.18554688
135,-0.13574219
136,-0.32421875
137,-0.05883789
138,0.045410156
139,0.24316406
140,0.07470703
141,-0.18359375
142,0.18164062
143,0.11279297
144,0.022583008
145,-0.025390625
146,-0.0040893555
147,0.08984375
148,0.26367188
149,-0.24609375
150,0.19433594
151,-0.22460938
152,-0.55859375
153,0.03540039
154,0.24414062
155,-0.48828125
156,-0.34179688
157,0.36132812
158,0.17773438
159,0.04711914
160,-0.33789062
161,0.37695312
162,0.10205078
163,-0.12158203
164,0.25976562
165,-0.16699219
166,0.15625
167,0.118652344
168,0.24804688
169,0.27929688
170,-0.024658203
171,0.2734375
172,-0.23144531
173,0.234375
174,0.12597656
175,-0.024291992
176,0.08251953
177,-0.50390625
178,0.012451172
179,-0.24023438
180,-0.20019531
181,0.004333496
182,-0.41210938
183,-0.042236328
184,-0.08251953
185,-0.08203125
186,-0.0010147095
187,-0.083984375
188,0.21777344
189,0.004638672
190,-0.21972656
191,-0.00063705444
192,-0.34570312
193,0.043945312
194,-0.35351562
195,0.50390625
196,-0.125
197,0.011657715
198,-0.057128906
199,-0.20019531
200,0.19726562
201,-0.1953125
202,-0.05908203
203,-0.1875
204,0.22070312
205,-0.03149414
206,0.1015625
207,-0.038085938
208,-0.328125
209,0.03149414
210,-0.10107422
211,-0.024658203
212,-0.0134887695
213,0.3828125
214,0.055664062
215,0.044921875
216,-0.029174805
217,-0.37304688
218,0.25390625
219,-0.546875
220,-0.059326172
221,0.048339844
222,0.20800781
223,0.22167969
224,0.03930664
225,-0.111816406
226,0.45898438
227,0.33007812
228,0.578125
229,-0.25585938
230,0.027954102
231,0.17285156
232,0.13964844
233,-0.091308594
234,-0.11816406
235,0.25390625
236,0.107421875
237,0.119140625
238,0.18945312
239,0.15429688
240,0.14453125
241,-0.19335938
242,-0.007659912
243,0.35546875
244,0.16503906
245,-0.47070312
246,-0.25976562
247,-0.28710938
248,-0.19433594
249,-0.16015625
250,0.1953125
251,0.21679688
252,0.0079956055
253,-0.07373047
254,0.21777344
255,-0.083984375
256,0.17382812
257,0.051757812
258,0.23535156
259,0.040771484
260,-0.0859375
261,0.099121094
262,-0.0013046265
263,0.4296875
264,0.20214844
265,-0.03491211
266,-0.35351562
267,-0.24121094
268,-0.234375
269,0.16210938
270,-0.026123047
271,0.35351562
272,-0.02709961
273,-0.19824219
274,-0.07373047
275,0.34570312
276,-0.096191406
277,-0.2265625
278,0.067871094
279,-0.072753906
280,-0.072265625
281,-0.11816406
282,-0.19726562
283,0.02368164
284,-0.00046348572
285,-0.24609375
286,-0.12890625
287,0.16015625
288,-0.06298828
289,-0.063964844
290,-0.061523438
291,0.22070312
292,-0.203125
293,-0.10205078
294,-0.076660156
295,0.39453125
296,-0.088378906
297,0.091308594
298,-0.16894531
299,0.123046875
