,Martinique
0,0.14648438
1,-0.17382812
2,-0.110839844
3,0.12060547
4,0.083984375
5,-0.028808594
6,-0.19433594
7,-0.50390625
8,-0.19433594
9,-0.09033203
10,-0.17871094
11,-0.328125
12,0.28710938
13,-0.13867188
14,0.3984375
15,0.47265625
16,-0.10498047
17,0.421875
18,0.12402344
19,0.64453125
20,0.21191406
21,-0.3828125
22,0.2265625
23,-0.21191406
24,0.2265625
25,0.34570312
26,-0.09033203
27,-0.23925781
28,0.26171875
29,0.44335938
30,0.171875
31,-0.26171875
32,-0.44335938
33,-0.43359375
34,0.052246094
35,-0.23242188
36,-0.23535156
37,0.01586914
38,-0.390625
39,-0.21191406
40,-0.18261719
41,0.22558594
42,0.47070312
43,0.24121094
44,0.046142578
45,-0.10449219
46,-0.33984375
47,-0.0050964355
48,0.08544922
49,0.07861328
50,0.2734375
51,-0.20898438
52,0.12792969
53,-0.14746094
54,-0.31640625
55,0.30664062
56,-0.17382812
57,-0.24902344
58,0.06591797
59,0.092285156
60,-0.0009498596
61,0.16699219
62,0.20605469
63,0.037841797
64,0.25390625
65,-0.031982422
66,-0.3203125
67,0.063964844
68,-0.33984375
69,-0.17578125
70,-0.14453125
71,0.088378906
72,-0.01574707
73,-0.12792969
74,-0.008300781
75,0.032714844
76,0.23046875
77,-0.29492188
78,0.15722656
79,0.0079956055
80,0.19628906
81,0.16015625
82,-0.14550781
83,-0.26367188
84,0.047851562
85,-0.032958984
86,-0.41015625
87,0.21972656
88,0.12207031
89,0.18457031
90,0.032714844
91,0.25976562
92,-0.1796875
93,-0.078125
94,-0.20117188
95,0.0014953613
96,0.328125
97,-0.2890625
98,-0.609375
99,-0.013977051
100,-0.30078125
101,-0.08544922
102,0.043945312
103,-0.22070312
104,0.26953125
105,-0.30664062
106,0.19140625
107,-0.025756836
108,0.17089844
109,-0.057861328
110,-0.29101562
111,0.28710938
112,0.09423828
113,-0.24609375
114,0.068847656
115,0.15722656
116,-0.039794922
117,0.010559082
118,0.1015625
119,0.10498047
120,-0.26953125
121,0.068847656
122,0.203125
123,0.056640625
124,0.63671875
125,0.13183594
126,-0.3125
127,-0.17675781
128,-0.16210938
129,0.38867188
130,-0.26367188
131,0.34375
132,-0.13183594
133,-0.296875
134,-0.024291992
135,-0.19140625
136,-0.46484375
137,-0.03466797
138,0.19726562
139,-0.15429688
140,-0.21875
141,0.0008506775
142,0.18652344
143,-0.25
144,0.25195312
145,-0.03491211
146,0.25390625
147,-0.20410156
148,-0.13964844
149,-0.115722656
150,-0.20800781
151,-0.0859375
152,-0.012084961
153,0.13574219
154,0.265625
155,-0.2109375
156,0.20605469
157,0.05493164
158,0.55078125
159,-0.061523438
160,-0.095703125
161,0.33203125
162,0.43945312
163,0.0035247803
164,0.29101562
165,-0.26171875
166,0.096191406
167,0.18652344
168,0.03540039
169,-0.072265625
170,-0.10986328
171,0.45898438
172,0.03125
173,-0.13964844
174,-0.42773438
175,0.111816406
176,-0.10888672
177,-0.55078125
178,-0.10839844
179,-0.17675781
180,0.09082031
181,-0.009277344
182,-0.26757812
183,-0.2734375
184,0.20117188
185,-0.14160156
186,-0.16210938
187,-0.043701172
188,0.34570312
189,-0.12158203
190,0.25976562
191,0.33203125
192,0.0074768066
193,0.19726562
194,-0.118652344
195,0.31054688
196,0.37109375
197,0.060791016
198,-0.115234375
199,-0.234375
200,0.37890625
201,-0.15917969
202,0.022949219
203,-0.43359375
204,-0.084472656
205,-0.33203125
206,0.064453125
207,-0.09765625
208,-0.15917969
209,-0.265625
210,-0.18554688
211,-0.24902344
212,-0.09863281
213,0.53125
214,-0.32617188
215,-0.08984375
216,-0.021972656
217,-0.14941406
218,-0.07763672
219,-0.19726562
220,0.0859375
221,-0.010253906
222,-0.13574219
223,0.01550293
224,-0.296875
225,0.23828125
226,0.2265625
227,0.25195312
228,0.12597656
229,0.33203125
230,0.016235352
231,0.049316406
232,0.16210938
233,0.28515625
234,-0.110839844
235,0.019042969
236,0.087890625
237,-0.28710938
238,0.043701172
239,0.18652344
240,-0.037841797
241,-0.034179688
242,0.19726562
243,0.234375
244,0.22558594
245,0.28320312
246,-0.3203125
247,-0.018188477
248,-0.17578125
249,-0.1875
250,-0.07714844
251,0.16015625
252,0.06982422
253,0.107910156
254,0.13378906
255,-0.24804688
256,-0.25390625
257,0.056396484
258,0.27539062
259,0.18652344
260,0.3984375
261,0.5703125
262,-0.030395508
263,0.19335938
264,0.055419922
265,-0.46875
266,-0.11035156
267,0.00092697144
268,-0.014892578
269,0.114746094
270,-0.15917969
271,0.2578125
272,-0.20410156
273,0.15039062
274,-0.01940918
275,0.45898438
276,-0.13476562
277,0.23828125
278,-0.119140625
279,0.17871094
280,-0.34375
281,-0.27929688
282,-0.06298828
283,0.087402344
284,-0.21777344
285,-0.17089844
286,-0.28515625
287,0.31835938
288,-0.06347656
289,0.11621094
290,0.24511719
291,0.12207031
292,-0.14648438
293,-0.060302734
294,-0.28125
295,0.22460938
296,-0.27734375
297,-0.09814453
298,0.26953125
299,0.013000488
