,Bahamas
0,-0.03100586
1,-0.26757812
2,-0.32617188
3,-0.05126953
4,0.10498047
5,-0.14160156
6,-0.100097656
7,-0.13574219
8,0.09716797
9,-0.08544922
10,0.026977539
11,-0.059570312
12,0.31835938
13,0.024291992
14,0.39453125
15,0.09472656
16,-0.025146484
17,0.28710938
18,-0.11376953
19,0.006500244
20,0.47460938
21,-0.13769531
22,0.32617188
23,0.15625
24,0.19238281
25,0.16699219
26,-0.11621094
27,-0.08105469
28,-0.08642578
29,0.26757812
30,0.026611328
31,-0.07421875
32,-0.17675781
33,-0.11669922
34,0.2734375
35,-0.109375
36,-0.23046875
37,-0.34765625
38,-0.061523438
39,-0.24316406
40,-0.08203125
41,0.23046875
42,0.35351562
43,0.27929688
44,-0.107421875
45,-0.13183594
46,-0.19335938
47,0.013427734
48,0.20117188
49,0.23535156
50,0.30273438
51,-0.063964844
52,0.34570312
53,-0.20605469
54,-0.057128906
55,0.17675781
56,-0.31640625
57,0.26367188
58,-0.12451172
59,-0.12695312
60,0.171875
61,-0.21679688
62,0.22070312
63,0.15820312
64,0.2734375
65,0.05908203
66,-0.21289062
67,0.009521484
68,0.021362305
69,-0.23242188
70,-0.40820312
71,-0.34960938
72,0.008544922
73,0.2265625
74,-0.15234375
75,-0.092285156
76,0.03540039
77,-0.08886719
78,0.17675781
79,0.07421875
80,-0.20800781
81,-0.13574219
82,-0.29492188
83,-0.40429688
84,-0.029052734
85,-0.06201172
86,0.14941406
87,0.15527344
88,0.28515625
89,0.26953125
90,0.23046875
91,0.13476562
92,-0.20410156
93,-0.18359375
94,-0.14257812
95,0.12402344
96,0.38085938
97,0.029907227
98,-0.013793945
99,0.12597656
100,0.041992188
101,0.44726562
102,0.390625
103,-0.41992188
104,0.15722656
105,-0.15527344
106,0.19140625
107,-0.1015625
108,0.26757812
109,0.25195312
110,-0.2734375
111,0.17382812
112,-0.23730469
113,0.25976562
114,0.12695312
115,0.10888672
116,0.140625
117,-0.053466797
118,0.328125
119,0.3046875
120,-0.21484375
121,-0.42773438
122,0.34765625
123,0.008117676
124,0.20703125
125,0.20214844
126,0.099609375
127,-0.029174805
128,-0.2578125
129,0.55078125
130,-0.033203125
131,0.23046875
132,-0.115234375
133,-0.12207031
134,-0.16601562
135,-0.17773438
136,0.02355957
137,0.18652344
138,0.033203125
139,-0.076171875
140,-0.056396484
141,-0.057617188
142,0.049316406
143,-0.10253906
144,0.15039062
145,0.29101562
146,0.019165039
147,0.23144531
148,0.21679688
149,0.3046875
150,0.04638672
151,-0.046142578
152,0.05078125
153,-0.06298828
154,0.028564453
155,0.099609375
156,-0.20117188
157,-0.22265625
158,0.41601562
159,0.4609375
160,-0.091796875
161,0.1953125
162,0.078125
163,-0.037597656
164,0.16601562
165,-0.17871094
166,-0.119140625
167,-0.018554688
168,0.06933594
169,-0.03112793
170,0.2578125
171,0.359375
172,0.06738281
173,-0.037353516
174,-0.34179688
175,-0.15722656
176,0.22265625
177,-0.14453125
178,-0.083984375
179,-0.203125
180,-0.05029297
181,-0.05126953
182,-0.049072266
183,0.014404297
184,-0.20996094
185,-0.05029297
186,0.09814453
187,-0.028686523
188,0.4453125
189,0.034179688
190,0.19433594
191,0.051757812
192,-0.05102539
193,0.057617188
194,-0.023925781
195,0.54296875
196,0.056152344
197,-0.021728516
198,0.030883789
199,-0.45117188
200,0.328125
201,-0.08496094
202,-0.053466797
203,-0.119628906
204,-0.3984375
205,0.16699219
206,0.059326172
207,0.057861328
208,-0.20703125
209,0.048583984
210,-0.06933594
211,-0.09472656
212,0.14453125
213,0.10644531
214,-0.09472656
215,0.06201172
216,0.071777344
217,0.203125
218,0.061767578
219,-0.02722168
220,-0.011047363
221,0.033935547
222,-0.004058838
223,-0.10888672
224,-0.13378906
225,0.07324219
226,0.25195312
227,0.3203125
228,-0.045166016
229,-0.05102539
230,-0.02355957
231,-0.11425781
232,0.111816406
233,-0.21777344
234,0.122558594
235,0.22558594
236,0.2421875
237,-0.18554688
238,0.34960938
239,0.15039062
240,-0.1953125
241,-0.14746094
242,0.13769531
243,-0.15429688
244,-0.026611328
245,0.25976562
246,0.088378906
247,0.14453125
248,0.41015625
249,-0.14941406
250,0.19140625
251,0.16601562
252,0.22363281
253,-0.07421875
254,0.009643555
255,0.092285156
256,0.048583984
257,0.09326172
258,-0.11816406
259,0.007080078
260,0.546875
261,0.052490234
262,-0.10449219
263,0.0010757446
264,0.21679688
265,-0.012939453
266,-0.2578125
267,0.08203125
268,0.011474609
269,0.12451172
270,-0.13085938
271,0.26953125
272,0.044677734
273,0.24609375
274,-0.053466797
275,0.11279297
276,-0.10595703
277,0.15039062
278,-0.07470703
279,0.08984375
280,-0.10058594
281,-0.22070312
282,0.08544922
283,-0.01953125
284,0.028076172
285,-0.008117676
286,-0.28125
287,-0.21386719
288,-0.12695312
289,0.107421875
290,0.027954102
291,0.059326172
292,-0.29882812
293,-0.07861328
294,-0.032470703
295,0.20019531
296,-0.27148438
297,0.029418945
298,0.35546875
299,0.015136719
