,Suriname
0,-0.20898438
1,-0.16796875
2,0.25195312
3,0.15722656
4,-0.20410156
5,-0.13378906
6,-0.14453125
7,-0.32617188
8,0.106933594
9,-0.031982422
10,0.18554688
11,-0.19238281
12,0.36914062
13,0.041503906
14,0.095214844
15,0.111328125
16,-0.0390625
17,0.3671875
18,-0.043945312
19,0.29101562
20,0.18652344
21,-0.4375
22,-0.15136719
23,-0.052734375
24,0.15917969
25,0.017211914
26,-0.15136719
27,-0.3828125
28,-0.033447266
29,0.27148438
30,0.107910156
31,-0.04736328
32,-0.19140625
33,-0.088378906
34,0.022827148
35,0.061523438
36,-0.26367188
37,-0.076660156
38,0.04663086
39,-0.13964844
40,0.103027344
41,0.21289062
42,0.25976562
43,0.30273438
44,0.037597656
45,-0.08154297
46,-0.41601562
47,-0.19824219
48,0.22753906
49,0.018310547
50,-0.11279297
51,-0.35742188
52,0.3046875
53,-0.16503906
54,-0.1484375
55,-0.05834961
56,-0.45507812
57,-0.13378906
58,-0.114746094
59,-0.091308594
60,-0.021118164
61,-0.30273438
62,0.13867188
63,0.048828125
64,0.057373047
65,-0.08544922
66,0.040527344
67,-0.359375
68,-0.26953125
69,0.0625
70,-0.11621094
71,0.10107422
72,-0.15917969
73,0.015197754
74,-0.21484375
75,-0.14160156
76,0.18359375
77,-0.23632812
78,0.13574219
79,0.43554688
80,-0.25976562
81,0.060791016
82,-0.25390625
83,-0.049804688
84,0.037841797
85,-0.36132812
86,-0.0032196045
87,-0.080078125
88,0.26757812
89,0.19140625
90,0.12695312
91,-0.030273438
92,-0.24902344
93,0.15136719
94,-0.16308594
95,-0.08935547
96,-0.022949219
97,-0.20214844
98,0.111816406
99,0.21875
100,-0.111816406
101,-0.057861328
102,0.026733398
103,-0.37890625
104,-0.115234375
105,0.09375
106,-0.02355957
107,-0.52734375
108,-0.15625
109,0.56640625
110,-0.19921875
111,0.20605469
112,-0.17675781
113,-0.07910156
114,-0.30664062
115,-0.072753906
116,0.015563965
117,-0.12597656
118,0.3125
119,0.18554688
120,0.103027344
121,0.045410156
122,-0.30273438
123,0.02709961
124,-0.017944336
125,0.13183594
126,-0.13769531
127,-0.13476562
128,-0.51171875
129,0.25585938
130,-0.118652344
131,0.22070312
132,-0.103515625
133,-0.19921875
134,-0.43554688
135,-0.16503906
136,-0.24414062
137,-0.04663086
138,0.22167969
139,0.071777344
140,-0.09033203
141,-0.06591797
142,-0.13183594
143,0.31445312
144,-0.18457031
145,0.068847656
146,0.060791016
147,-0.0027618408
148,-0.015991211
149,0.0071411133
150,0.28515625
151,-0.359375
152,-0.33203125
153,0.20410156
154,-0.009399414
155,-0.16894531
156,-0.24023438
157,0.3203125
158,0.13574219
159,0.2109375
160,-0.27929688
161,0.20898438
162,0.18554688
163,-0.13671875
164,0.25390625
165,-0.3359375
166,-0.06689453
167,-0.06591797
168,-0.092285156
169,-0.09667969
170,-0.013549805
171,0.32226562
172,0.16796875
173,-0.21191406
174,-0.10058594
175,-0.28710938
176,0.18164062
177,-0.13183594
178,-0.022094727
179,-0.12109375
180,0.040039062
181,0.075683594
182,-0.12597656
183,-0.071777344
184,0.083984375
185,-0.14453125
186,0.17480469
187,-0.24316406
188,0.29101562
189,0.064941406
190,-0.1953125
191,-0.2421875
192,-0.09716797
193,-0.07714844
194,-0.12109375
195,0.27929688
196,0.16503906
197,0.092285156
198,-0.28320312
199,-0.095703125
200,0.21777344
201,-0.18554688
202,0.0023956299
203,-0.037841797
204,-0.10058594
205,0.17089844
206,0.20019531
207,-0.036865234
208,-0.609375
209,0.30273438
210,-0.14355469
211,-0.23535156
212,-0.064941406
213,0.30664062
214,-0.037841797
215,-0.060546875
216,-0.027709961
217,-0.11425781
218,-0.023925781
219,-0.20800781
220,-0.14160156
221,0.0020751953
222,-0.35742188
223,0.11376953
224,-0.203125
225,0.016967773
226,0.21386719
227,0.39257812
228,0.14160156
229,0.18457031
230,0.1875
231,0.11816406
232,0.06542969
233,-0.060302734
234,0.07080078
235,0.1875
236,0.18359375
237,0.0043640137
238,-0.11279297
239,0.13378906
240,-0.07470703
241,-0.23828125
242,0.055908203
243,-0.07080078
244,0.016113281
245,-0.078125
246,0.079589844
247,-0.045654297
248,0.21289062
249,-0.12451172
250,0.21191406
251,0.3671875
252,0.15625
253,-0.07910156
254,0.20605469
255,-0.07714844
256,-0.01940918
257,0.080078125
258,0.24023438
259,0.14453125
260,0.16796875
261,0.26757812
262,-0.06298828
263,0.32617188
264,-0.005645752
265,-0.20019531
266,-0.23339844
267,0.32226562
268,-0.10449219
269,0.07861328
270,-0.25
271,0.103027344
272,-0.061279297
273,-0.14453125
274,-0.26757812
275,-0.020019531
276,-0.05493164
277,0.09326172
278,-0.20019531
279,0.17285156
280,0.10107422
281,-0.37304688
282,-0.032226562
283,-0.106933594
284,-0.30859375
285,-0.33203125
286,-0.15722656
287,0.061523438
288,0.056884766
289,0.06542969
290,-0.053466797
291,-0.099609375
292,-0.28125
293,0.11376953
294,0.06298828
295,0.24414062
296,-0.13671875
297,-0.080566406
298,0.34179688
299,-0.14648438
