,Mongolia
0,-0.10107422
1,0.048095703
2,0.07128906
3,0.21777344
4,0.061279297
5,0.048828125
6,0.20019531
7,-0.26367188
8,-0.17285156
9,-0.08984375
10,0.072265625
11,0.0016555786
12,0.015075684
13,0.024658203
14,0.007507324
15,-0.15820312
16,-0.24804688
17,0.35351562
18,0.12109375
19,-0.09472656
20,0.08251953
21,-0.375
22,0.056152344
23,-0.07373047
24,0.026611328
25,-0.19628906
26,-0.15429688
27,-0.02746582
28,-0.080566406
29,-0.028320312
30,-0.22949219
31,-0.044677734
32,0.07128906
33,0.064453125
34,-0.10595703
35,-0.030517578
36,-0.40820312
37,0.12597656
38,0.4296875
39,0.10644531
40,-0.27148438
41,0.013793945
42,0.17480469
43,0.2734375
44,0.02758789
45,0.14355469
46,-0.18164062
47,-0.09375
48,-0.037841797
49,-0.16894531
50,0.05029297
51,-0.30664062
52,-0.14648438
53,0.20410156
54,-0.15722656
55,0.31445312
56,-0.43554688
57,-0.030883789
58,0.032714844
59,-0.3828125
60,0.22460938
61,-0.33007812
62,0.24023438
63,0.07714844
64,0.03564453
65,0.0077209473
66,0.26171875
67,-0.35546875
68,-0.041015625
69,0.25195312
70,-0.01586914
71,-0.25195312
72,-0.11425781
73,0.12451172
74,0.02746582
75,-0.33984375
76,0.11230469
77,0.29882812
78,0.03564453
79,0.45507812
80,0.061035156
81,-0.234375
82,-0.296875
83,-0.10986328
84,-0.24121094
85,-0.2421875
86,0.088378906
87,-0.24023438
88,0.032470703
89,0.18261719
90,0.029418945
91,-0.0050354004
92,-0.16015625
93,0.021972656
94,-0.09423828
95,-0.16601562
96,0.1015625
97,-0.08251953
98,0.21191406
99,-0.296875
100,-0.17480469
101,-0.122558594
102,-0.1953125
103,0.07324219
104,0.18457031
105,0.067871094
106,-0.0028686523
107,-0.119140625
108,0.09326172
109,0.19628906
110,0.03564453
111,0.056884766
112,-0.0043029785
113,-0.15917969
114,0.13183594
115,0.18164062
116,-0.10595703
117,-0.12011719
118,0.088378906
119,-0.004760742
120,-0.25976562
121,-0.22265625
122,-0.359375
123,0.20800781
124,-0.17480469
125,0.23925781
126,-0.15332031
127,0.08105469
128,-0.4140625
129,-0.0703125
130,-0.13867188
131,0.09765625
132,0.067871094
133,-0.018920898
134,-0.23046875
135,0.05078125
136,-0.4140625
137,-0.05126953
138,-0.06201172
139,0.625
140,0.06982422
141,0.02758789
142,0.18945312
143,0.390625
144,0.38867188
145,0.10498047
146,-0.40234375
147,0.017578125
148,-0.01953125
149,0.06689453
150,0.5
151,-0.36132812
152,0.04638672
153,-0.044921875
154,-0.12402344
155,-0.044189453
156,-0.1953125
157,-0.048828125
158,-0.08642578
159,0.140625
160,-0.31835938
161,-0.07470703
162,0.16601562
163,0.20898438
164,-0.072265625
165,-0.051513672
166,0.02355957
167,-0.034179688
168,0.0625
169,0.16992188
170,-0.33789062
171,0.33984375
172,0.31640625
173,0.24023438
174,0.41601562
175,-0.03540039
176,-0.0016403198
177,0.083984375
178,0.099121094
179,-0.33203125
180,-0.24804688
181,-0.18554688
182,-0.017089844
183,-0.25195312
184,0.0042419434
185,0.06298828
186,0.21386719
187,-0.011657715
188,-0.08935547
189,0.17675781
190,-0.17480469
191,-0.083496094
192,-0.12597656
193,0.015563965
194,-0.064453125
195,0.1640625
196,0.15625
197,-0.29882812
198,-0.028198242
199,-0.12792969
200,0.23535156
201,0.026733398
202,0.030761719
203,0.048828125
204,-0.24707031
205,0.056640625
206,-0.12988281
207,-0.08154297
208,-0.26171875
209,0.20898438
210,-0.20410156
211,0.03955078
212,0.057861328
213,-0.010681152
214,0.07324219
215,0.3359375
216,-0.0055236816
217,0.21386719
218,0.12402344
219,-0.24804688
220,-0.19238281
221,-0.019042969
222,0.07910156
223,0.01574707
224,-0.087890625
225,-0.014587402
226,-0.068847656
227,0.16699219
228,0.18847656
229,-0.27148438
230,0.10546875
231,-0.08886719
232,0.114746094
233,0.080078125
234,0.25976562
235,0.40234375
236,-0.16308594
237,0.09082031
238,-0.036621094
239,-0.0546875
240,-0.05444336
241,-0.048339844
242,0.06738281
243,0.10107422
244,0.22949219
245,-0.13867188
246,0.08251953
247,-0.20703125
248,0.19140625
249,-0.072265625
250,-0.037841797
251,0.07080078
252,0.07519531
253,-0.0138549805
254,0.023803711
255,0.15234375
256,0.2578125
257,-0.015991211
258,0.05810547
259,-0.14941406
260,0.091796875
261,-0.013793945
262,0.4140625
263,0.18359375
264,0.34960938
265,0.037353516
266,-0.09033203
267,0.026489258
268,0.1875
269,0.03112793
270,-0.1953125
271,0.096191406
272,0.056884766
273,-0.203125
274,0.26367188
275,-0.1484375
276,0.10449219
277,-0.09814453
278,-0.055419922
279,0.35546875
280,0.37695312
281,-0.114746094
282,0.11230469
283,0.11669922
284,-0.17675781
285,0.12597656
286,-0.1640625
287,-0.053222656
288,0.12695312
289,0.1953125
290,-0.19726562
291,-0.014892578
292,-0.18652344
293,-0.009643555
294,0.16699219
295,-0.06640625
296,-0.27148438
297,0.24023438
298,0.14160156
299,0.20996094
