,Bermuda
0,-0.23632812
1,-0.040283203
2,-0.19726562
3,-0.016723633
4,0.15820312
5,-0.036132812
6,-0.36132812
7,0.08935547
8,-0.021362305
9,0.08984375
10,0.0030670166
11,-0.049560547
12,0.15820312
13,-0.15234375
14,0.23828125
15,0.10449219
16,0.13476562
17,0.26757812
18,-0.09863281
19,0.14746094
20,0.059814453
21,-0.26953125
22,0.28125
23,0.15429688
24,0.22070312
25,0.41601562
26,0.23632812
27,0.23339844
28,-0.016235352
29,0.31054688
30,0.16113281
31,-0.060791016
32,-0.3359375
33,-0.049316406
34,-0.0033874512
35,0.013000488
36,-0.10498047
37,-0.068359375
38,0.03100586
39,-0.1484375
40,-0.09326172
41,0.15820312
42,0.23339844
43,0.28710938
44,-0.27148438
45,-0.22265625
46,-0.23144531
47,-0.068847656
48,0.16601562
49,-0.028320312
50,0.0023651123
51,-0.055419922
52,0.32226562
53,-0.19140625
54,-0.0054626465
55,0.23339844
56,-0.15234375
57,-0.06347656
58,-0.3515625
59,-0.07714844
60,0.15429688
61,-0.018798828
62,-0.04321289
63,-0.18847656
64,0.171875
65,0.26953125
66,-0.091308594
67,-0.091308594
68,-0.16699219
69,-0.09814453
70,-0.23144531
71,-0.1796875
72,0.110839844
73,0.020019531
74,0.048828125
75,-0.15917969
76,0.13378906
77,-0.14746094
78,0.07373047
79,-0.11376953
80,-0.19140625
81,-0.26953125
82,-0.19238281
83,0.171875
84,-0.10449219
85,-0.016723633
86,-0.078125
87,0.033447266
88,0.40234375
89,0.21191406
90,0.38085938
91,0.021484375
92,-0.08935547
93,0.14453125
94,0.0049743652
95,0.30859375
96,0.49804688
97,-0.32617188
98,0.034179688
99,0.06689453
100,0.08105469
101,0.234375
102,0.12597656
103,0.23046875
104,0.087402344
105,-0.16015625
106,0.12695312
107,-0.01574707
108,0.053955078
109,-0.09326172
110,-0.41210938
111,0.14648438
112,-0.22949219
113,0.10839844
114,-0.032226562
115,-0.061035156
116,0.21972656
117,-0.122558594
118,0.32617188
119,0.22753906
120,-0.37695312
121,-0.25195312
122,0.27148438
123,0.12792969
124,0.08544922
125,0.19042969
126,-0.104003906
127,0.03955078
128,-0.15234375
129,0.55859375
130,-0.022338867
131,0.13085938
132,-0.20507812
133,-0.28320312
134,-0.16015625
135,-0.23632812
136,-0.14941406
137,0.12695312
138,-0.08251953
139,0.0073242188
140,0.19824219
141,0.072265625
142,0.20410156
143,-0.18066406
144,0.15625
145,0.25
146,-0.029907227
147,-0.13574219
148,0.21972656
149,0.33007812
150,0.008483887
151,-0.31640625
152,-0.07910156
153,-0.017333984
154,-0.068847656
155,-0.21972656
156,-0.19042969
157,-0.061279297
158,0.2734375
159,0.15722656
160,-0.19335938
161,0.05126953
162,0.27929688
163,-0.0064697266
164,0.14746094
165,-0.26953125
166,-0.21386719
167,0.009155273
168,0.028076172
169,0.091796875
170,-0.033203125
171,0.32421875
172,0.29101562
173,0.0390625
174,-0.084472656
175,0.036132812
176,-0.032470703
177,0.03881836
178,-0.24902344
179,-0.122558594
180,-0.071777344
181,0.1328125
182,0.03930664
183,0.2734375
184,-0.1640625
185,0.087890625
186,0.19628906
187,-0.095703125
188,0.27539062
189,0.21679688
190,0.039794922
191,0.25585938
192,-0.12988281
193,-0.18066406
194,-0.171875
195,0.484375
196,0.06591797
197,0.004272461
198,0.10498047
199,-0.2890625
200,0.17578125
201,-0.27929688
202,0.26757812
203,-0.17089844
204,-0.18457031
205,0.20703125
206,-0.0087890625
207,0.19921875
208,0.006225586
209,-0.0043640137
210,-0.118652344
211,-0.328125
212,0.10498047
213,0.25976562
214,-0.02734375
215,-0.04736328
216,0.024291992
217,-0.1328125
218,0.06933594
219,-0.2734375
220,0.005584717
221,0.06933594
222,-0.2890625
223,-0.16601562
224,-0.46679688
225,0.22460938
226,0.125
227,0.23925781
228,0.072753906
229,-0.10546875
230,-0.29296875
231,-0.020385742
232,0.29492188
233,-0.23632812
234,0.028930664
235,0.17773438
236,-0.15722656
237,-0.08886719
238,0.03564453
239,-0.064453125
240,0.104003906
241,-0.28320312
242,-0.07080078
243,-0.12011719
244,-0.0039978027
245,-0.061279297
246,0.27734375
247,0.033447266
248,0.28710938
249,0.10107422
250,0.13476562
251,0.024047852
252,0.21289062
253,0.16015625
254,0.15625
255,0.060302734
256,-0.10888672
257,0.38085938
258,-0.27539062
259,0.051513672
260,0.38867188
261,0.22949219
262,-0.18066406
263,-0.23339844
264,0.051757812
265,0.04272461
266,-0.22949219
267,-0.030517578
268,0.01550293
269,-0.07519531
270,-0.15722656
271,0.40429688
272,0.19140625
273,0.18652344
274,-0.17773438
275,-0.015625
276,-0.18652344
277,-0.05419922
278,-0.13574219
279,0.17578125
280,-0.087402344
281,-0.25
282,0.048095703
283,-0.24707031
284,-0.049804688
285,-0.17285156
286,-0.36132812
287,0.07128906
288,-0.29296875
289,0.21972656
290,0.115722656
291,0.22167969
292,-0.22265625
293,-0.052978516
294,-0.19433594
295,0.3359375
296,0.16308594
297,0.140625
298,0.18359375
299,-0.10107422
