,Italy
0,0.057861328
1,0.13671875
2,0.16992188
3,0.072753906
4,-0.15136719
5,-0.0014724731
6,-0.15136719
7,-0.3125
8,-0.07128906
9,0.26171875
10,0.00023365021
11,-0.060791016
12,0.095214844
13,-0.11279297
14,-0.05810547
15,0.045898438
16,0.018920898
17,-0.023925781
18,0.049804688
19,0.16113281
20,0.125
21,0.016357422
22,0.18554688
23,-0.064941406
24,0.026123047
25,0.05419922
26,-0.052246094
27,0.033691406
28,-0.21191406
29,0.10449219
30,0.092285156
31,-0.088378906
32,-0.002670288
33,0.114746094
34,-0.041992188
35,-0.23828125
36,-0.27539062
37,0.04248047
38,-0.04321289
39,0.068359375
40,0.063964844
41,0.15820312
42,0.15917969
43,0.040283203
44,-0.0032043457
45,0.18164062
46,-0.018676758
47,0.359375
48,-0.06738281
49,0.16796875
50,-0.19824219
51,0.33984375
52,0.01574707
53,0.0146484375
54,-0.1328125
55,0.2734375
56,-0.3046875
57,-0.08251953
58,-0.12695312
59,-0.091796875
60,-0.14453125
61,0.010925293
62,0.02319336
63,-0.36132812
64,-0.021850586
65,-0.12792969
66,0.06591797
67,-0.27734375
68,0.29101562
69,-0.057861328
70,-0.103515625
71,-0.021118164
72,-0.26171875
73,0.12695312
74,0.018920898
75,-0.19238281
76,-0.002166748
77,-0.026733398
78,-0.006500244
79,0.125
80,0.024169922
81,-0.21582031
82,0.080566406
83,-0.33984375
84,0.030395508
85,-0.22558594
86,-0.17382812
87,0.045898438
88,0.16210938
89,0.19335938
90,0.12402344
91,-0.12158203
92,-0.32421875
93,0.15136719
94,0.016967773
95,-0.31640625
96,-0.06201172
97,-0.51171875
98,0.15429688
99,-0.06347656
100,-0.40234375
101,-0.08935547
102,-0.08105469
103,0.12109375
104,0.13574219
105,-0.006652832
106,-0.02319336
107,-0.080078125
108,0.06640625
109,-0.018554688
110,0.21484375
111,0.068847656
112,0.107421875
113,-0.24121094
114,0.034423828
115,0.014831543
116,-0.076171875
117,0.0074157715
118,0.515625
119,0.14550781
120,-0.1875
121,-0.27539062
122,0.083496094
123,0.076660156
124,0.13085938
125,-0.35351562
126,-0.029052734
127,-0.15625
128,-0.5859375
129,0.23535156
130,-0.16308594
131,-0.2734375
132,-0.22851562
133,-0.1015625
134,0.14648438
135,-0.14355469
136,-0.10888672
137,0.0625
138,0.41992188
139,-0.23046875
140,0.35546875
141,-0.111328125
142,0.13964844
143,0.23535156
144,0.23242188
145,0.014282227
146,-0.032958984
147,0.22460938
148,0.08544922
149,-0.15136719
150,0.0054626465
151,0.09033203
152,0.07128906
153,0.05126953
154,0.10595703
155,-0.17675781
156,-0.20800781
157,0.19726562
158,0.060058594
159,0.3125
160,0.03930664
161,0.0546875
162,-0.010925293
163,-0.05493164
164,0.17382812
165,-0.103027344
166,-0.014526367
167,-0.036865234
168,0.06738281
169,0.048583984
170,-0.34570312
171,0.099121094
172,-0.052978516
173,0.0134887695
174,-0.091796875
175,-0.14160156
176,0.14550781
177,0.0055236816
178,0.072265625
179,0.029052734
180,0.049072266
181,-0.35351562
182,-0.08105469
183,0.05029297
184,0.26171875
185,0.087402344
186,0.17675781
187,-0.042236328
188,-0.36914062
189,0.00031852722
190,0.04736328
191,-0.15234375
192,0.115234375
193,0.05493164
194,-0.111328125
195,0.17480469
196,0.21386719
197,-0.022583008
198,0.026855469
199,-0.23632812
200,0.110839844
201,-0.018066406
202,-0.14257812
203,-0.06298828
204,0.037841797
205,-0.083496094
206,-0.16308594
207,-0.15527344
208,-0.06347656
209,-0.09765625
210,-0.05444336
211,-0.14355469
212,-0.0625
213,0.21386719
214,-0.2734375
215,-0.0030212402
216,-0.004119873
217,0.13378906
218,0.03100586
219,-0.014038086
220,-0.013549805
221,-0.18359375
222,-0.16992188
223,-0.17285156
224,-0.19140625
225,0.12060547
226,-0.0029907227
227,0.119628906
228,0.22851562
229,0.064941406
230,-0.19335938
231,0.16308594
232,0.084472656
233,-0.032958984
234,-0.0049438477
235,0.10205078
236,-0.095214844
237,0.2734375
238,-0.12451172
239,-0.09082031
240,0.07128906
241,-0.067871094
242,0.19042969
243,0.33203125
244,-0.083984375
245,-0.009887695
246,-0.07421875
247,-0.17285156
248,0.0019226074
249,-0.080566406
250,0.3046875
251,0.028686523
252,0.14453125
253,0.014099121
254,0.028198242
255,0.25
256,0.10986328
257,-0.10498047
258,0.15722656
259,0.02734375
260,0.115722656
261,0.08984375
262,0.0025177002
263,0.27929688
264,0.19824219
265,-0.06738281
266,-0.34765625
267,0.007446289
268,0.055908203
269,-0.011169434
270,0.030029297
271,0.083984375
272,-0.06542969
273,-0.064453125
274,0.37109375
275,-0.013061523
276,-0.12792969
277,0.022460938
278,-0.008483887
279,0.025512695
280,-0.171875
281,0.1875
282,-0.024902344
283,0.0054626465
284,-0.30664062
285,0.095703125
286,0.020996094
287,0.008728027
288,-0.24511719
289,0.076171875
290,-0.04345703
291,0.040039062
292,-0.33203125
293,0.10107422
294,0.04345703
295,0.26171875
296,-0.13085938
297,-0.11425781
298,0.07861328
299,-0.14453125
