,British_Virgin_Islands
0,-0.048339844
1,-0.18945312
2,-0.15234375
3,-0.27148438
4,0.21484375
5,0.20898438
6,-0.08984375
7,-0.2578125
8,0.31054688
9,-0.027709961
10,0.36132812
11,-0.0028381348
12,0.063964844
13,0.14257812
14,0.10058594
15,0.20019531
16,-0.15429688
17,0.55859375
18,-0.22558594
19,0.32617188
20,0.3671875
21,-0.09423828
22,0.47460938
23,0.104003906
24,0.34765625
25,0.03491211
26,0.41992188
27,0.095703125
28,-0.2890625
29,0.1796875
30,0.15429688
31,-0.20117188
32,0.10205078
33,-0.043701172
34,-0.091796875
35,-0.21875
36,-0.017333984
37,-0.16308594
38,0.19042969
39,-0.13378906
40,-0.12011719
41,0.26757812
42,0.04711914
43,0.12988281
44,-0.29492188
45,-0.14648438
46,0.036376953
47,0.0115356445
48,0.068847656
49,-0.055419922
50,-0.0046081543
51,-0.068359375
52,0.52734375
53,-0.072753906
54,-0.06933594
55,0.29492188
56,-0.24609375
57,0.044433594
58,-0.118652344
59,-0.25390625
60,0.022338867
61,-0.34375
62,0.27539062
63,-0.103027344
64,-0.19042969
65,-0.022338867
66,-0.114746094
67,0.08691406
68,0.036376953
69,-0.15136719
70,-0.08203125
71,-0.19433594
72,0.26757812
73,0.14941406
74,0.07421875
75,0.0015640259
76,0.061279297
77,-0.29492188
78,0.016967773
79,-0.21875
80,-0.15332031
81,-0.40234375
82,-0.55859375
83,-0.21972656
84,-0.14355469
85,-0.012878418
86,-0.048095703
87,-0.029907227
88,-0.068847656
89,0.31640625
90,0.44335938
91,-0.005859375
92,-0.18652344
93,-0.075683594
94,0.092285156
95,0.16113281
96,0.2890625
97,-0.42382812
98,0.033203125
99,0.39453125
100,0.22363281
101,0.41601562
102,0.28320312
103,-0.1640625
104,0.15429688
105,-0.0077819824
106,0.37890625
107,0.06933594
108,0.43359375
109,0.43164062
110,-0.33789062
111,0.25
112,-0.3671875
113,-0.10644531
114,0.01586914
115,-0.045166016
116,-0.06298828
117,-0.030029297
118,0.11279297
119,0.12207031
120,-0.16992188
121,-0.12792969
122,0.16113281
123,-0.04663086
124,0.06982422
125,0.39453125
126,0.010559082
127,-0.0030670166
128,-0.16503906
129,0.6015625
130,-0.27148438
131,0.27734375
132,0.08154297
133,-0.05053711
134,-0.06640625
135,-0.29492188
136,-0.18554688
137,0.015991211
138,-0.1484375
139,0.16894531
140,-0.041503906
141,0.18457031
142,0.3046875
143,0.037109375
144,0.125
145,0.11816406
146,-0.20410156
147,-0.0035247803
148,0.13964844
149,0.15039062
150,0.51953125
151,-0.091796875
152,-0.02722168
153,0.099121094
154,-0.0119018555
155,0.08300781
156,0.05444336
157,0.13671875
158,0.3359375
159,0.41992188
160,-0.30273438
161,0.1953125
162,0.095703125
163,-0.079589844
164,-0.19628906
165,-0.24902344
166,-0.2890625
167,0.096191406
168,-0.045898438
169,-0.008666992
170,-0.018310547
171,0.15234375
172,0.05126953
173,-0.028320312
174,-0.123046875
175,-0.015319824
176,0.015197754
177,-0.03881836
178,-0.26171875
179,-0.515625
180,0.053222656
181,-0.12792969
182,-0.07763672
183,0.022094727
184,-0.15136719
185,0.007751465
186,0.30078125
187,0.09472656
188,0.21582031
189,-0.024047852
190,-0.23046875
191,-0.07080078
192,-0.18652344
193,0.35546875
194,0.099609375
195,0.6875
196,-0.15625
197,-0.17773438
198,0.13964844
199,-0.3828125
200,0.25
201,-0.09423828
202,0.0146484375
203,-0.049560547
204,-0.039794922
205,-0.23535156
206,0.21972656
207,0.18652344
208,-0.14746094
209,-0.19335938
210,0.0049438477
211,0.036865234
212,0.18164062
213,0.171875
214,0.13378906
215,0.29492188
216,-0.1640625
217,-0.018554688
218,0.2578125
219,-0.21875
220,-0.1640625
221,0.115234375
222,-0.32617188
223,-0.119628906
224,-0.40234375
225,0.1484375
226,0.39648438
227,0.19824219
228,-0.22167969
229,-0.017211914
230,0.08496094
231,-0.011474609
232,-0.05859375
233,-0.34179688
234,0.061035156
235,0.29296875
236,0.08984375
237,-0.041015625
238,0.20117188
239,-0.072753906
240,-0.110839844
241,-0.21484375
242,-0.037109375
243,0.15429688
244,0.14355469
245,-0.037353516
246,0.36132812
247,0.22851562
248,0.30273438
249,0.037597656
250,-0.099609375
251,0.08251953
252,0.40625
253,0.17578125
254,0.18945312
255,0.265625
256,0.087890625
257,0.23632812
258,0.13183594
259,-0.013977051
260,0.36328125
261,-0.035888672
262,-0.016723633
263,-0.30078125
264,0.125
265,0.16699219
266,-0.29492188
267,0.19433594
268,-0.111816406
269,-0.026123047
270,0.0134887695
271,0.106933594
272,0.030395508
273,-0.026855469
274,0.17871094
275,0.02722168
276,-0.14160156
277,-0.16992188
278,-0.014465332
279,0.14257812
280,-0.19042969
281,-0.10839844
282,-0.068359375
283,-0.009765625
284,0.21191406
285,-0.00579834
286,-0.24316406
287,0.1484375
288,0.026489258
289,0.38671875
290,-0.014587402
291,-0.02746582
292,-0.16113281
293,-0.22265625
294,0.09765625
295,0.18945312
296,0.234375
297,0.087402344
298,0.31445312
299,-0.13085938
