,Austria
0,0.15722656
1,-0.027709961
2,0.14160156
3,-0.125
4,-0.123046875
5,0.05517578
6,-0.0027618408
7,-0.24902344
8,-0.057861328
9,0.12158203
10,0.0126953125
11,-0.016845703
12,0.049804688
13,-0.15820312
14,-0.095214844
15,-0.083984375
16,-0.034179688
17,0.25195312
18,-0.09082031
19,0.024902344
20,0.35546875
21,0.079589844
22,-0.13671875
23,0.18457031
24,-0.020019531
25,-0.010375977
26,-0.25976562
27,-0.118652344
28,-0.20214844
29,0.1015625
30,0.099609375
31,-0.14160156
32,-0.008178711
33,-0.022827148
34,0.0095825195
35,-0.29492188
36,-0.20800781
37,0.009094238
38,0.24707031
39,0.09423828
40,0.040771484
41,0.03515625
42,0.14648438
43,-0.14257812
44,0.06689453
45,-0.013000488
46,0.17285156
47,-0.115722656
48,0.18554688
49,0.19433594
50,-0.20410156
51,-0.09765625
52,-0.064453125
53,0.10888672
54,-0.2109375
55,0.119628906
56,-0.453125
57,-0.107421875
58,-0.27539062
59,-0.15039062
60,0.020385742
61,-0.12792969
62,0.044677734
63,-0.10595703
64,0.052001953
65,-0.19824219
66,0.55859375
67,-0.15527344
68,-0.057128906
69,0.10205078
70,-0.20410156
71,0.07861328
72,0.080078125
73,0.16601562
74,0.1484375
75,-0.22558594
76,0.15722656
77,-0.044921875
78,0.18457031
79,-0.19628906
80,-0.095703125
81,-0.2578125
82,-0.010681152
83,-0.07861328
84,0.05053711
85,-0.10449219
86,-0.04638672
87,-0.09082031
88,0.026855469
89,0.14453125
90,0.057617188
91,-0.026733398
92,-0.24902344
93,0.23242188
94,-0.09423828
95,-0.20996094
96,-0.076660156
97,-0.27734375
98,-0.03491211
99,0.053466797
100,-0.06933594
101,-0.107421875
102,0.000705719
103,0.19921875
104,0.25
105,-0.104003906
106,0.17773438
107,0.064941406
108,0.0016021729
109,0.023071289
110,0.103515625
111,-0.08496094
112,0.115722656
113,-0.25390625
114,-0.10205078
115,-0.018188477
116,0.25390625
117,-0.16308594
118,0.47070312
119,0.27734375
120,-0.33203125
121,-0.28515625
122,0.018676758
123,0.0053710938
124,0.114746094
125,-0.16992188
126,0.21972656
127,-0.122558594
128,-0.546875
129,0.21972656
130,-0.12988281
131,0.24414062
132,-0.21875
133,-0.21484375
134,-0.140625
135,-0.16992188
136,-0.063964844
137,0.17480469
138,0.15917969
139,0.08105469
140,0.22265625
141,-0.12890625
142,0.15234375
143,-0.0029907227
144,0.24316406
145,0.051513672
146,0.12890625
147,0.028076172
148,-0.15332031
149,-0.042236328
150,0.22070312
151,0.048095703
152,0.045898438
153,0.016357422
154,0.17578125
155,-0.079589844
156,-0.22265625
157,0.2421875
158,-0.07519531
159,0.140625
160,-0.05126953
161,-0.032470703
162,0.07080078
163,-0.100097656
164,0.023071289
165,0.18359375
166,-0.10498047
167,0.34765625
168,-0.17871094
169,0.23144531
170,-0.47851562
171,0.051513672
172,0.00793457
173,-0.10058594
174,-0.16210938
175,-0.14257812
176,0.15039062
177,-0.08642578
178,0.10205078
179,0.046875
180,-0.03564453
181,-0.42382812
182,-0.1484375
183,-0.16015625
184,0.36132812
185,0.16699219
186,-0.0059814453
187,-0.27734375
188,-0.265625
189,0.4453125
190,-0.018920898
191,0.0390625
192,0.19335938
193,0.057128906
194,0.09716797
195,0.0012817383
196,0.05078125
197,0.056152344
198,-0.02734375
199,-0.12402344
200,0.15039062
201,0.028808594
202,0.12890625
203,-0.14648438
204,0.16015625
205,-0.048339844
206,-0.0546875
207,-0.07763672
208,-0.35351562
209,0.05102539
210,0.15136719
211,-0.26367188
212,0.15234375
213,0.13378906
214,-0.13378906
215,-0.14648438
216,0.18359375
217,0.11621094
218,0.09863281
219,-0.14550781
220,-0.14257812
221,-0.3515625
222,-0.13476562
223,-0.1640625
224,-0.14160156
225,0.18359375
226,0.14648438
227,-0.07324219
228,0.057373047
229,-0.20214844
230,-0.16113281
231,0.23632812
232,0.02722168
233,0.057373047
234,-0.03564453
235,0.32421875
236,-0.114746094
237,0.30078125
238,0.04663086
239,-0.1015625
240,0.125
241,-0.057128906
242,-0.037109375
243,0.20898438
244,0.10546875
245,0.079589844
246,-0.11328125
247,0.14355469
248,-0.095214844
249,-0.19726562
250,0.035888672
251,0.026855469
252,0.10107422
253,0.33007812
254,-0.039794922
255,0.32617188
256,0.049560547
257,0.061767578
258,0.17089844
259,-0.13671875
260,0.16992188
261,0.051757812
262,0.15429688
263,0.24804688
264,0.34179688
265,0.07373047
266,-0.055908203
267,-0.16015625
268,-0.07080078
269,0.20117188
270,0.15429688
271,0.09033203
272,0.028808594
273,-0.06738281
274,0.28515625
275,-0.13769531
276,0.13671875
277,0.125
278,-0.1796875
279,0.09667969
280,0.12451172
281,-0.014160156
282,0.15820312
283,0.17773438
284,-0.08496094
285,0.16601562
286,0.11816406
287,0.076171875
288,-0.06738281
289,0.18066406
290,0.08154297
291,0.052490234
292,-0.18457031
293,0.10986328
294,-0.068847656
295,0.07421875
296,-0.07763672
297,0.0859375
298,0.09814453
299,0.01184082
