,France
0,0.048583984
1,0.07861328
2,0.32421875
3,0.03491211
4,0.07714844
5,0.03540039
6,-0.12597656
7,-0.38671875
8,-0.13183594
9,0.029174805
10,-0.14453125
11,-0.14257812
12,0.1796875
13,-0.27539062
14,-0.16503906
15,0.09326172
16,0.1171875
17,0.18261719
18,0.061035156
19,0.11425781
20,0.18261719
21,-0.11669922
22,-0.032470703
23,-0.075683594
24,0.009643555
25,0.0859375
26,-0.28515625
27,-0.25585938
28,0.030151367
29,0.21679688
30,-0.100097656
31,0.028564453
32,-0.28125
33,-0.083984375
34,-0.020263672
35,-0.19628906
36,-0.047851562
37,0.07128906
38,-0.14257812
39,-0.011352539
40,0.11621094
41,0.072265625
42,0.14746094
43,0.15039062
44,0.140625
45,0.24707031
46,-0.16992188
47,0.07763672
48,-0.05444336
49,0.16699219
50,-0.14550781
51,0.021240234
52,-0.07519531
53,0.045898438
54,-0.25585938
55,0.14941406
56,-0.5625
57,-0.13476562
58,-0.1875
59,-0.0032653809
60,0.084472656
61,0.13378906
62,0.029907227
63,-0.29296875
64,-0.15625
65,0.0025024414
66,-0.011047363
67,-0.07080078
68,0.019042969
69,0.15625
70,-0.049560547
71,0.20800781
72,-0.036621094
73,0.20703125
74,0.12792969
75,0.029174805
76,-0.0048828125
77,-0.0063171387
78,0.064941406
79,0.16601562
80,-0.010803223
81,-0.18359375
82,0.14941406
83,-0.171875
84,0.18554688
85,-0.09863281
86,-0.2109375
87,-0.020629883
88,0.10205078
89,0.14160156
90,-0.12109375
91,0.059326172
92,-0.2890625
93,0.07470703
94,0.03112793
95,-0.22167969
96,0.19433594
97,-0.46289062
98,-0.067871094
99,-0.019165039
100,-0.23925781
101,-0.10986328
102,-0.14550781
103,0.18164062
104,0.12792969
105,-0.14160156
106,0.083984375
107,-0.0065612793
108,0.088378906
109,0.02758789
110,-0.0056152344
111,0.08886719
112,0.22558594
113,-0.03491211
114,0.17285156
115,-0.026489258
116,0.0016174316
117,0.21777344
118,0.3515625
119,0.16113281
120,-0.08203125
121,-0.13671875
122,0.022094727
123,-0.029663086
124,0.27734375
125,-0.16796875
126,-0.030883789
127,-0.15917969
128,-0.40039062
129,0.08935547
130,0.029907227
131,0.18261719
132,-0.30664062
133,-0.17480469
134,-0.009094238
135,-0.045166016
136,0.04345703
137,-0.012573242
138,0.15722656
139,-0.076660156
140,0.23632812
141,-0.110839844
142,0.21191406
143,-0.052978516
144,0.122558594
145,0.009399414
146,0.12597656
147,0.048583984
148,-0.047607422
149,-0.20996094
150,-0.14257812
151,0.013427734
152,-0.0033569336
153,0.083984375
154,0.103515625
155,-0.31445312
156,0.008483887
157,0.17871094
158,0.09472656
159,0.16113281
160,-0.047607422
161,0.19140625
162,0.20996094
163,-0.071777344
164,0.29492188
165,-0.19628906
166,-0.17871094
167,0.11035156
168,-0.017700195
169,0.09667969
170,-0.12060547
171,0.140625
172,0.06347656
173,-0.19335938
174,-0.072753906
175,-0.06640625
176,0.044677734
177,-0.125
178,0.12695312
179,-0.10253906
180,0.13085938
181,-0.23730469
182,-0.31054688
183,-0.23925781
184,0.42382812
185,-0.0035552979
186,0.18554688
187,0.23828125
188,-0.1484375
189,0.19140625
190,0.12011719
191,0.057373047
192,0.111816406
193,0.009521484
194,-0.014282227
195,0.33398438
196,0.11767578
197,-0.084472656
198,-0.16699219
199,-0.21289062
200,0.11328125
201,0.037109375
202,-0.060058594
203,-0.16113281
204,0.12890625
205,0.16308594
206,-0.17675781
207,-0.20507812
208,0.079589844
209,-0.079589844
210,0.053955078
211,-0.12890625
212,-0.08642578
213,0.375
214,-0.12695312
215,-0.111328125
216,0.018188477
217,-0.15527344
218,0.15039062
219,-0.04272461
220,-0.13085938
221,-0.16992188
222,-0.006164551
223,-0.030639648
224,-0.15625
225,0.07373047
226,0.25976562
227,0.08496094
228,0.37109375
229,0.092285156
230,-0.09814453
231,-0.033935547
232,0.20117188
233,0.07128906
234,-0.05493164
235,0.036132812
236,-0.09326172
237,0.075683594
238,-0.22949219
239,-0.08154297
240,0.08886719
241,-0.060302734
242,0.1640625
243,0.23535156
244,0.14160156
245,0.0703125
246,-0.390625
247,-0.115722656
248,-0.22558594
249,-0.11279297
250,0.0859375
251,0.078125
252,-0.022094727
253,0.15625
254,0.047607422
255,0.119140625
256,0.036132812
257,-0.19824219
258,0.07470703
259,0.17285156
260,0.06982422
261,0.27539062
262,-0.033691406
263,0.24902344
264,0.21777344
265,-0.060302734
266,-0.14746094
267,-0.29296875
268,-0.11816406
269,0.14355469
270,-0.1953125
271,0.075683594
272,-0.03564453
273,-0.107910156
274,0.07519531
275,0.09814453
276,-0.06591797
277,0.265625
278,-0.1484375
279,0.049316406
280,-0.23730469
281,0.025024414
282,0.000869751
283,-0.003479004
284,-0.08251953
285,0.24316406
286,-0.024902344
287,0.14941406
288,-0.06640625
289,0.049560547
290,0.13867188
291,0.31640625
292,-6.580353e-05
293,0.16210938
294,-0.15429688
295,-0.07714844
296,-0.119628906
297,-0.022216797
298,0.16015625
299,-0.071777344
