,Mali
0,0.171875
1,0.13867188
2,0.28125
3,0.08203125
4,0.08642578
5,0.08691406
6,-0.09716797
7,-0.5625
8,-0.4375
9,-0.17480469
10,0.02722168
11,-0.010559082
12,0.07421875
13,-0.10449219
14,0.033203125
15,0.27734375
16,-0.100097656
17,0.14941406
18,-0.3125
19,0.24609375
20,-0.052246094
21,-0.21289062
22,-0.017822266
23,-0.037597656
24,0.13476562
25,-0.14453125
26,0.005218506
27,-0.53125
28,0.07763672
29,-0.10644531
30,0.029296875
31,0.09716797
32,-0.23339844
33,-0.10888672
34,-0.3125
35,0.071777344
36,-0.26757812
37,0.22753906
38,0.28125
39,-0.22363281
40,0.14550781
41,0.33789062
42,0.12597656
43,0.30664062
44,0.18164062
45,0.040771484
46,-0.18847656
47,-0.06640625
48,0.18359375
49,-0.053222656
50,-0.025146484
51,-0.23535156
52,0.140625
53,-0.26171875
54,-0.11328125
55,0.1328125
56,-0.41796875
57,-0.016723633
58,-0.09814453
59,-0.02734375
60,-0.017089844
61,-0.23730469
62,0.08886719
63,-0.014526367
64,-0.21679688
65,-0.23144531
66,0.0074157715
67,-0.23144531
68,-0.05883789
69,0.080566406
70,-0.18554688
71,-0.3125
72,-0.10253906
73,-0.061035156
74,-0.21777344
75,0.060546875
76,-0.13964844
77,-0.08105469
78,0.0027923584
79,0.2890625
80,-0.041992188
81,-0.038330078
82,-0.15039062
83,0.07714844
84,0.048339844
85,-0.076660156
86,0.092285156
87,-0.11035156
88,-0.11328125
89,-0.016845703
90,0.052734375
91,-0.030761719
92,-0.2734375
93,-0.12792969
94,0.03173828
95,-0.35742188
96,0.056884766
97,-0.071777344
98,-0.014709473
99,0.09423828
100,-0.30078125
101,-0.31445312
102,-0.21972656
103,-0.12988281
104,-0.29101562
105,0.026123047
106,-0.00039291382
107,-0.30078125
108,-0.072265625
109,-0.0019073486
110,0.31445312
111,0.16992188
112,0.061523438
113,-0.03881836
114,-0.22558594
115,-0.04248047
116,0.08251953
117,0.048095703
118,0.21582031
119,-0.041503906
120,-0.21582031
121,-0.07470703
122,-0.25390625
123,-0.05126953
124,0.15332031
125,-0.0087890625
126,-0.37695312
127,0.072265625
128,-0.07421875
129,-0.08544922
130,0.016113281
131,0.0390625
132,-0.13769531
133,-0.12988281
134,-0.0034637451
135,-0.075683594
136,-0.30859375
137,0.16796875
138,-0.059326172
139,0.375
140,-0.08251953
141,-0.033691406
142,0.025146484
143,0.060302734
144,-0.12011719
145,0.22265625
146,0.03125
147,0.052246094
148,0.40625
149,-0.15722656
150,-0.0049438477
151,-0.11816406
152,-0.030029297
153,-0.038330078
154,0.21972656
155,-0.25585938
156,-0.140625
157,0.31445312
158,0.12695312
159,-0.10644531
160,-0.27148438
161,0.06542969
162,0.05419922
163,0.1953125
164,0.05102539
165,-0.29296875
166,0.010620117
167,-0.017822266
168,0.022338867
169,0.048828125
170,-0.125
171,0.28515625
172,-0.06982422
173,-0.05419922
174,0.20898438
175,-0.19628906
176,0.07470703
177,-0.31835938
178,0.14746094
179,-0.14453125
180,-0.119140625
181,-0.27929688
182,-0.0043029785
183,0.021728516
184,0.14550781
185,0.00390625
186,-0.12695312
187,0.052490234
188,0.0859375
189,0.1796875
190,-0.1484375
191,-0.26367188
192,-0.020507812
193,0.071777344
194,-0.06298828
195,0.40820312
196,0.07470703
197,-0.011047363
198,-0.22949219
199,0.016723633
200,0.12695312
201,-0.008911133
202,-0.0037994385
203,-0.21289062
204,0.27734375
205,0.06542969
206,0.14355469
207,0.019897461
208,-0.21972656
209,0.07080078
210,-0.19238281
211,-0.18945312
212,-0.15039062
213,0.33398438
214,-0.06591797
215,-0.07421875
216,-0.12011719
217,-0.07910156
218,-0.16699219
219,-0.24511719
220,-0.018920898
221,0.043945312
222,-0.12988281
223,0.19628906
224,-0.076171875
225,0.140625
226,0.1640625
227,0.045166016
228,0.2578125
229,-0.09716797
230,0.080566406
231,0.15722656
232,0.12695312
233,0.16503906
234,-0.08300781
235,0.14746094
236,0.09423828
237,0.11767578
238,-0.125
239,-0.07324219
240,0.14648438
241,-0.19335938
242,0.25195312
243,0.05078125
244,0.17578125
245,-0.14941406
246,-0.21972656
247,-0.34765625
248,-0.13378906
249,-0.079589844
250,0.36328125
251,0.42773438
252,0.068847656
253,0.00030899048
254,0.40234375
255,-0.048095703
256,-0.15234375
257,-0.16601562
258,0.18359375
259,-0.10595703
260,-0.055908203
261,0.2265625
262,0.20507812
263,0.24316406
264,0.17675781
265,-0.07519531
266,-0.453125
267,-0.10839844
268,-0.23828125
269,0.15527344
270,0.119140625
271,-0.056884766
272,0.020874023
273,-0.23339844
274,0.56640625
275,0.060791016
276,-0.024536133
277,-0.27929688
278,-0.33789062
279,-0.05126953
280,-0.068359375
281,-0.20605469
282,-0.17480469
283,-0.16308594
284,-0.14257812
285,-0.09472656
286,-0.06347656
287,-0.079589844
288,0.11767578
289,0.119628906
290,0.05517578
291,0.29296875
292,0.034179688
293,-0.13378906
294,-0.048339844
295,0.3046875
296,-0.27929688
297,-0.071777344
298,0.027954102
299,0.114746094
