,United_States
0,-0.036132812
1,-0.048339844
2,0.23535156
3,0.17480469
4,-0.14648438
5,-0.07421875
6,-0.1015625
7,-0.07714844
8,0.109375
9,-0.057128906
10,-0.1484375
11,-0.060058594
12,0.17480469
13,-0.07714844
14,0.025878906
15,-0.076660156
16,-0.038085938
17,0.13574219
18,0.037597656
19,-0.041992188
20,-0.03564453
21,0.053466797
22,0.0003681183
23,-0.16699219
24,-0.1171875
25,0.14160156
26,-0.16992188
27,-0.064941406
28,-0.16699219
29,0.10058594
30,0.115722656
31,-0.21875
32,-0.09863281
33,-0.025634766
34,0.123046875
35,-0.03540039
36,-0.15820312
37,-0.16015625
38,0.029418945
39,0.08154297
40,0.068847656
41,0.1875
42,0.064941406
43,0.115234375
44,-0.022705078
45,0.33203125
46,-0.032714844
47,0.17773438
48,-0.20800781
49,0.045410156
50,-0.012390137
51,0.119628906
52,0.007446289
53,-0.009033203
54,0.11425781
55,0.16992188
56,-0.23828125
57,-0.027954102
58,-0.12109375
59,0.024780273
60,0.07714844
61,-0.028198242
62,-0.04711914
63,0.017822266
64,-0.123046875
65,-0.053222656
66,0.026855469
67,-0.03112793
68,-0.055908203
69,-0.050048828
70,-0.037353516
71,0.12597656
72,0.056152344
73,0.15136719
74,0.04296875
75,-0.20800781
76,-0.047851562
77,0.027832031
78,0.18164062
79,0.22070312
80,-0.036132812
81,-0.083984375
82,-3.695488e-05
83,-0.095214844
84,-0.125
85,-0.1953125
86,-0.15039062
87,-0.041503906
88,0.13183594
89,0.11767578
90,0.019165039
91,0.05517578
92,-0.09423828
93,-0.10888672
94,0.07324219
95,-0.115234375
96,0.08935547
97,-0.140625
98,0.14550781
99,0.044921875
100,-0.011047363
101,-0.016235352
102,0.004058838
103,0.037597656
104,-0.06982422
105,-0.0546875
106,0.021728516
107,-0.09472656
108,0.04248047
109,0.018188477
110,-0.017333984
111,0.04638672
112,-0.14257812
113,0.19921875
114,0.110839844
115,0.025878906
116,-0.07080078
117,-0.055419922
118,0.34570312
119,0.16113281
120,-0.24414062
121,-0.25976562
122,-0.09716797
123,0.080078125
124,-0.087890625
125,-0.072265625
126,0.14257812
127,-0.08544922
128,-0.31835938
129,0.08300781
130,0.06347656
131,0.1640625
132,-0.19238281
133,-0.11767578
134,-0.05419922
135,-0.15625
136,-0.12158203
137,-0.049560547
138,0.12011719
139,-0.038330078
140,0.05517578
141,-0.008972168
142,0.04321289
143,0.06933594
144,0.08935547
145,0.25390625
146,0.16503906
147,0.1640625
148,-0.14160156
149,0.045898438
150,0.19726562
151,-0.08984375
152,0.0390625
153,-0.15136719
154,-0.008605957
155,-0.11767578
156,-0.19726562
157,-0.11279297
158,0.12988281
159,0.19628906
160,0.0015640259
161,0.03930664
162,0.21777344
163,-0.14355469
164,0.060302734
165,-0.13574219
166,0.11621094
167,-0.015991211
168,0.27929688
169,0.14648438
170,-0.119628906
171,0.17675781
172,0.12890625
173,-0.14941406
174,0.06933594
175,-0.17285156
176,0.092285156
177,0.013305664
178,-0.20019531
179,-0.09765625
180,-0.16503906
181,-0.24609375
182,-0.02355957
183,-0.21191406
184,0.18457031
185,-0.018554688
186,0.21679688
187,0.05053711
188,0.020263672
189,0.42578125
190,0.12890625
191,-0.027709961
192,0.12988281
193,-0.115722656
194,-0.020507812
195,0.14941406
196,0.0078125
197,-0.20507812
198,-0.080566406
199,-0.26757812
200,-0.022949219
201,-0.08203125
202,0.08642578
203,0.076171875
204,-0.036621094
205,0.052246094
206,-0.12207031
207,-0.014404297
208,-0.26953125
209,0.084472656
210,-0.025268555
211,-0.029663086
212,-0.16894531
213,0.19335938
214,-0.10839844
215,0.01940918
216,-0.18066406
217,0.19335938
218,-0.07080078
219,0.05859375
220,-0.1015625
221,-0.13183594
222,0.07519531
223,-0.076660156
224,0.0033721924
225,-0.0859375
226,0.125
227,0.029296875
228,0.17089844
229,-0.09375
230,-0.109375
231,-0.025024414
232,0.21191406
233,-0.044433594
234,0.061279297
235,0.026245117
236,-0.17773438
237,0.123046875
238,-0.07421875
239,-0.16796875
240,-0.10888672
241,-0.00090408325
242,-0.07373047
243,0.05493164
244,0.060302734
245,0.083984375
246,0.091796875
247,-0.1328125
248,0.12207031
249,-0.0087890625
250,0.119140625
251,-0.19433594
252,-0.06640625
253,-0.20703125
254,0.07373047
255,0.08935547
256,0.018188477
257,-0.12060547
258,-0.026123047
259,0.026733398
260,0.07763672
261,-0.08300781
262,0.067871094
263,-0.03540039
264,0.31054688
265,-0.024291992
266,-0.14160156
267,-0.20800781
268,-0.0045776367
269,-0.06542969
270,-0.049560547
271,0.22265625
272,0.15332031
273,-0.13867188
274,-0.052490234
275,0.04248047
276,-0.23828125
277,0.15625
278,0.0005836487
279,-0.12060547
280,-0.092285156
281,-0.044433594
282,0.036132812
283,-0.018676758
284,-0.08251953
285,-0.08251953
286,-0.040527344
287,0.0119018555
288,0.16992188
289,-0.028076172
290,0.003036499
291,0.09326172
292,-0.08496094
293,0.01574707
294,0.0703125
295,0.016235352
296,-0.022705078
297,0.03515625
298,0.24707031
299,-0.026733398
