,Spain
0,0.03149414
1,-0.18261719
2,0.16308594
3,0.12451172
4,-0.018554688
5,-0.17382812
6,-0.12109375
7,-0.1328125
8,-0.125
9,0.24511719
10,-0.21875
11,0.04296875
12,0.16601562
13,-0.114746094
14,-0.07373047
15,0.028198242
16,0.07714844
17,0.13964844
18,0.10644531
19,0.3984375
20,0.31835938
21,-0.033447266
22,0.038085938
23,0.21582031
24,-0.0039367676
25,0.049560547
26,-0.18164062
27,-0.17773438
28,-0.21777344
29,0.22851562
30,0.14746094
31,0.028076172
32,0.0040893555
33,-0.09326172
34,-0.115722656
35,-0.010131836
36,-0.36914062
37,-0.15332031
38,0.060791016
39,0.015014648
40,0.14257812
41,0.004638672
42,0.07128906
43,0.26953125
44,0.19628906
45,0.06738281
46,0.0016479492
47,-0.076171875
48,-0.08154297
49,0.25195312
50,-0.13867188
51,0.26171875
52,0.011352539
53,-0.032226562
54,-0.171875
55,0.16796875
56,-0.3359375
57,0.08105469
58,-0.19921875
59,0.1171875
60,-0.029418945
61,0.068359375
62,-0.16894531
63,-0.24707031
64,0.026000977
65,-0.13574219
66,0.13085938
67,-0.18554688
68,-0.020385742
69,0.025512695
70,-0.21484375
71,-0.063964844
72,-0.0069885254
73,0.20410156
74,0.028442383
75,0.036865234
76,0.125
77,-0.123046875
78,-0.01586914
79,0.09765625
80,0.0014648438
81,0.034179688
82,-0.0095825195
83,-0.24511719
84,0.03149414
85,-0.083496094
86,-0.2578125
87,0.15332031
88,0.021484375
89,0.103515625
90,0.21679688
91,-0.01953125
92,-0.27734375
93,0.12890625
94,-0.037109375
95,0.0071105957
96,0.0016937256
97,-0.28710938
98,0.24707031
99,0.13671875
100,-0.23730469
101,0.041748047
102,-0.078125
103,0.22167969
104,0.18164062
105,-0.078125
106,-0.0025482178
107,-0.265625
108,-0.020751953
109,-0.080078125
110,0.13183594
111,0.10107422
112,0.2265625
113,-0.19238281
114,0.044677734
115,0.06640625
116,-0.19335938
117,0.10839844
118,0.42578125
119,0.25585938
120,-0.02758789
121,-0.20898438
122,0.14453125
123,-0.16113281
124,0.11425781
125,-0.19140625
126,0.12402344
127,-0.16113281
128,-0.5703125
129,0.10888672
130,-0.18945312
131,-0.045654297
132,-0.27539062
133,-0.10058594
134,0.056396484
135,-0.23730469
136,-0.23339844
137,0.12207031
138,0.095214844
139,-0.22558594
140,-0.036865234
141,-0.20019531
142,-0.076171875
143,-0.039794922
144,0.26171875
145,0.024414062
146,0.080078125
147,0.03930664
148,-0.057128906
149,-0.115234375
150,-0.028198242
151,-0.06347656
152,-0.1953125
153,-0.17871094
154,0.12109375
155,-0.13574219
156,-0.43945312
157,0.045898438
158,0.047607422
159,0.028686523
160,0.020629883
161,0.3046875
162,0.037841797
163,-0.07373047
164,0.27539062
165,-0.020263672
166,0.029541016
167,0.008178711
168,-0.076660156
169,0.09667969
170,-0.20996094
171,0.123046875
172,0.171875
173,-0.01550293
174,-0.10546875
175,-0.047607422
176,0.09423828
177,-0.14648438
178,0.018798828
179,-0.023925781
180,-0.19433594
181,-0.2890625
182,-0.28710938
183,-0.043701172
184,0.25390625
185,-0.20117188
186,0.16113281
187,0.001739502
188,-0.06982422
189,0.15039062
190,-0.07128906
191,0.057373047
192,0.010864258
193,0.022827148
194,-0.04296875
195,0.3515625
196,0.09667969
197,-0.111328125
198,-0.12890625
199,-0.22167969
200,0.092285156
201,-0.106933594
202,-0.14160156
203,-0.041503906
204,0.17285156
205,-0.12695312
206,-0.044921875
207,-0.06298828
208,0.045410156
209,-0.17285156
210,0.10107422
211,-0.19824219
212,-0.15820312
213,0.14257812
214,-0.16601562
215,-0.09716797
216,-0.020507812
217,-0.2421875
218,-0.06542969
219,0.08154297
220,0.091796875
221,-0.26757812
222,-0.15917969
223,-0.13671875
224,-0.42773438
225,-0.09765625
226,0.13671875
227,0.1640625
228,0.37109375
229,-0.03491211
230,-0.2109375
231,-0.09667969
232,0.048583984
233,0.067871094
234,-0.032226562
235,-0.020263672
236,-0.078125
237,0.087402344
238,0.01965332
239,-0.087402344
240,-0.053710938
241,-0.10595703
242,0.15039062
243,0.044921875
244,-0.08154297
245,-0.028076172
246,-0.15527344
247,-0.17773438
248,-0.13574219
249,0.055419922
250,0.24023438
251,-7.867813e-05
252,0.061523438
253,0.18261719
254,0.140625
255,0.056640625
256,0.119140625
257,0.064941406
258,-0.060546875
259,-0.044921875
260,0.13085938
261,0.17675781
262,0.08544922
263,0.017333984
264,0.171875
265,0.016357422
266,-0.26171875
267,-0.17382812
268,0.016357422
269,-0.00970459
270,-0.16015625
271,0.375
272,0.26953125
273,-0.059814453
274,0.20117188
275,-0.007080078
276,-0.19628906
277,0.027954102
278,-0.22753906
279,0.0234375
280,-0.15332031
281,-0.045166016
282,-0.030883789
283,-0.15136719
284,-0.21777344
285,-0.013427734
286,-0.025146484
287,-0.021972656
288,-0.10498047
289,0.20410156
290,0.107421875
291,0.21582031
292,0.1484375
293,0.115234375
294,-0.17675781
295,0.14453125
296,-0.13574219
297,0.037597656
298,0.19628906
299,0.1796875
