,car
1800,1.0964869943563826e-05
1801,1.0503197700018063e-05
1802,1.6443063941551372e-05
1803,1.0875337466131896e-05
1804,1.0706762623158284e-05
1805,1.2252794476808049e-05
1806,1.2963130757270847e-05
1807,1.3133588254277129e-05
1808,1.1698990419972688e-05
1809,9.675462024461012e-06
1810,1.1320960766170174e-05
1811,8.338211955560837e-06
1812,8.680411156092305e-06
1813,8.29601503937738e-06
1814,1.0372426913818344e-05
1815,8.408259418501984e-06
1816,7.772367098368704e-06
1817,8.603642527305055e-06
1818,8.233588232542388e-06
1819,8.699451427673921e-06
1820,7.661978088435717e-06
1821,7.795178134983871e-06
1822,9.318290722148959e-06
1823,8.161367986758705e-06
1824,8.34458478493616e-06
1825,8.194946531148162e-06
1826,9.104796845349483e-06
1827,8.040226930461358e-06
1828,7.83947962190723e-06
1829,7.993772669578902e-06
1830,8.705607797310222e-06
1831,8.583399903727695e-06
1832,4.6105196815915406e-05
1833,8.441218596999533e-06
1834,9.45221745496383e-06
1835,1.0206695151282474e-05
1836,8.725457519176416e-06
1837,8.309092663694173e-06
1838,8.141568287101109e-06
1839,9.118807611230295e-06
1840,8.303733011416625e-06
1841,9.495228368905373e-06
1842,8.317239917232655e-06
1843,8.261395123554394e-06
1844,8.04175670054974e-06
1845,8.450305358564947e-06
1846,9.225418580172118e-06
1847,1.0551490959187504e-05
1848,8.83140728547005e-06
1849,8.945513400249183e-06
1850,1.0246626516163815e-05
1851,1.1223715773667209e-05
1852,1.0793263754749205e-05
1853,1.1885990716109518e-05
1854,1.2896332009404432e-05
1855,1.1154134881508071e-05
1856,1.1791108590841759e-05
1857,1.1475739484012593e-05
1858,1.0789424777613021e-05
1859,1.16783739940729e-05
1860,1.139529649663018e-05
1861,1.0338275387766771e-05
1862,1.1021334103133995e-05
1863,1.2824792065657675e-05
1864,1.3125527402735315e-05
1865,1.4643987924500834e-05
1866,1.559849624754861e-05
1867,1.5525612980127335e-05
1868,1.5822932255105115e-05
1869,1.566719583934173e-05
1870,1.6681866327417083e-05
1871,1.8948267097584903e-05
1872,2.1638279577018693e-05
1873,2.0130868506385013e-05
1874,2.516385393391829e-05
1875,2.2641708710580133e-05
1876,2.244372444692999e-05
1877,2.6810079361894168e-05
1878,2.640579805301968e-05
1879,2.4921386284404434e-05
1880,2.5974753953050822e-05
1881,2.9883569368394092e-05
1882,3.062705945922062e-05
1883,3.289378582849167e-05
1884,3.716930950758979e-05
1885,3.738587474799715e-05
1886,4.385345891932957e-05
1887,4.730310320155695e-05
1888,5.287275052978657e-05
1889,5.1534734666347504e-05
1890,5.682041228283197e-05
1891,5.547261389438063e-05
1892,5.9266374591970816e-05
1893,6.381206912919879e-05
1894,5.749619595007971e-05
1895,6.559014582308009e-05
1896,7.130810263333842e-05
1897,7.571261812699959e-05
1898,7.077395275700837e-05
1899,6.516680150525644e-05
1900,6.657947960775346e-05
1901,7.832188566680998e-05
1902,8.221347525250167e-05
1903,9.4494731456507e-05
1904,0.00011157554399687797
1905,0.00011593109229579568
1906,0.00011454322520876303
1907,0.00012356720981188118
1908,0.00011993008229183033
1909,0.00011290174734313041
1910,0.00012502766912803054
1911,0.00011497423838591203
1912,0.0001270614011446014
1913,0.0001268489140784368
