,credit
1800,5.981271169730462e-05
1801,7.788892253302038e-05
1802,7.724034367129207e-05
1803,6.975315773161128e-05
1804,7.155393541324884e-05
1805,8.25179522507824e-05
1806,7.430458208546042e-05
1807,7.07633444108069e-05
1808,6.61276571918279e-05
1809,6.845941243227571e-05
1810,6.90417509758845e-05
1811,8.124690066324547e-05
1812,8.603409514762461e-05
1813,7.295702380361035e-05
1814,7.978827488841489e-05
1815,7.566765270894393e-05
1816,8.307361713377759e-05
1817,7.285304309334606e-05
1818,7.482831279048696e-05
1819,7.083762466209009e-05
1820,6.792149360990152e-05
1821,6.887453491799533e-05
1822,6.243475945666432e-05
1823,7.191909389803186e-05
1824,6.736499926773831e-05
1825,6.63875398458913e-05
1826,7.195149373728782e-05
1827,6.521934847114608e-05
1828,6.24011954641901e-05
1829,6.063886758056469e-05
1830,6.559327448485419e-05
1831,6.291738827712834e-05
1832,6.905424379510805e-05
1833,6.664513057330623e-05
1834,7.491285214200616e-05
1835,5.599675205303356e-05
1836,6.003378439345397e-05
1837,7.487253606086597e-05
1838,6.934526027180254e-05
1839,6.251072773011401e-05
1840,6.645696703344584e-05
1841,6.402280268957838e-05
1842,5.9878930187551305e-05
1843,6.002924055792391e-05
1844,5.7401794038014486e-05
1845,5.349149796529673e-05
1846,5.637153662974015e-05
1847,5.845977648277767e-05
1848,6.088223744882271e-05
1849,5.699078246834688e-05
1850,5.2934752602595836e-05
1851,5.923047137912363e-05
1852,5.3520925575867295e-05
1853,5.938608956057578e-05
1854,5.6994627811945975e-05
1855,5.433584010461345e-05
1856,5.277182935969904e-05
1857,5.604171383311041e-05
1858,6.1005928728263825e-05
1859,5.5960106692509726e-05
1860,5.3837553423363715e-05
1861,5.2088955271756276e-05
1862,5.101221540826373e-05
1863,5.6872788263717666e-05
1864,5.483026325237006e-05
1865,5.558170596486889e-05
1866,5.465672438731417e-05
1867,5.4423875553766266e-05
1868,5.4393305617850274e-05
1869,5.435054117697291e-05
1870,5.365336619433947e-05
1871,5.4483720305142924e-05
1872,5.377315028454177e-05
1873,5.1304756198078394e-05
1874,5.2452269301284105e-05
1875,5.4669304518029094e-05
1876,5.335617242963053e-05
1877,5.354616223485209e-05
1878,5.459077874547802e-05
1879,5.3951349400449544e-05
1880,5.4262785852188244e-05
1881,5.3683645091950893e-05
1882,5.1482409617165104e-05
1883,5.045810394221917e-05
1884,5.634260014630854e-05
1885,5.0446386012481526e-05
1886,5.531494025490247e-05
1887,5.277172749629244e-05
1888,5.1973347581224516e-05
1889,5.3081435908097774e-05
1890,5.457711449707858e-05
1891,5.469555253512226e-05
1892,4.9803187721408904e-05
1893,5.327553299139254e-05
1894,5.5274751503020525e-05
1895,5.4782460210844874e-05
1896,5.740721826441586e-05
1897,5.380488801165484e-05
1898,5.5552340199938044e-05
1899,5.265215804683976e-05
1900,5.3168085287325084e-05
1901,5.525325468624942e-05
1902,5.346320540411398e-05
1903,5.580685319728218e-05
1904,5.5968488595681265e-05
1905,5.547242471948266e-05
1906,5.427160795079544e-05
1907,5.6570996093796566e-05
1908,5.8389308833284304e-05
1909,5.739193511544727e-05
1910,6.415686220861971e-05
1911,6.373947690008208e-05
1912,6.308820593403652e-05
1913,7.216964877443388e-05
1914,6.991600821493194e-05
1915,7.409792306134477e-05
1916,7.402258779620752e-05
1917,7.6332114986144e-05
1918,7.636826921952888e-05
1919,8.13251972431317e-05
1920,8.570924546802416e-05
1921,8.921120752347633e-05
1922,8.739125041756779e-05
1923,9.030701039591804e-05
1924,9.177563333651051e-05
1925,8.684259955771267e-05
1926,8.984908345155418e-05
1927,9.815750672714785e-05
1928,8.980667917057872e-05
1929,9.164474613498896e-05
1930,9.752868209034204e-05
1931,0.000107077561551705
1932,0.00011288424138911068
1933,0.00011474595521576703
1934,0.00010957485937979072
1935,0.00010249384649796411
1936,0.00010538446076679975
1937,9.667292761150748e-05
1938,9.834613592829555e-05
1939,0.00010363723413320258
1940,0.0001062103983713314
1941,0.00010782090248540044
1942,9.997453162213787e-05
1943,9.675284672994167e-05
1944,9.566688822815195e-05
1945,9.42936385399662e-05
1946,8.66229529492557e-05
1947,9.066457278095186e-05
1948,9.200708154821768e-05
1949,8.944077853811905e-05
1950,8.19968045107089e-05
1951,8.852245809976012e-05
1952,8.78600258147344e-05
1953,8.980096026789397e-05
1954,9.097599104279652e-05
1955,8.919279935071245e-05
1956,8.692434494150802e-05
1957,9.295965719502419e-05
1958,8.562666334910318e-05
1959,8.317899482790381e-05
1960,7.696414832025766e-05
1961,8.366906695300713e-05
1962,8.058575622271746e-05
1963,8.236232679337263e-05
1964,8.001336391316727e-05
1965,7.992849714355543e-05
1966,8.411367889493704e-05
1967,9.10265080165118e-05
1968,8.428950241068378e-05
1969,9.084010525839403e-05
1970,8.230000094044954e-05
1971,8.769670239416882e-05
1972,7.922784425318241e-05
1973,8.874593913787976e-05
1974,8.406853157794103e-05
1975,9.894842514768243e-05
1976,9.18508812901564e-05
1977,9.805840818444267e-05
1978,9.80235417955555e-05
1979,9.712771861813962e-05
1980,9.816975216381252e-05
1981,9.96412563836202e-05
1982,9.949321975000203e-05
1983,9.642743680160493e-05
1984,9.14643460419029e-05
1985,8.898194937501103e-05
1986,9.324079292127863e-05
1987,8.913937926990911e-05
1988,8.89366419869475e-05
1989,9.275643969886005e-05
1990,8.940123370848596e-05
1991,9.21175887924619e-05
1992,9.584075451130047e-05
1993,9.236484038410708e-05
1994,8.947006426751614e-05
1995,9.29469388211146e-05
1996,8.67932612891309e-05
1997,9.277829667553306e-05
1998,9.024969767779112e-05
1999,9.179399785352871e-05
2000,8.651883399579674e-05
2001,8.977104153018445e-05
2002,8.361347136087716e-05
2003,8.482795237796381e-05
2004,8.106632594717667e-05
2005,8.368437556782737e-05
2006,8.116462413454428e-05
2007,7.767798524582759e-05
2008,7.76054075686261e-05
2009,7.537227793363854e-05
2010,6.84958286001347e-05
2011,6.269176810747012e-05
2012,5.202230022405274e-05
2013,4.948397327098064e-05
2014,5.152091398485936e-05
2015,4.922037260257639e-05
2016,4.9007223424268886e-05
2017,4.1142171539831907e-05
2018,4.2098199628526345e-05
2019,4.2411487811477855e-05
