,really
1800,7.646042649867013e-05
1801,6.880748696858063e-05
1802,6.47966080578044e-05
1803,5.8972913393517956e-05
1804,6.847257463959977e-05
1805,5.9449757827678695e-05
1806,6.305152783170342e-05
1807,6.140112964203581e-05
1808,6.378094985848293e-05
1809,7.164475391618907e-05
1810,6.194307934492826e-05
1811,7.233204814838246e-05
1812,7.873667345847934e-05
1813,6.714157643727958e-05
1814,6.707786815240979e-05
1815,6.905066402396187e-05
1816,6.715275958413258e-05
1817,6.993787246756256e-05
1818,6.975431460887194e-05
1819,6.408440094674006e-05
1820,7.253570947796106e-05
1821,6.900988228153437e-05
1822,6.901027518324554e-05
1823,7.63691496104002e-05
1824,7.850731344660744e-05
1825,7.398421439575031e-05
1826,7.354728586506099e-05
1827,7.515978359151632e-05
1828,7.510832801926881e-05
1829,7.15416535967961e-05
1830,7.445699156960472e-05
1831,7.322302553802729e-05
1832,6.447496707551181e-05
1833,7.976094639161602e-05
1834,7.504940731450915e-05
1835,7.869597902754322e-05
1836,7.571281457785517e-05
1837,7.751509838271886e-05
1838,7.925272802822292e-05
1839,7.772660319460556e-05
1840,7.989916775841266e-05
1841,8.009822340682149e-05
1842,8.03460570750758e-05
1843,8.221976895583794e-05
1844,8.645978959975764e-05
1845,8.035112114157528e-05
1846,8.181098382920027e-05
1847,8.277247252408415e-05
1848,8.63332679728046e-05
1849,8.552840154152364e-05
1850,8.524303848389536e-05
1851,8.310962584801018e-05
1852,8.75543846632354e-05
1853,8.971214992925525e-05
1854,8.689431706443429e-05
1855,8.800670912023634e-05
1856,8.881504618329927e-05
1857,8.843269461067393e-05
1858,8.985454041976482e-05
1859,8.943389548221603e-05
1860,9.418202535016462e-05
1861,9.861220314633101e-05
1862,0.00010122302774107084
1863,9.955363202607259e-05
1864,9.775918442755938e-05
1865,0.00010300792928319424
1866,0.00010280123387929052
1867,0.00010398287122370675
1868,0.0001058573107002303
1869,0.00011154609092045575
1870,0.00010957538324873894
1871,0.0001101167727028951
1872,0.00010813403059728444
1873,0.00010989770817104727
1874,0.00011051190813304856
1875,0.00010754869435913861
1876,0.00010764238686533645
1877,0.00010654541256371886
1878,0.00010701037535909563
1879,0.00010661312990123406
1880,0.00010183407721342519
1881,0.00010236684465780854
1882,0.00010293084778822958
1883,0.00010436631418997422
1884,0.00010151593596674502
1885,0.0001015976449707523
1886,9.678602509666234e-05
1887,9.704247349873185e-05
1888,9.687703277450055e-05
1889,9.379158291267231e-05
1890,9.695198241388425e-05
1891,9.648199193179607e-05
1892,9.778961248230189e-05
1893,9.896202391246334e-05
1894,0.0001001472192001529
1895,9.36222932068631e-05
1896,9.808510367292911e-05
1897,9.345953003503382e-05
1898,9.470592340221629e-05
1899,9.998334280680865e-05
1900,9.797295206226408e-05
1901,9.166239760816097e-05
1902,9.542131010675803e-05
1903,9.340043470729142e-05
1904,9.421887807548046e-05
1905,9.029538341565058e-05
1906,9.190117270918563e-05
1907,9.399127884535119e-05
1908,9.551561379339546e-05
1909,9.88380634225905e-05
1910,9.320582466898486e-05
1911,9.548975504003465e-05
1912,9.585218504071236e-05
1913,9.576226875651628e-05
1914,9.490653610555455e-05
1915,8.948175673140213e-05
1916,9.15777709451504e-05
1917,9.089098602999002e-05
1918,9.180412598652765e-05
1919,9.852845687419176e-05
1920,0.00010055676102638245
1921,9.461271110922098e-05
1922,9.727451833896339e-05
1923,9.58410237217322e-05
1924,9.564986248733476e-05
1925,9.431264334125444e-05
1926,9.526191570330411e-05
1927,9.385911835124716e-05
1928,9.190063428832218e-05
1929,9.250320727005601e-05
1930,9.384344593854621e-05
1931,8.923037239583209e-05
1932,9.022161975735798e-05
1933,8.76525737112388e-05
1934,9.390268678544089e-05
1935,8.989445632323623e-05
1936,8.989478374132887e-05
1937,8.698603778611869e-05
1938,8.692270057508722e-05
1939,8.191043889382854e-05
1940,7.786539936205372e-05
1941,7.383991032838821e-05
1942,7.786133937770501e-05
1943,7.993146573426202e-05
1944,8.26495306682773e-05
1945,8.363506640307605e-05
1946,8.989657362690195e-05
1947,8.771550346864387e-05
1948,8.596884435974061e-05
1949,7.98475302872248e-05
1950,8.505247387802228e-05
1951,8.65975598571822e-05
1952,8.861809328664094e-05
1953,8.66936898091808e-05
1954,8.463319682050496e-05
1955,8.787841943558306e-05
1956,9.071066597243771e-05
1957,8.770877320785075e-05
1958,9.029411739902571e-05
1959,8.776505273999646e-05
1960,8.961571438703686e-05
