,card
1800,8.087732567219064e-06
1801,5.290079570841044e-06
1802,5.652040272252634e-06
1803,7.645010555279441e-06
1804,4.287255706003634e-06
1805,4.977697699359851e-06
1806,5.0491344154579565e-06
1807,6.460017175413668e-06
1808,7.2109846769308206e-06
1809,5.243137366051087e-06
1810,4.938458005199209e-06
1811,3.931036189896986e-06
1812,3.172516699123662e-06
1813,6.916905022080755e-06
1814,5.839207005919889e-06
1815,4.397960765345488e-06
1816,4.529807029030053e-06
1817,5.625570793199586e-06
1818,4.548077413346618e-06
1819,5.266263087833067e-06
1820,6.255042990233051e-06
1821,5.502994554262841e-06
1822,4.6586196731368545e-06
1823,7.352453849307494e-06
1824,4.954737960360944e-06
1825,5.7826641750580166e-06
1826,6.176709575811401e-06
1827,5.543850875255885e-06
1828,5.364880507841008e-06
1829,6.027057679602876e-06
1830,6.157535608508624e-06
1831,5.422354661277495e-06
1832,9.703120667836629e-06
1833,6.012858648318797e-06
1834,4.739114046969917e-06
1835,6.97433688401361e-06
1836,5.634914941765601e-06
1837,6.795071385568008e-06
1838,6.982089871598873e-06
1839,6.140154710010393e-06
1840,5.986840733385179e-06
1841,6.833978659415152e-06
1842,7.985696356627159e-06
1843,6.479380317614414e-06
1844,7.042476681817789e-06
1845,6.908816430950537e-06
1846,5.5660971156612504e-06
1847,6.559679150086595e-06
1848,6.788467089791084e-06
1849,5.908585990255233e-06
1850,9.172031241178047e-06
1851,7.217952770588454e-06
1852,7.404287316603586e-06
1853,7.385795470327139e-06
1854,6.977103566896403e-06
1855,7.1186141212820075e-06
1856,7.960957191244233e-06
1857,9.506318747298792e-06
1858,7.81919061410008e-06
1859,8.608926691522356e-06
1860,9.24258984014159e-06
1861,8.71610245667398e-06
1862,9.141723239736166e-06
1863,9.452183803659864e-06
1864,9.73175156104844e-06
1865,9.992904779210221e-06
1866,9.49329842114821e-06
1867,1.0686778296076227e-05
1868,1.061662806023378e-05
1869,1.037388119584648e-05
1870,1.0257341273245402e-05
1871,1.0410474715172313e-05
1872,1.0725201718742028e-05
1873,1.0638561434461735e-05
1874,1.1042328878829721e-05
1875,1.058986617863411e-05
1876,1.1074273061240092e-05
1877,1.033179069054313e-05
1878,1.0614998245728202e-05
1879,1.1271481525909621e-05
1880,1.069832251232583e-05
1881,1.193026309920242e-05
1882,1.2869685633631889e-05
1883,1.1226034075662028e-05
1884,1.1918537893507164e-05
1885,1.2268289538042154e-05
1886,1.2184851584606804e-05
1887,1.273299494641833e-05
1888,1.234478986589238e-05
1889,1.4159195416141301e-05
1890,1.4373974408954382e-05
1891,1.6281795979011804e-05
1892,1.417041403328767e-05
1893,1.5019594684417825e-05
1894,1.54239205585327e-05
1895,1.473077372793341e-05
1896,1.5340694517362863e-05
1897,1.6074769519036636e-05
1898,1.5694216926931404e-05
1899,1.62144388013985e-05
1900,1.692084151727613e-05
1901,1.8149643437936902e-05
1902,1.8522305254009552e-05
1903,1.9478087779134512e-05
1904,2.0516212316579185e-05
1905,2.0573532310663722e-05
1906,2.1008605472161435e-05
1907,2.1891493815928698e-05
1908,2.2058764443499967e-05
1909,2.380825753789395e-05
1910,2.290245538461022e-05
1911,2.3155074813985266e-05
1912,2.460286304994952e-05
1913,2.7101532396045513e-05
1914,2.725428385019768e-05
1915,2.5997271222877316e-05
1916,2.739308365562465e-05
1917,2.750279600149952e-05
1918,2.788551319099497e-05
1919,2.669383138709236e-05
1920,2.5600253138691187e-05
1921,2.481068622728344e-05
1922,2.487218807800673e-05
1923,2.2715857994626276e-05
1924,2.4421340640401468e-05
1925,2.3527443772763945e-05
1926,2.39901892200578e-05
1927,2.372163362451829e-05
1928,2.225295247626491e-05
1929,2.267358468088787e-05
1930,2.365803266002331e-05
1931,2.1656671378877945e-05
1932,2.2223308405955322e-05
1933,2.111280082317535e-05
1934,2.0929350284859538e-05
1935,2.1770889361505397e-05
1936,2.3823762603569776e-05
1937,2.4615444999653846e-05
1938,2.7467203835840337e-05
1939,2.892709380830638e-05
1940,3.074151027249172e-05
1941,3.0014625735930167e-05
1942,2.8105578167014755e-05
1943,2.5999066565418616e-05
1944,2.686638072191272e-05
1945,2.323402623005677e-05
1946,2.3084485292201862e-05
1947,2.4313154426636174e-05
1948,2.8387903512339108e-05
1949,2.4731258235988207e-05
1950,2.4360195311601274e-05
1951,2.6174919184995815e-05
1952,2.6333294954383746e-05
1953,2.9648923373315483e-05
1954,3.243762330384925e-05
1955,3.0900609999662265e-05
1956,2.950615089503117e-05
1957,2.9349215765250847e-05
1958,3.0940052965888754e-05
1959,2.922472413047217e-05
1960,2.958207369374577e-05
1961,3.0982642783783376e-05
1962,2.866564318537712e-05
1963,2.9797130991937593e-05
1964,3.14829740091227e-05
1965,3.235755139030516e-05
1966,3.518650191836059e-05
1967,3.144705988233909e-05
1968,3.2558080420130864e-05
1969,3.1033341656439006e-05
1970,3.618094706325792e-05
1971,3.146230665151961e-05
1972,3.1493185815634206e-05
1973,3.1665400456404313e-05
1974,3.235446274629794e-05
1975,3.106927761109546e-05
1976,2.9014197934884578e-05
1977,3.1671414035372436e-05
1978,2.7963917091256008e-05
1979,2.879289422708098e-05
1980,2.876204962376505e-05
1981,3.0833849450573325e-05
1982,3.122440102742985e-05
1983,3.0044240702409297e-05
1984,3.049165752599947e-05
1985,2.9588467441499233e-05
1986,3.233901588828303e-05
1987,3.1650324672227725e-05
1988,3.075156200793572e-05
1989,3.121263216598891e-05
1990,2.976314863190055e-05
1991,3.0374845664482564e-05
1992,3.0248214898165315e-05
1993,3.056533387280069e-05
1994,3.24229258694686e-05
1995,3.491856114123948e-05
1996,3.472393291303888e-05
1997,3.601010757847689e-05
1998,3.558153912308626e-05
1999,3.5705521440831944e-05
2000,3.651396036730148e-05
2001,3.72551403415855e-05
2002,3.6684352380689234e-05
2003,3.8368914829334244e-05
2004,3.733283301698975e-05
2005,3.745871799765155e-05
2006,3.588425170164555e-05
2007,3.568286047084257e-05
2008,3.540066609275527e-05
2009,3.803737126872875e-05
2010,3.830616333289072e-05
2011,3.8462279917439446e-05
2012,3.5150143958162516e-05
2013,3.239710349589586e-05
2014,3.596801980165765e-05
2015,3.418451888137497e-05
2016,3.321135227452032e-05
2017,3.0966031772550195e-05
2018,2.9044407710898668e-05
2019,3.1432016839971766e-05
