,digital
1800,6.190806516315206e-07
1801,1.5797327534983197e-07
1802,3.3643097197000316e-08
1803,4.898800654018487e-08
1804,2.9253449440602708e-08
1805,5.46999778805457e-08
1806,1.719899778152012e-08
1807,5.765965838122611e-08
1808,1.4723714514275343e-07
1809,9.049253435478022e-08
1810,1.3180937230572454e-07
1811,9.226236841186619e-08
1812,2.026357925899447e-08
1813,1.4797966230162274e-07
1814,3.117306590638691e-08
1815,1.1028321722506007e-07
1816,7.739777885262811e-08
1817,1.1555385270867191e-07
1818,2.2983743974691606e-07
1819,1.850380613177549e-07
1820,8.875804269337095e-08
1821,1.6793470081211126e-07
1822,9.46873868201692e-08
1823,9.801896538874644e-08
1824,1.0078653644995939e-07
1825,9.257852440214265e-08
1826,1.2526469390650163e-06
1827,5.445272677206958e-08
1828,1.9853514743317646e-07
1829,1.7668088503342005e-07
1830,1.2956297723576427e-07
1831,2.3478077082472737e-07
1832,3.2614292422294966e-07
1833,4.596538190071442e-07
1834,1.242001559376149e-07
1835,1.627206103194112e-07
1836,1.9283417884707887e-07
1837,1.988461093560545e-07
1838,1.4075611431962898e-07
1839,2.2067986549245688e-07
1840,3.5398468867242627e-07
1841,1.586812317100339e-07
1842,2.7266162305750186e-07
1843,1.2751353040130198e-07
1844,2.498200615264068e-07
1845,5.244723411124141e-07
1846,2.405273846761702e-07
1847,3.0993925292932545e-07
1848,2.391917348631978e-07
1849,3.7025677102064947e-07
1850,2.0830098890201043e-07
1851,2.507429996967403e-07
1852,3.618820301198866e-07
1853,2.807845191910019e-07
1854,2.590251426681789e-07
1855,2.0598784544745286e-07
1856,3.253162219607475e-07
1857,2.0539106060368795e-07
1858,4.6747555870751967e-07
1859,3.224955378300365e-07
1860,2.59443481809285e-07
1861,7.286268441930588e-07
1862,5.92416427025455e-07
1863,4.888765943178441e-07
1864,6.630971256527118e-07
1865,3.845674996227899e-07
1866,3.405143047530146e-07
1867,5.469156576509704e-07
1868,5.625175276691152e-07
1869,7.326966056098172e-07
1870,6.787813049413671e-07
1871,6.358332029776648e-07
1872,8.318577897625801e-07
1873,9.141659234046529e-07
1874,7.239986530294118e-07
1875,6.957286018405284e-07
1876,6.979445856813982e-07
1877,5.858576059836196e-07
1878,7.887818469498598e-07
1879,9.906517561830697e-07
1880,6.715964104841987e-07
1881,7.198289608822961e-07
1882,9.203979516314575e-07
1883,7.069650109770009e-07
1884,6.737045055160706e-07
1885,9.088294063985813e-07
1886,7.995964779183851e-07
1887,7.778450594742026e-07
1888,7.5617248285198e-07
1889,7.186006882875517e-07
1890,6.843828828095866e-07
1891,6.434237320718239e-07
1892,6.913826950949442e-07
1893,7.590983841510024e-07
1894,8.551319297112059e-07
1895,6.493388582384796e-07
1896,7.180482839430624e-07
1897,5.803729550279968e-07
1898,6.769705578335561e-07
1899,6.43313853743166e-07
1900,8.010296710381226e-07
1901,5.760308567914763e-07
1902,7.254599267980666e-07
1903,7.789514597789093e-07
1904,5.941460585745517e-07
1905,5.525005235540448e-07
1906,6.115371888881782e-07
1907,7.201244329735346e-07
1908,4.939373638990219e-07
1909,5.268423706183967e-07
1910,5.782862899650354e-07
1911,4.0215394392362214e-07
1912,4.652606548916083e-07
1913,5.005982757211314e-07
1914,5.800282565360249e-07
1915,4.2659993937377294e-07
1916,4.5228605927150056e-07
1917,4.2972479263880814e-07
1918,5.928886253059318e-07
1919,4.187127160548698e-07
1920,4.171425302956777e-07
1921,5.240446512289054e-07
1922,4.154612724960316e-07
1923,2.913663763592922e-07
1924,3.042238176931278e-07
1925,5.010911081626546e-07
1926,3.494200768727751e-07
1927,3.2412253858637996e-07
1928,3.525082945543545e-07
1929,2.4004927468013193e-07
1930,3.5383192198423785e-07
1931,3.2380347647631424e-07
1932,2.7435089577920735e-07
1933,5.227931865192659e-07
1934,6.911873242643196e-07
1935,1.0193313073614263e-06
1936,4.0785783994579106e-07
1937,3.551272413915285e-07
1938,4.414688703491265e-07
1939,3.666982024697063e-07
1940,4.494542906741117e-07
1941,7.106243060661654e-07
1942,5.395033326749399e-07
1943,4.786455747307627e-07
1944,4.6467133074656886e-07
1945,3.9840418253334065e-07
1946,5.826723281643353e-07
1947,9.598730912330211e-07
1948,8.893514404917369e-07
1949,1.2773316484526731e-06
1950,1.235945092048496e-06
1951,1.0403126680103014e-06
1952,1.7477913161201286e-06
1953,1.9370834252185887e-06
1954,3.831298272416461e-06
1955,3.1536501410300843e-06
1956,4.666449513024418e-06
1957,5.395377684180858e-06
1958,6.5885942603927106e-06
1959,8.106136192509439e-06
1960,9.14067913981853e-06
1961,9.084078556043096e-06
1962,1.2616165804502089e-05
1963,1.121879176935181e-05
1964,1.2419901395333e-05
1965,1.3862554624211043e-05
1966,1.4296197150542866e-05
1967,1.421079650754109e-05
1968,1.4551345884683542e-05
1969,1.4174941497913096e-05
1970,1.5094824448169675e-05
1971,1.4516624105453957e-05
1972,1.544468614156358e-05
1973,1.4731976989423856e-05
1974,1.546182102174498e-05
1975,1.627546407689806e-05
1976,1.5987649021553807e-05
1977,1.732482633087784e-05
1978,1.871001222752966e-05
1979,1.7759484762791544e-05
1980,1.9912089555873536e-05
1981,1.9953840819653124e-05
1982,2.2436395738623105e-05
1983,2.3109721951186657e-05
1984,2.383486571488902e-05
1985,2.4727267373236828e-05
1986,2.5200371965183876e-05
1987,2.486547782609705e-05
1988,2.350802424189169e-05
1989,2.1845078663318418e-05
1990,2.267347736051306e-05
