,are
1800,0.003790091024711728
1801,0.003869547275826335
1802,0.00361028709448874
1803,0.0036579573061317205
1804,0.00358006963506341
1805,0.003547560889273882
1806,0.003674701089039445
1807,0.0038517655339092016
1808,0.003671000013127923
1809,0.0038672275841236115
1810,0.003642554860562086
1811,0.003643641946837306
1812,0.0032328907400369644
1813,0.003674853825941682
1814,0.003416685853153467
1815,0.00361448572948575
1816,0.003299346659332514
1817,0.003462783293798566
1818,0.003623348195105791
1819,0.0039728363044559956
1820,0.0034149200655519962
1821,0.003387686563655734
1822,0.0035900555085390806
1823,0.003628351492807269
1824,0.0036571582313627005
1825,0.0035037442576140165
1826,0.0035000962670892477
1827,0.0034372336231172085
1828,0.00358493416570127
1829,0.0037004549521952868
1830,0.003799186320975423
1831,0.0036178026348352432
1832,0.003459466388449073
1833,0.0036180363968014717
1834,0.0036406584549695253
1835,0.0038264605682343245
1836,0.0037255529314279556
1837,0.003657105378806591
1838,0.0037122019566595554
1839,0.0036475840024650097
1840,0.003571780864149332
1841,0.0036647345405071974
1842,0.003746420843526721
1843,0.0035211865324527025
1844,0.003544621169567108
1845,0.003639228641986847
1846,0.00345974019728601
1847,0.0035101932007819414
1848,0.0034973998554050922
1849,0.003478128695860505
1850,0.003483525011688471
1851,0.0035831111017614603
1852,0.0035173154901713133
1853,0.00343742105178535
1854,0.0035795746371150017
1855,0.0035218375269323587
1856,0.003448259085416794
1857,0.003397855442017317
1858,0.0033915676176548004
1859,0.0034496281296014786
1860,0.0034242584370076656
1861,0.0034653940238058567
1862,0.0035053391475230455
1863,0.0034771861974149942
1864,0.003317528869956732
1865,0.003355937311425805
1866,0.0033800469245761633
1867,0.003481335239484906
1868,0.0034497177693992853
1869,0.0034511666744947433
1870,0.003515488002449274
1871,0.003505092579871416
1872,0.003432955825701356
1873,0.0035678844433277845
1874,0.003562302328646183
1875,0.0034953404683619738
1876,0.003524331608787179
1877,0.0034172707237303257
1878,0.003525795415043831
1879,0.0034402834717184305
1880,0.0034289013128727674
1881,0.003477560356259346
1882,0.0035025407560169697
1883,0.0035131042823195457
1884,0.003562868805602193
1885,0.003583411453291774
1886,0.0035175695084035397
1887,0.003479124279692769
1888,0.003473642747849226
1889,0.0035592413041740656
1890,0.0036388784646987915
1891,0.0036104449536651373
1892,0.0036577903665602207
1893,0.003644531359896064
1894,0.0036667403765022755
1895,0.0035894738975912333
1896,0.0035871369764208794
1897,0.0035859947092831135
1898,0.0036334902979433537
1899,0.0034974103327840567
1900,0.003644133685156703
1901,0.00359319057315588
1902,0.0036845840513706207
1903,0.0036681864876300097
1904,0.0036800948437303305
1905,0.003757413011044264
1906,0.0037091204430907965
1907,0.0037269312888383865
1908,0.003777730278670788
1909,0.003822699189186096
1910,0.0038168213795870543
1911,0.003870398038998246
1912,0.003854028880596161
1913,0.003881974844262004
1914,0.0039023675490170717
1915,0.00385630433447659
1916,0.0039214459247887135
1917,0.00392432976514101
1918,0.003977891523391008
1919,0.0039292629808187485
1920,0.003999334294348955
1921,0.003978309221565723
1922,0.0039590345695614815
1923,0.003906495403498411
1924,0.003962644375860691
1925,0.003895763074979186
1926,0.003921963274478912
1927,0.0038583192508667707
1928,0.003919541835784912
1929,0.003901348216459155
1930,0.003942531067878008
1931,0.0038482113741338253
1932,0.003874962218105793
1933,0.0037901857867836952
1934,0.0038295916747301817
1935,0.003800132544711232
1936,0.0037988426629453897
1937,0.003844660008326173
1938,0.003921055234968662
1939,0.0038495867047458887
1940,0.0038955090567469597
1941,0.003898720256984234
1942,0.004072045441716909
1943,0.004006183706223965
1944,0.004011182114481926
1945,0.003937620669603348
1946,0.003906634636223316
1947,0.00395754911005497
1948,0.00400939118117094
1949,0.004026103764772415
1950,0.004042740445584059
1951,0.003997529856860638
1952,0.004017920698970556
1953,0.004020652733743191
1954,0.003979742527008057
1955,0.004006439819931984
1956,0.004073871299624443
1957,0.003995528444647789
1958,0.004094427451491356
1959,0.004065736196935177
1960,0.004103488754481077
1961,0.004080489277839661
1962,0.004112978465855122
1963,0.0041358438320457935
1964,0.0040990072302520275
1965,0.004054918419569731
1966,0.004094352014362812
1967,0.004054298624396324
1968,0.00408417172729969
1969,0.004112673923373222
1970,0.004061396699398756
1971,0.004016378428786993
1972,0.0040996079333126545
1973,0.003993616439402103
1974,0.00410719309002161
1975,0.00410060491412878
1976,0.004078129306435585
1977,0.00407513789832592
1978,0.004047723952680826
1979,0.004040498286485672
1980,0.004105919972062111
1981,0.0039932867512106895
1982,0.004009380005300045
1983,0.0040917894802987576
1984,0.004017969593405724
1985,0.003923396114259958
1986,0.003959099296480417
1987,0.0039031910710036755
1988,0.0039039929397404194
1989,0.003844046499580145
1990,0.003914492670446634
1991,0.0038663798477500677
1992,0.003868010127916932
1993,0.0038287495262920856
1994,0.0038175880908966064
1995,0.0037762760184705257
1996,0.003804022679105401
1997,0.003839499084278941
1998,0.0038270261138677597
1999,0.0037757174577564
2000,0.003741277614608407
2001,0.0037128108087927103
2002,0.003749636234715581
2003,0.0037901531904935837
2004,0.003778643673285842
2005,0.003800316946581006
2006,0.003767509711906314
2007,0.00371706485748291
2008,0.003672275459393859
2009,0.003649639431387186
2010,0.0036590464878827333
2011,0.003557529067620635
2012,0.003651709295809269
2013,0.0036223267670720816
2014,0.0033443160355091095
2015,0.003372793784365058
2016,0.0034627311397343874
2017,0.003277926240116358
2018,0.003213267307728529
2019,0.0033430953044444323
