,around
1800,6.651941657764837e-05
1801,4.7772737161722034e-05
1802,5.4728909162804484e-05
1803,4.389036985230632e-05
1804,4.9136044253828004e-05
1805,5.063090429757722e-05
1806,4.79876616736874e-05
1807,4.6785473386989906e-05
1808,5.061322372057475e-05
1809,4.272514706826769e-05
1810,4.898475526715629e-05
1811,4.2432453483343124e-05
1812,3.592732537072152e-05
1813,4.126039129914716e-05
1814,4.52895401394926e-05
1815,5.2008563216077164e-05
1816,4.085245018359274e-05
1817,5.263843559077941e-05
1818,5.595054608420469e-05
1819,5.8657064073486254e-05
1820,6.064213448553346e-05
1821,6.787695019738749e-05
1822,7.311023364309222e-05
1823,6.460378062911332e-05
1824,6.6094369685743e-05
1825,6.830984784755856e-05
1826,6.891131488373503e-05
1827,7.587705476908013e-05
1828,7.427785021718591e-05
1829,7.911238935776055e-05
1830,7.578263466712087e-05
1831,8.060858090175316e-05
1832,8.258892921730876e-05
1833,8.598795102443546e-05
1834,8.881677058525383e-05
1835,8.838828944135457e-05
1836,8.619456639280543e-05
1837,8.397991769015789e-05
1838,9.137945744441822e-05
1839,9.284001862397417e-05
1840,8.9325025328435e-05
1841,0.00010162757826037705
1842,9.930028318194672e-05
1843,9.416053944732994e-05
1844,9.805927402339876e-05
1845,9.665489051258191e-05
1846,9.867865446722135e-05
1847,0.00010275724343955517
1848,0.00010503180237719789
1849,0.00010164301784243435
1850,0.0001072436134563759
1851,9.892136586131528e-05
1852,0.0001087602213374339
1853,0.00010083619417855516
1854,0.00010819418093888089
1855,0.00010880475747399032
1856,0.0001116804123739712
1857,0.00010766628111014143
1858,9.985344513552263e-05
1859,9.904683247441426e-05
1860,0.00010048785043181852
1861,9.051787492353469e-05
1862,9.24144042073749e-05
1863,9.20104212127626e-05
1864,9.520208550384268e-05
1865,9.798983228392899e-05
1866,9.567683446221054e-05
1867,9.721944661578164e-05
1868,9.43877748795785e-05
1869,9.538991434965283e-05
1870,9.387962199980393e-05
1871,9.533169213682413e-05
