,item
1800,3.0636554129159776e-06
1801,2.434408543194877e-06
1802,2.931154767793487e-06
1803,1.8730708006842178e-06
1804,1.436669435861404e-06
1805,2.194076841988135e-06
1806,2.660930704223574e-06
1807,2.0565278191497782e-06
1808,1.754121512931306e-06
1809,2.1682012629753444e-06
1810,1.9141650682286127e-06
1811,2.1418049982457887e-06
1812,3.3270264339080313e-06
1813,2.2578340121981455e-06
1814,2.2641488612862304e-06
1815,2.711964498303132e-06
1816,4.524375526671065e-06
1817,3.422734380365e-06
1818,2.6269067348039243e-06
1819,3.631538220361108e-06
1820,3.4159852475568186e-06
1821,3.875030870403862e-06
1822,4.5881301957706455e-06
1823,3.5854304769600276e-06
1824,3.7659967802028405e-06
1825,6.076120826037368e-06
1826,4.7539624574710615e-06
1827,4.357157195045147e-06
1828,5.3843796194996685e-06
1829,5.105496711621527e-06
1830,5.362589945434593e-06
1831,6.161450528452406e-06
1832,1.70140356203774e-05
1833,6.036208560544765e-06
1834,8.423501640208997e-06
1835,6.352660420816392e-06
1836,6.912585831742035e-06
1837,6.292141733865719e-06
1838,6.5070380514953285e-06
1839,5.835931460751453e-06
1840,6.011234745528782e-06
1841,7.634330358996522e-06
1842,6.5475919655000325e-06
1843,6.806894361943705e-06
1844,7.07970502844546e-06
1845,5.962041541351937e-06
1846,7.137328339013038e-06
1847,6.7003907133766916e-06
1848,8.389930371777155e-06
1849,8.531885214324575e-06
1850,8.274342690128833e-06
1851,8.436832104052883e-06
1852,9.161408343061339e-06
1853,8.551134669687599e-06
1854,8.143529157678131e-06
1855,8.859600711730309e-06
1856,9.631454304326326e-06
1857,8.98347298061708e-06
1858,1.1143338269903325e-05
1859,1.0371345524617936e-05
1860,9.9969975053682e-06
1861,1.0820935131050646e-05
1862,1.0151688911719248e-05
1863,9.204970410792157e-06
1864,1.0606786418065894e-05
1865,1.119029002438765e-05
1866,9.84450616670074e-06
1867,9.999754183809273e-06
1868,1.0957482118101325e-05
1869,1.1687841833918355e-05
1870,1.1254641322011594e-05
1871,1.0614367965899874e-05
1872,1.0999532605637796e-05
1873,1.0960826330119744e-05
1874,1.2759873243339825e-05
1875,1.1673449080262799e-05
1876,1.292207798542222e-05
1877,1.2280755072424654e-05
1878,1.3136910638422705e-05
1879,1.2698159480351023e-05
1880,1.3091113942209631e-05
1881,1.3012038834858686e-05
1882,1.3951629625807982e-05
1883,1.3935337847215123e-05
1884,1.359031466563465e-05
1885,1.392759531881893e-05
1886,1.5165574950515293e-05
1887,1.5870858987909742e-05
1888,1.5185008123808075e-05
1889,1.4384373571374454e-05
1890,1.3664638572663534e-05
1891,1.441314543626504e-05
1892,1.4592314983019605e-05
1893,1.4547703358402941e-05
1894,1.5327312212320976e-05
1895,1.5261193766491488e-05
1896,1.572587098053191e-05
1897,1.672767029958777e-05
1898,1.584952769917436e-05
