,the
1800,0.05621941015124321
1801,0.05577131360769272
1802,0.059414636343717575
1803,0.06049446761608124
1804,0.05634770914912224
1805,0.05767132714390755
1806,0.056622765958309174
1807,0.057309236377477646
1808,0.054527465254068375
1809,0.05793634057044983
1810,0.05556909739971161
1811,0.05671779811382294
1812,0.0580059178173542
1813,0.058296672999858856
1814,0.05967242270708084
1815,0.059873066842556
1816,0.058918409049510956
1817,0.059876300394535065
1818,0.059268053621053696
1819,0.0603393018245697
1820,0.0577986016869545
1821,0.05740682780742645
1822,0.05834179371595383
1823,0.05836512893438339
1824,0.056876640766859055
1825,0.05835844203829765
1826,0.05945567414164543
1827,0.05972360819578171
1828,0.06022424250841141
1829,0.06069641560316086
1830,0.06010010465979576
1831,0.06049894541501999
1832,0.06153639778494835
1833,0.06036004424095154
1834,0.06140119209885597
1835,0.059962205588817596
1836,0.061517756432294846
1837,0.06080426275730133
1838,0.06102151796221733
1839,0.06010948121547699
1840,0.060441598296165466
1841,0.06083147972822189
1842,0.06075671315193176
1843,0.06038569286465645
1844,0.05983437970280647
1845,0.060681525617837906
1846,0.0607413724064827
1847,0.06069045141339302
1848,0.06066109985113144
1849,0.06107216700911522
1850,0.06014981493353844
1851,0.06036239117383957
1852,0.06035996228456497
1853,0.059958212077617645
1854,0.060372281819581985
1855,0.06071263179183006
1856,0.060251034796237946
1857,0.0591144859790802
1858,0.06003386527299881
1859,0.05912228301167488
1860,0.05885861814022064
1861,0.059638697654008865
1862,0.05884378030896187
1863,0.059516213834285736
1864,0.05903005599975586
1865,0.05884404480457306
1866,0.05898258090019226
1867,0.058929443359375
1868,0.058659035712480545
1869,0.057840581983327866
1870,0.05846395716071129
1871,0.058314405381679535
1872,0.05793612822890282
1873,0.05857551470398903
1874,0.05811759829521179
1875,0.058316946029663086
1876,0.058491628617048264
1877,0.058821819722652435
1878,0.05859432369470596
1879,0.05824903026223183
1880,0.05792103707790375
1881,0.05774567648768425
1882,0.05805542692542076
1883,0.05742437019944191
1884,0.05783413350582123
1885,0.057804010808467865
1886,0.05802793800830841
1887,0.057351190596818924
1888,0.057360097765922546
1889,0.056835222989320755
1890,0.057689107954502106
1891,0.057097092270851135
1892,0.0571921207010746
1893,0.05750303342938423
1894,0.05763615667819977
1895,0.057396408170461655
1896,0.05721085146069527
1897,0.05721757933497429
1898,0.057520072907209396
1899,0.056277573108673096
1900,0.05654935911297798
1901,0.05693076550960541
1902,0.05668594315648079
1903,0.056970350444316864
1904,0.05710785090923309
1905,0.05718986690044403
1906,0.057238295674324036
1907,0.057274725288152695
1908,0.05688565969467163
1909,0.056804534047842026
1910,0.05703325569629669
1911,0.05714431777596474
1912,0.056702401489019394
1913,0.056540705263614655
1914,0.056567560881376266
1915,0.0564345121383667
1916,0.05630390718579292
1917,0.05613075569272041
1918,0.056193847209215164
1919,0.05603555962443352
1920,0.05601496621966362
1921,0.05572694167494774
1922,0.055685680359601974
1923,0.05463892221450806
1924,0.054677847772836685
1925,0.05387289822101593
1926,0.05489107593894005
1927,0.053218185901641846
1928,0.05340707302093506
1929,0.05336958169937134
1930,0.05351027473807335
1931,0.05275272950530052
1932,0.05317511036992073
1933,0.05325271189212799
1934,0.05342264473438263
1935,0.05310416594147682
1936,0.052264221012592316
1937,0.05253629386425018
1938,0.05263683199882507
1939,0.05226561799645424
1940,0.051461782306432724
1941,0.05141399800777435
1942,0.051593486219644547
1943,0.051803626120090485
1944,0.05142776668071747
1945,0.051687486469745636
1946,0.05169035866856575
1947,0.052311379462480545
1948,0.05130283534526825
1949,0.05102400481700897
1950,0.051284946501255035
1951,0.05080822855234146
1952,0.05081608518958092
1953,0.05065978318452835
1954,0.05051376298069954
1955,0.05069287493824959
1956,0.05052439868450165
1957,0.05029628425836563
1958,0.050519198179244995
1959,0.050606898963451385
1960,0.05021259933710098
1961,0.05020138621330261
1962,0.05026385933160782
1963,0.05010534077882767
1964,0.05016278848052025
1965,0.04993126168847084
1966,0.04982974752783775
1967,0.04957248270511627
1968,0.049839846789836884
1969,0.04970962181687355
1970,0.04907882958650589
1971,0.04919585585594177
1972,0.04839808866381645
1973,0.047752924263477325
1974,0.047821294516325
1975,0.047650355845689774
1976,0.047052156180143356
1977,0.04645983874797821
1978,0.045872822403907776
1979,0.045940857380628586
1980,0.0458146370947361
1981,0.045417338609695435
1982,0.045128535479307175
1983,0.04530227556824684
1984,0.04467231407761574
1985,0.04442819207906723
1986,0.04445800185203552
1987,0.044555988162755966
1988,0.0446191281080246
1989,0.04381633549928665
1990,0.044264886528253555
1991,0.04423941299319267
1992,0.04412079602479935
1993,0.04358137771487236
1994,0.043511148542165756
1995,0.043568212538957596
1996,0.04391233250498772
1997,0.04420362785458565
1998,0.04447174072265625
1999,0.04445672407746315
2000,0.044525157660245895
2001,0.04428113251924515
2002,0.04427771642804146
2003,0.04465038701891899
2004,0.044813625514507294
2005,0.04456251859664917
2006,0.04458721727132797
2007,0.0446225069463253
2008,0.04460666701197624
2009,0.044188305735588074
2010,0.04414471611380577
2011,0.043249599635601044
2012,0.04309625178575516
2013,0.04374942183494568
2014,0.04259314388036728
2015,0.04278409108519554
2016,0.042893100529909134
2017,0.042212385684251785
2018,0.04144826903939247
2019,0.04222063720226288
