,has
1800,0.0017256158171221614
1801,0.001805820851586759
1802,0.0017598830163478851
1803,0.0016115468461066484
1804,0.0017443896504119039
1805,0.0016745334723964334
1806,0.001746042282320559
1807,0.0017241411842405796
1808,0.001714860089123249
1809,0.0016722694272175431
1810,0.001581098884344101
1811,0.0016880949260666966
1812,0.0016264852602034807
1813,0.001710704411379993
1814,0.0017277621664106846
1815,0.0016826828941702843
1816,0.0015485992189496756
1817,0.0018191905692219734
1818,0.0017503229901194572
1819,0.0018537831492722034
1820,0.0016824062913656235
1821,0.0017003100365400314
1822,0.0016704886220395565
1823,0.0017445838311687112
1824,0.0017543912399560213
1825,0.0017496065702289343
1826,0.001689039054326713
1827,0.0017283896449953318
1828,0.0017557775136083364
1829,0.0017968992469832301
1830,0.0017693837871775031
1831,0.0017514352221041918
1832,0.001828649896197021
1833,0.0018254980677738786
1834,0.001862183096818626
1835,0.0018448285991325974
1836,0.001866418868303299
1837,0.00184260040987283
1838,0.0018738281214609742
1839,0.0018130006501451135
1840,0.0017938512610271573
1841,0.001812896691262722
1842,0.001813848502933979
1843,0.001849208027124405
1844,0.0017948171589523554
1845,0.0017925528809428215
1846,0.0018439916893839836
1847,0.0018327371217310429
1848,0.0018748535076156259
1849,0.001837563351728022
1850,0.00184920197352767
1851,0.001866959617473185
1852,0.0018844830337911844
1853,0.0018758438527584076
1854,0.0018884784076362848
1855,0.0019167459104210138
1856,0.001890936866402626
1857,0.0018443675944581628
1858,0.0019160864176228642
1859,0.0018917936831712723
1860,0.00192121637519449
1861,0.0019487598910927773
1862,0.001962644513696432
1863,0.001963781425729394
1864,0.0019498270703479648
1865,0.0019479619804769754
1866,0.001975431339815259
1867,0.00196133553981781
1868,0.00198175385594368
1869,0.00198156526312232
1870,0.0019834579434245825
1871,0.00198144163005054
1872,0.001989406766369939
1873,0.001991262659430504
1874,0.002022869884967804
1875,0.001992451958358288
1876,0.0020147357136011124
1877,0.0020136337261646986
1878,0.0020616494584828615
1879,0.0020605260506272316
1880,0.0020279795862734318
1881,0.002056677592918277
1882,0.0020794870797544718
1883,0.002045242814347148
1884,0.002103542210534215
1885,0.002076362958177924
1886,0.002148126717656851
1887,0.0021148044615983963
1888,0.0020844631362706423
1889,0.0021516350097954273
1890,0.0021730565931648016
1891,0.002169922227039933
1892,0.002181136282160878
1893,0.002194639528170228
1894,0.002181547461077571
1895,0.002144814468920231
1896,0.0021774950437247753
1897,0.002210120903328061
1898,0.002215552143752575
1899,0.002146238461136818
1900,0.0022036253940314054
1901,0.002199827693402767
1902,0.0022440606262534857
1903,0.0022379576694220304
1904,0.0022161526139825583
1905,0.002242552349343896
1906,0.0022321767173707485
1907,0.0022443600464612246
1908,0.0022625878918915987
1909,0.0022949406411498785
1910,0.002266728552058339
1911,0.002273616613820195
1912,0.0023289804812520742
1913,0.002314779907464981
1914,0.002383320825174451
1915,0.002393112750723958
1916,0.002423136727884412
1917,0.002424399135634303
1918,0.002501673763617873
1919,0.0024384120479226112
1920,0.0024261027574539185
1921,0.002426658058539033
1922,0.002403068356215954
1923,0.0022671797778457403
1924,0.0022876644507050514
1925,0.002183276927098632
1926,0.00223456765525043
1927,0.002182810567319393
1928,0.002206789329648018
1929,0.0021886280737817287
1930,0.002223801799118519
1931,0.0021581584587693214
1932,0.002197504509240389
1933,0.002136397873982787
1934,0.002185910940170288
1935,0.002122405683621764
1936,0.002138280775398016
1937,0.00212282408028841
1938,0.0021506384946405888
1939,0.0021286020055413246
1940,0.0021078672725707293
1941,0.0020757217425853014
1942,0.002155953086912632
1943,0.002151286229491234
1944,0.0022147935815155506
1945,0.0021790466271340847
1946,0.0021081799641251564
1947,0.0020985424052923918
1948,0.0021231595892459154
1949,0.002060442930087447
1950,0.0020820999052375555
1951,0.0020890829619020224
1952,0.002106456318870187
1953,0.002095102099701762
1954,0.0020960248075425625
1955,0.002089482033625245
1956,0.002132957335561514
1957,0.0020748476963490248
1958,0.0020991347264498472
1959,0.002070747083052993
1960,0.0020699738524854183
1961,0.0020324524957686663
1962,0.0020399820059537888
1963,0.0020372483413666487
1964,0.002033279975876212
1965,0.0020129207987338305
1966,0.0020295409485697746
1967,0.002015314996242523
1968,0.002010925905779004
1969,0.002038328442722559
1970,0.0019840190652757883
1971,0.0019562444649636745
1972,0.0019677032250910997
1973,0.0019239638932049274
1974,0.0019566065166145563
1975,0.001921666320413351
1976,0.001893589156679809
1977,0.001871107961051166
1978,0.0018504486652091146
1979,0.001851146575063467
1980,0.001853500260040164
1981,0.001801017438992858
1982,0.001818838994950056
1983,0.0018189748516306281
1984,0.0018112361431121826
1985,0.0017827709671109915
1986,0.0017984070582315326
1987,0.0017710671527311206
1988,0.0017776528839021921
1989,0.0017316514858976007
1990,0.0017411198932677507
1991,0.0017230154480785131
1992,0.0017195162363350391
1993,0.0016683723079040647
1994,0.001670805737376213
1995,0.0016620131209492683
1996,0.0016782728489488363
1997,0.001684220740571618
1998,0.0016778269782662392
1999,0.0016720084240660071
2000,0.001649108831770718
2001,0.0016311460640281439
2002,0.0016317315166816115
2003,0.0016218195669353008
2004,0.0016134742181748152
2005,0.0016194487689062953
2006,0.0016063802177086473
2007,0.0015917676500976086
2008,0.0015541239408776164
2009,0.0015051382360979915
2010,0.0014664408518001437
2011,0.0013978832866996527
2012,0.0014427672140300274
2013,0.001450330950319767
2014,0.0013456118758767843
2015,0.0013602370163425803
2016,0.0014052742626518011
2017,0.0013362755998969078
2018,0.0013250497868284583
2019,0.0013565412955358624
