,0
1800,0.05621941015124321
1801,0.05577131360769272
1802,0.059414636343717575
1803,0.06049446761608124
1804,0.05634770914912224
1805,0.05767132714390755
1806,0.056622765958309174
1807,0.057309236377477646
1808,0.054527465254068375
1809,0.05793634057044983
1810,0.05556909739971161
1811,0.05671779811382294
1812,0.0580059178173542
1813,0.058296672999858856
1814,0.05967242270708084
1815,0.059873066842556
1816,0.058918409049510956
1817,0.059876300394535065
1818,0.059268053621053696
1819,0.0603393018245697
1820,0.0577986016869545
1821,0.05740682780742645
1822,0.05834179371595383
1823,0.05836512893438339
1824,0.056876640766859055
1825,0.05835844203829765
1826,0.05945567414164543
1827,0.05972360819578171
1828,0.06022424250841141
1829,0.06069641560316086
1830,0.06010010465979576
1831,0.06049894541501999
1832,0.06153639778494835
1833,0.06036004424095154
1834,0.06140119209885597
1835,0.059962205588817596
1836,0.061517756432294846
1837,0.06080426275730133
1838,0.06102151796221733
1839,0.06010948121547699
1840,0.060441598296165466
1841,0.06083147972822189
1842,0.06075671315193176
1843,0.06038569286465645
1844,0.05983437970280647
1845,0.060681525617837906
1846,0.0607413724064827
1847,0.06069045141339302
1848,0.06066109985113144
1849,0.06107216700911522
1850,0.06014981493353844
1851,0.06036239117383957
1852,0.06035996228456497
1853,0.059958212077617645
1854,0.060372281819581985
1855,0.06071263179183006
1856,0.060251034796237946
1857,0.0591144859790802
1858,0.06003386527299881
1859,0.05912228301167488
1860,0.05885861814022064
1861,0.059638697654008865
1862,0.05884378030896187
1863,0.059516213834285736
1864,0.05903005599975586
1865,0.05884404480457306
1866,0.05898258090019226
1867,0.058929443359375
1868,0.058659035712480545
1869,0.057840581983327866
1870,0.05846395716071129
1871,0.058314405381679535
1872,0.05793612822890282
1873,0.05857551470398903
1874,0.05811759829521179
1875,0.058316946029663086
1876,0.058491628617048264
1877,0.058821819722652435
1878,0.05859432369470596
1879,0.05824903026223183
1880,0.05792103707790375
1881,0.05774567648768425
1882,0.05805542692542076
1883,0.05742437019944191
1884,0.05783413350582123
1885,0.057804010808467865
1886,0.05802793800830841
1887,0.057351190596818924
1888,0.057360097765922546
1889,0.056835222989320755
1890,0.057689107954502106
1891,0.057097092270851135
1892,0.0571921207010746
1893,0.05750303342938423
1894,0.05763615667819977
1895,0.057396408170461655
1896,0.05721085146069527
1897,0.05721757933497429
1898,0.057520072907209396
1899,0.056277573108673096
1900,0.05654935911297798
1901,0.05693076550960541
1902,0.05668594315648079
1903,0.056970350444316864
1904,0.05710785090923309
1905,0.05718986690044403
1906,0.057238295674324036
1907,0.057274725288152695
1908,0.05688565969467163
1909,0.056804534047842026
1910,0.05703325569629669
