,its
1971,0.0012614201987162232
1972,0.0012418479891493917
1973,0.001234606490470469
1974,0.001227180939167738
1975,0.001222175662405789
1976,0.0012038156855851412
1977,0.0012026941403746605
1978,0.0011871664319187403
1979,0.0011757132597267628
1980,0.0011840623337775469
1981,0.001190007315017283
1982,0.0011960476404055953
1983,0.0011835156474262476
1984,0.0011736834421753883
1985,0.0011749143013730645
1986,0.0011959783732891083
1987,0.001190103474073112
1988,0.001201346516609192
1989,0.0011661722091957927
1990,0.001174231176264584
1991,0.001180128543637693
1992,0.0011809930438175797
1993,0.0011579360580071807
1994,0.0011652314569801092
1995,0.001174650271423161
1996,0.0011930488981306553
1997,0.0012021035654470325
1998,0.0012240031501278281
1999,0.0012140016769990325
2000,0.001195157179608941
2001,0.0011965609155595303
2002,0.001203747815452516
2003,0.0011964517179876566
2004,0.001189473900012672
2005,0.0011823418317362666
2006,0.0011759749613702297
2007,0.0011888659792020917
2008,0.0011657129507511854
2009,0.0011190524091944098
2010,0.0010896824533119798
2011,0.0010111213196069002
2012,0.0009831060888245702
2013,0.0010420441394671798
2014,0.000982333323918283
2015,0.0010078803170472383
2016,0.0010495396563783288
2017,0.0009908727370202541
2018,0.0009792814962565899
2019,0.0010075099999085069
