,board
2003,8.121847349684685e-05
2004,7.917521725175902e-05
2005,8.413649629801512e-05
2006,7.716245454503223e-05
2007,7.685831951675937e-05
2008,7.792723044985905e-05
2009,7.4026633228641e-05
2010,7.026692037470639e-05
2011,6.725379353156313e-05
2012,5.753542427555658e-05
2013,5.59041764063295e-05
2014,5.646078352583572e-05
2015,5.78533872612752e-05
2016,5.517799218068831e-05
2017,5.538447294384241e-05
2018,5.44547256140504e-05
2019,5.551027788897045e-05
