,click
1800,4.7621585963497637e-07
1801,1.3772029205938452e-07
1802,8.831312925394741e-08
1803,7.204118190884401e-08
1804,1.0076188061702851e-07
1805,2.643832317517081e-07
1806,5.012279302718525e-07
1807,2.925693820543529e-07
1808,1.1451777481852332e-07
1809,3.529208925101557e-07
1810,4.7451374030060833e-07
1811,1.6804931135538936e-07
1812,1.1778205788459672e-07
1813,4.4851569214188203e-07
1814,1.1484813455808762e-07
1815,2.4061793624241545e-07
1816,1.317120137400707e-07
1817,1.8137566826226248e-07
1818,3.934276264772052e-07
1819,4.5261106151883723e-07
1820,3.526332932324294e-07
1821,3.308564373583067e-07
1822,2.0199976802359743e-07
1823,3.6628139810090943e-07
1824,2.2676969990698126e-07
1825,2.515341179787356e-07
1826,2.5564224870322505e-07
1827,3.173279594648193e-07
1828,4.750662583319354e-07
1829,3.284771423750499e-07
1830,4.5383643509921967e-07
1831,3.69161881508262e-07
1832,4.5699363226958667e-07
1833,2.2148775258301612e-07
1834,3.348852430917759e-07
1835,2.551077784573863e-07
1836,4.208865789223637e-07
1837,3.802495598392852e-07
1838,3.765225926599669e-07
1839,3.930203433810675e-07
1840,3.3392737464055244e-07
1841,4.060529761318321e-07
1842,4.1058382294067997e-07
1843,4.962974458067038e-07
1844,3.2182703080252395e-07
1845,4.85732925881166e-07
1846,3.350858435169357e-07
1847,4.2260191435161687e-07
1848,4.5595925257657655e-07
1849,4.7526177127110714e-07
1850,6.554481046805449e-07
1851,6.6494743578005e-07
1852,6.68089910504932e-07
1853,5.246848786555347e-07
1854,6.516253279187367e-07
1855,7.018451810836268e-07
1856,7.111013928806642e-07
1857,9.067609312296554e-07
1858,6.560093765983765e-07
1859,7.31616125904111e-07
1860,7.763088092360704e-07
1861,6.858850269964023e-07
1862,8.606885444351065e-07
1863,7.689665721954952e-07
1864,8.979687322607788e-07
1865,7.352026045737148e-07
1866,8.029988975977176e-07
1867,8.87790122305887e-07
1868,9.213275120600883e-07
1869,9.092126447285409e-07
1870,9.537421874483698e-07
1871,8.529010528945946e-07
1872,7.661848258067039e-07
1873,8.355216323252534e-07
1874,8.915778266782581e-07
1875,8.035135010686645e-07
1876,9.051980782714963e-07
1877,7.035298494884046e-07
1878,8.278137784145656e-07
1879,7.34134175672807e-07
1880,9.485534633313364e-07
1881,9.682385098130908e-07
1882,7.830470281078306e-07
1883,9.862059187071281e-07
1884,9.149919151241193e-07
1885,8.298796956296428e-07
1886,9.45529563978198e-07
1887,9.203005220115301e-07
1888,9.065130370800034e-07
1889,8.806286473372893e-07
1890,1.0101321095135063e-06
1891,9.141002124124498e-07
1892,1.0865370541068842e-06
1893,1.1454646937636426e-06
1894,9.194774293064256e-07
1895,9.78570028564718e-07
1896,1.1090359066656674e-06
1897,1.0490940667295945e-06
1898,1.0800703194036032e-06
1899,1.3140315786586143e-06
1900,1.9081671780440956e-06
1901,1.0180922345170984e-06
1902,9.91546812656452e-07
1903,1.1154261301271617e-06
1904,1.0171137319048285e-06
1905,1.070168423211726e-06
1906,9.768305062607396e-07
1907,9.497341579844942e-07
1908,9.213831617671531e-07
1909,9.090230150832213e-07
1910,1.0335111255699303e-06
1911,8.163167990460352e-07
1912,8.946355478656187e-07
1913,8.450006134808064e-07
1914,8.243485467573919e-07
1915,7.815617664164165e-07
1916,8.469229442198412e-07
1917,8.955669272836531e-07
1918,8.690269623912172e-07
1919,8.83995880940347e-07
1920,8.734868401916174e-07
1921,8.837088216750999e-07
1922,8.904872288439947e-07
1923,1.0361859494878445e-06
1924,9.541922736389097e-07
1925,1.0858664154511644e-06
1926,9.817449608817697e-07
1927,9.450155289414397e-07
1928,9.687939837021986e-07
1929,9.910055496220593e-07
1930,9.949632158168242e-07
1931,1.0309660183338565e-06
1932,9.823531854635803e-07
1933,9.682061090643401e-07
1934,9.466181722928013e-07
1935,9.580952564647305e-07
1936,1.0195634558840538e-06
1937,1.06663992482936e-06
1938,1.2954731118952623e-06
1939,9.785946986085037e-07
1940,1.0244290251648636e-06
1941,9.69171537690272e-07
1942,1.0417153362141107e-06
1943,1.0416092663945165e-06
1944,1.1156358823427581e-06
1945,1.0457891903570271e-06
1946,1.1144359177706065e-06
1947,1.0427397683088202e-06
1948,1.0509561434446368e-06
1949,9.790520607566577e-07
1950,1.0111014034919208e-06
1951,1.006317916107946e-06
1952,9.782964980331599e-07
1953,1.102082592296938e-06
1954,1.0057549388875486e-06
1955,9.58775444814819e-07
1956,9.783179848454893e-07
1957,9.403145782016509e-07
1958,1.0036400226454134e-06
1959,9.66423613135703e-07
1960,1.0754685035863076e-06
1961,9.115237844525836e-07
1962,9.466353958487161e-07
1963,9.37406866796664e-07
1964,9.626437531551346e-07
1965,9.120063850787119e-07
1966,1.0141152415599208e-06
1967,1.0107131629411015e-06
1968,9.605089417163981e-07
1969,9.886401812764234e-07
1970,1.0058346333607915e-06
1971,9.345865237264661e-07
1972,9.875022897176677e-07
1973,9.745730267241015e-07
1974,9.875260502667516e-07
1975,1.0945304893539287e-06
1976,1.004135583571042e-06
1977,9.942478982338798e-07
1978,1.032071736517537e-06
1979,9.972327461582609e-07
1980,1.1272371693848982e-06
1981,1.1148013072670437e-06
1982,1.1338386229908792e-06
1983,1.1543176015038625e-06
1984,1.3390067579166498e-06
1985,1.6096952322186553e-06
1986,2.1033258690295042e-06
1987,1.6583674096182222e-06
1988,1.9776875888055656e-06
1989,2.431825123494491e-06
1990,2.7432458864495857e-06
1991,3.417788093429408e-06
1992,5.056300778960576e-06
1993,7.119097517716e-06
1994,8.861746209731791e-06
1995,1.2287777281017043e-05
1996,1.2682959095400292e-05
1997,2.0343513824627735e-05
1998,1.8930493752122857e-05
1999,2.5255598302464932e-05
2000,2.222505645477213e-05
2001,2.7788575607701205e-05
2002,2.7291012884234078e-05
2003,2.9493668989744037e-05
2004,3.231890150345862e-05
2005,2.5320981876575388e-05
2006,2.7127556677442044e-05
2007,3.66319582099095e-05
2008,2.9605042072944343e-05
2009,4.0558941691415384e-05
2010,5.605429396382533e-05
2011,4.15607682953123e-05
2012,3.5323810152476653e-05
2013,4.249188714311458e-05
2014,3.652966188383289e-05
2015,4.725759936263785e-05
2016,3.103014751104638e-05
2017,1.793584306142293e-05
2018,1.6804930055513978e-05
2019,1.679512206465006e-05
