,download
1800,3.968465556170031e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.3519849684229257e-09
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,7.723051642649637e-10
1832,0.0
1833,0.0
1834,0.0
1835,7.748600872048428e-09
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,5.420898729902035e-10
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,4.2570807989861237e-10
1846,0.0
1847,3.2723599385775515e-09
1848,0.0
1849,9.130869949025566e-10
1850,8.484765112726222e-10
1851,0.0
1852,3.7617675641143933e-10
1853,0.0
1854,3.2500016566849865e-10
1855,1.0617929868672604e-09
1856,0.0
1857,0.0
1858,7.350244857207144e-10
1859,3.4789163216863983e-10
1860,3.3693958734204443e-10
1861,0.0
1862,0.0
1863,8.539329243717475e-10
1864,0.0
1865,1.9501396053556164e-09
1866,0.0
1867,0.0
1868,3.095858569501786e-10
1869,6.193546786548154e-10
1870,1.5124359542539878e-09
1871,3.1368188602165503e-10
1872,5.54202406188864e-10
1873,0.0
1874,2.840324364594693e-10
1875,2.8666197193771836e-10
1876,1.6383676637587996e-09
1877,4.729145075543784e-09
1878,0.0
1879,2.6832389088404796e-10
1880,1.4679701898501207e-09
1881,2.539975174631337e-10
1882,2.4439669732423397e-10
1883,1.1510339348319576e-09
1884,0.0
1885,4.5373410584303997e-10
1886,2.2485839579200473e-10
1887,0.0
1888,4.0632588960143323e-10
1889,0.0
1890,9.671888845375065e-10
1891,3.213338262142429e-09
1892,6.96145807665971e-09
1893,1.7706983101994922e-10
1894,0.0
1895,3.146021498867668e-10
1896,3.228634304353051e-10
1897,3.092848199770515e-10
1898,0.0
1899,1.08530384679284e-09
1900,1.0428990293576135e-07
1901,5.050687090779604e-10
1902,2.549946920282764e-10
1903,1.2649423175581376e-10
1904,0.0
1905,1.2052803199935624e-10
1906,2.4546282784143614e-09
1907,1.1097617963473638e-10
1908,0.0
1909,3.366751988309602e-09
1910,8.204097401431909e-10
1911,3.8428471516027685e-10
1912,2.894011974508004e-10
1913,6.749206193923385e-10
1914,0.0
1915,2.0179750925830575e-10
1916,5.004271441677588e-10
1917,4.0926170785660076e-10
1918,3.3471317384403676e-10
1919,1.4750825005904744e-09
1920,1.7596825108157077e-09
1921,4.731098623977914e-09
1922,2.7843263250559858e-09
1923,1.4617043131437413e-09
1924,2.5581563534160523e-09
1925,3.0430633568556686e-09
1926,8.593705747017566e-10
1927,8.547535457203992e-10
1928,1.4493259925529856e-09
1929,1.7650682027081643e-09
1930,7.958432801657978e-10
1931,3.193328046435795e-09
1932,3.5400116171757645e-09
1933,4.574201906137887e-09
1934,5.692563309622756e-09
1935,1.6550272263771149e-09
1936,1.8325222228554594e-08
1937,1.730026344404223e-09
1938,3.266682924163433e-09
1939,4.836546718678392e-09
1940,3.927422831395688e-09
1941,4.019815946776362e-08
1942,4.356454308407365e-09
1943,4.152715060712353e-09
1944,6.370649785480964e-09
1945,5.40504574431111e-09
1946,5.25606447254745e-09
1947,1.1155137258356262e-08
1948,5.649595458123713e-09
1949,1.2857876541261248e-08
1950,8.112918337133124e-09
1951,7.42139993903379e-09
1952,2.1427764007597716e-09
1953,5.921991341750754e-09
1954,4.74959138685449e-09
1955,5.708957306893581e-09
1956,1.3398608444958882e-08
1957,9.246663879025618e-09
1958,1.5624804561298333e-08
1959,1.0558916407887864e-08
1960,9.009814228022606e-09
1961,1.0580706977236787e-08
1962,1.9290048669518e-08
1963,1.2821899986192875e-08
1964,1.1897136609206882e-08
1965,8.712299326418815e-09
1966,6.031448673837758e-09
1967,1.019841366911578e-08
1968,1.7586087253107507e-08
1969,9.355828112234121e-09
1970,9.534564249236155e-09
1971,1.4073044063422913e-08
1972,1.3447374769270937e-08
1973,1.252285919406404e-08
1974,1.3157824163556597e-08
1975,1.7164808241432183e-08
1976,1.721804565590901e-08
1977,2.7945935343609563e-08
1978,2.662348919102442e-08
1979,5.164210747921061e-08
1980,4.0172185578057906e-08
1981,6.123210738451235e-08
1982,9.489903618487006e-08
1983,2.132870946525145e-07
1984,3.867850182359689e-07
1985,4.292589608212438e-07
1986,8.177325980796013e-07
1987,4.816623118131247e-07
1988,4.396436565912154e-07
1989,4.526485213318665e-07
1990,5.211610414335155e-07
1991,6.4667278820707e-07
1992,7.147120868467027e-07
1993,1.0487367489986354e-06
1994,1.1424483545852127e-06
1995,1.8136568087356864e-06
1996,2.485243840055773e-06
1997,3.2645582450641086e-06
1998,3.383780949661741e-06
1999,3.91902403862332e-06
2000,4.358814294391777e-06
2001,4.771279691340169e-06
2002,5.041637450631242e-06
2003,5.004728336643893e-06
2004,5.276490355754504e-06
2005,5.276966476230882e-06
2006,5.312236680765636e-06
2007,5.120230525790248e-06
2008,5.231770046520978e-06
2009,5.839527148054913e-06
2010,6.7229489104647655e-06
2011,6.727501840941841e-06
2012,5.755412985308794e-06
2013,4.973613158654189e-06
2014,5.450977369036991e-06
2015,5.35603749085567e-06
2016,5.06383321408066e-06
2017,4.33511559094768e-06
2018,3.793334826696082e-06
2019,4.2374203985673375e-06
