,reviews
1944,7.284355433512246e-06
1945,6.740615390299354e-06
1946,7.076164820318809e-06
1947,7.47022386349272e-06
1948,7.733114216534887e-06
1949,8.206337042793166e-06
1950,7.842873856134247e-06
1951,8.163180609699339e-06
1952,7.917439688753802e-06
1953,8.211906788346823e-06
1954,9.775353646546137e-06
1955,9.37476670515025e-06
1956,9.299732482759282e-06
1957,1.005112335406011e-05
1958,9.730498277349398e-06
1959,1.0306444892194122e-05
1960,1.0179751370742451e-05
1961,1.0382339496572968e-05
1962,1.0124903383257333e-05
1963,9.741086614667438e-06
1964,1.022539163386682e-05
1965,1.0437406672281213e-05
1966,1.0684191693144385e-05
1967,1.1461191206763033e-05
1968,1.1864747648360208e-05
1969,1.2443250852811616e-05
1970,1.3322634003998246e-05
1971,1.3280861821840517e-05
1972,1.4371347788255662e-05
1973,1.550047454657033e-05
1974,1.666250500420574e-05
1975,1.6693506040610373e-05
1976,1.8631659258971922e-05
1977,1.8806702428264543e-05
1978,2.0159772248007357e-05
1979,1.9611456082202494e-05
1980,2.0824418243137188e-05
1981,2.0863753888988867e-05
1982,2.180129013140686e-05
1983,2.1833237042301334e-05
1984,2.288809082529042e-05
1985,2.3130281988414936e-05
1986,2.3394686650135554e-05
1987,2.3582724679727107e-05
1988,2.43216836679494e-05
1989,2.3341963242273778e-05
1990,2.361056613153778e-05
1991,2.355105971219018e-05
1992,2.2362446543411352e-05
1993,2.2411573809222318e-05
1994,2.4085500626824796e-05
1995,2.206378849223256e-05
1996,2.2648824597126804e-05
1997,2.181145828217268e-05
1998,2.2073823856771924e-05
1999,2.188782673329115e-05
2000,2.034238241321873e-05
2001,2.02661376533797e-05
2002,2.0371093341964297e-05
2003,2.0423673049663194e-05
2004,1.9276329112472013e-05
2005,1.8780956452246755e-05
2006,1.8678563719731756e-05
2007,1.796568903955631e-05
2008,1.6931744539760984e-05
2009,1.6237099771387875e-05
2010,1.620106559130363e-05
2011,1.5585144865326583e-05
2012,1.6089215932879597e-05
2013,1.553313086333219e-05
2014,1.4665016351500526e-05
2015,1.4475841453531757e-05
2016,1.5396502931253053e-05
2017,1.3856047189619858e-05
2018,1.2906028132420033e-05
2019,1.369955043628579e-05
