,r
1800,0.00010322772868676111
1801,0.00010798891162266955
1802,0.00011493323108879849
1803,9.442293958272785e-05
1804,9.807056630961597e-05
1805,9.706510900286958e-05
1806,0.00010033404396381229
1807,0.00010060969361802563
1808,8.516487287124619e-05
1809,9.869477798929438e-05
1810,8.777918264968321e-05
1811,7.730103970970958e-05
1812,9.061366290552542e-05
1813,8.245518256444484e-05
1814,7.231494964798912e-05
1815,7.600351818837225e-05
1816,8.577031985623762e-05
1817,6.984864739933982e-05
1818,6.817519169999287e-05
1819,7.695319800404832e-05
1820,5.971617065370083e-05
1821,6.173730798764154e-05
1822,5.921223055338487e-05
1823,6.653217860730365e-05
1824,6.554094579769298e-05
1825,6.0213595133973286e-05
1826,6.714934716001153e-05
1827,5.6300363212358207e-05
1828,5.537624019780196e-05
1829,4.950631409883499e-05
1830,5.014526686863974e-05
1831,5.109648191137239e-05
1832,5.197085192776285e-05
1833,5.7229233789257705e-05
1834,5.011313987779431e-05
1835,4.671571878134273e-05
1836,5.639245136990212e-05
1837,5.101216447656043e-05
1838,4.8155598051380366e-05
1839,4.99482594022993e-05
1840,4.895125675830059e-05
1841,5.0735783588606864e-05
1842,5.97091784584336e-05
1843,5.157789928489365e-05
1844,5.139484710525721e-05
1845,5.7886933063855395e-05
1846,4.9756115913623944e-05
1847,5.072111162007786e-05
1848,4.6803561417618766e-05
1849,4.61113486380782e-05
1850,5.155682811164297e-05
1851,4.8511305067222565e-05
1852,5.2302111726021394e-05
1853,4.88315818074625e-05
1854,5.1055900257779285e-05
1855,5.100641283206642e-05
1856,5.558110206038691e-05
1857,5.538912591873668e-05
1858,5.326648897607811e-05
1859,5.331230568117462e-05
1860,5.501179111888632e-05
1861,4.953775351168588e-05
1862,5.424001210485585e-05
1863,5.2215436880942434e-05
1864,5.1360570068936795e-05
1865,5.146964031155221e-05
1866,5.6537071941420436e-05
1867,5.727350799134001e-05
1868,5.659693852066994e-05
1869,5.5383316066581756e-05
1870,5.6674911320442334e-05
1871,5.538869299925864e-05
1872,5.613876419374719e-05
1873,5.818938370794058e-05
1874,5.885691643925384e-05
1875,5.848534783581272e-05
1876,5.916254667681642e-05
1877,6.081346873543225e-05
1878,5.7433931942796335e-05
1879,6.212878361111507e-05
1880,6.0724301874870434e-05
1881,6.662558007519692e-05
1882,6.579208275070414e-05
1883,6.823237345088273e-05
1884,6.662007217528298e-05
1885,6.19081620243378e-05
1886,6.504591146949679e-05
1887,6.355540972435847e-05
1888,6.601881614187732e-05
1889,7.056423055473715e-05
1890,6.393428338924423e-05
1891,6.503815529868007e-05
1892,6.049067451385781e-05
1893,6.450370710808784e-05
1894,6.0098514950368553e-05
1895,5.8986173826269805e-05
