,software
1800,3.968465556170031e-09
1801,1.6202386987629325e-08
1802,4.2053871496250395e-09
1803,2.593482584245521e-08
1804,0.0
1805,6.077775172030897e-09
1806,0.0
1807,0.0
1808,1.8177425120669e-09
1809,1.0859103838356532e-08
1810,4.393645891553888e-09
1811,4.942626752324486e-09
1812,0.0
1813,0.0
1814,1.6406875857910563e-09
1815,8.354788860742701e-09
1816,0.0
1817,0.0
1818,2.7039699368458514e-09
1819,3.993627206710926e-09
1820,3.5982989921024e-09
1821,9.900627873093981e-08
1822,0.0
1823,3.095335543434885e-09
1824,3.599519127206463e-09
1825,8.733823109174921e-10
1826,8.849154653489677e-08
1827,0.0
1828,0.0
1829,0.0
1830,7.319942429973025e-10
1831,1.3129187514948626e-08
1832,2.0267101774607e-07
1833,6.671317942519295e-10
1834,6.50262621526565e-10
1835,2.8610218194558e-08
1836,5.773478362058881e-10
1837,1.4535533665593903e-08
1838,5.864838059643773e-10
1839,8.932280692874883e-09
1840,1.084179745980407e-09
1841,5.342802200658525e-09
1842,0.0
1843,3.7037124478445094e-09
1844,9.796865541034094e-10
1845,2.9799565037791353e-09
1846,1.8360868381250839e-09
1847,5.7967518785062566e-08
1848,4.671713571546832e-10
1849,2.739261040218821e-09
1850,9.757480157190912e-09
1851,1.91406868133015e-09
1852,2.257060538468636e-09
1853,1.993736287175807e-09
1854,1.3000006626739946e-09
1855,3.1853790716240837e-09
1856,3.3781538677502e-10
1857,4.949182397240293e-09
1858,1.837561214301786e-09
1859,4.1746996970459804e-09
1860,3.7063354607624888e-09
1861,1.2096738055689116e-09
1862,1.7060228785226172e-09
1863,1.2808993865576213e-09
1864,1.977033869948741e-09
1865,9.360669572799907e-09
1866,1.002495531032821e-09
1867,3.2966585017391026e-09
1868,1.2383434278007144e-09
1869,3.146321887470549e-07
1870,1.5124359542539878e-09
1871,2.1957731188848584e-09
1872,5.54202406188864e-10
1873,6.504414784558321e-09
1874,1.3917589747336478e-08
1875,2.866619830399486e-09
1876,2.184490144330198e-09
1877,1.418743522663135e-08
1878,2.8080520131368303e-09
1879,5.3664779287032616e-09
1880,2.3242861857397656e-08
1881,5.1561496405838625e-08
1882,3.1771569819483148e-09
1883,1.5654061158443255e-08
1884,2.872469151427026e-09
1885,7.486613107232643e-09
1886,1.4390937330688303e-08
1887,2.349339833784825e-09
1888,1.1783450659663686e-08
1889,1.853955033936927e-08
1890,3.5785987506642414e-08
1891,1.6595946306097176e-07
1892,1.1541364308698121e-08
1893,1.044711961384337e-08
1894,3.584707197745729e-09
1895,2.8156891929143057e-08
1896,3.2286342488418995e-09
