,phone
1800,3.531934282818838e-07
1801,7.291074410886722e-08
1802,2.1026934859946778e-08
1803,3.457977015841607e-08
1804,3.900460043837484e-08
1805,9.11666298009095e-09
1806,6.388199125240135e-08
1807,3.63042289563964e-08
1808,4.5443563578828616e-08
1809,2.3528059500677045e-08
1810,6.151103804086233e-08
1811,2.636067719663515e-08
1812,3.799421222083765e-08
1813,2.2883453354438643e-08
1814,1.312550068632845e-08
1815,8.354788860742701e-09
1816,1.6294269045147303e-08
1817,3.803038239880152e-08
1818,1.0815879747383406e-08
1819,6.656045048458736e-09
1820,7.1965979842048e-09
1821,1.5038928324884182e-08
1822,1.4729149455661172e-08
1823,2.6826242560673563e-08
1824,8.998798151083065e-09
1825,3.231514611456987e-08
1826,4.4245773267448385e-08
1827,1.1266081401117845e-08
1828,7.976858285019262e-09
1829,1.658975357088366e-08
1830,1.3175895929862236e-08
1831,1.5446103063254668e-08
1832,2.1723185454902705e-06
1833,3.60251171116488e-08
1834,1.8857615913248083e-08
1835,5.364415756048402e-08
1836,2.598065229619806e-08
1837,1.744264110925542e-08
1838,2.697825429720524e-08
1839,5.727168073121902e-08
1840,2.2225684404020285e-08
1841,2.9919693389501845e-08
1842,1.3792221587038966e-08
1843,2.4867782499882196e-08
1844,7.004759083883982e-08
1845,2.809673382841993e-08
1846,2.5246194468309113e-08
1847,3.3658558606930455e-08
1848,3.457067876411202e-08
1849,3.698002259966415e-08
1850,6.533269214514803e-08
1851,7.158616455171796e-08
1852,3.084649335960421e-08
1853,4.9178826344586923e-08
1854,3.672501946994089e-08
1855,4.388744301309089e-08
1856,2.6011784726165388e-08
1857,4.030048472714043e-08
1858,5.255424895267424e-08
1859,5.357531307481622e-08
1860,4.009580933939105e-08
1861,3.709666174245285e-08
1862,4.265057285124385e-08
1863,3.501125078742007e-08
1864,5.179828477253068e-08
1865,5.6554046778956035e-08
1866,5.0124775441418024e-08
1867,3.3625916273649636e-08
1868,3.405444459758655e-08
1869,1.5607737680056744e-07
1870,3.93233356987821e-08
1871,5.144383052879675e-08
1872,7.315471606261781e-08
1873,3.459166109109901e-08
1874,7.157617432085317e-08
1875,3.9559353126605856e-08
1876,4.368980199842554e-08
1877,5.953159032401345e-08
1878,1.2495831924752565e-07
1879,1.4382160884451878e-07
1880,1.2551146255646017e-07
1881,1.231887978292434e-07
1882,1.3392939024470252e-07
1883,1.8025191650394845e-07
1884,2.2250587505823205e-07
1885,2.4410894639004255e-07
1886,2.529656910610356e-07
1887,1.8175347804572084e-07
1888,2.0641354581130145e-07
1889,2.315512546147147e-07
1890,2.0330310235294746e-07
1891,2.491282202754519e-07
1892,2.394375258063519e-07
1893,2.393984175341757e-07
1894,2.736923931934143e-07
1895,3.207368877156114e-07
1896,3.2819067996570084e-07
1897,4.1830770669548656e-07
1898,5.324770313563931e-07
1899,5.9840942867595e-07
1900,8.995979214887484e-07
1901,8.738951464692946e-07
1902,7.937984491945826e-07
1903,9.00006455140101e-07
1904,1.0003197985497536e-06
1905,3.9125811781559605e-06
1906,1.3150113318260992e-06
1907,1.8914779502665624e-06
1908,4.106041160412133e-06
1909,1.90775381270214e-06
1910,1.9491910734359408e-06
1911,2.3828533812775277e-06
1912,2.52878749051888e-06
1913,2.745384108493454e-06
1914,2.784585831250297e-06
1915,3.1381530334329e-06
1916,3.3454557524237316e-06
1917,3.0023438739590347e-06
1918,3.0883984436513856e-06
1919,3.4496911212045234e-06
1920,3.4785991829267005e-06
1921,3.4805786981451092e-06
1922,3.6699409520224435e-06
1923,3.610247176766279e-06
1924,3.5873222259397153e-06
1925,3.961223228543531e-06
1926,2.836782186932396e-06
1927,2.9205218652350595e-06
1928,3.2553473374719033e-06
1929,3.4722099826467456e-06
1930,5.475242232932942e-06
1931,3.8423718251578975e-06
1932,3.995965016656555e-06
1933,3.4485672131268075e-06
1934,3.850192570098443e-06
1935,4.533781520876801e-06
1936,5.470484211400617e-06
1937,5.3756639317725785e-06
1938,5.417871307145106e-06
1939,5.139050699654035e-06
1940,6.0039301388314925e-06
1941,7.628209914400941e-06
1942,6.156541530799586e-06
1943,6.321877208392834e-06
1944,6.923930868651951e-06
1945,6.8059989644098096e-06
1946,8.435983545496128e-06
1947,7.4619902079575695e-06
1948,7.220446150313364e-06
1949,7.0193582359934226e-06
1950,7.829082278476562e-06
1951,8.410122063651215e-06
1952,8.182549208868295e-06
1953,8.58901967148995e-06
1954,8.860999514581636e-06
1955,8.59900774230482e-06
1956,8.477694791508839e-06
1957,1.1474805432953872e-05
1958,8.917197192204185e-06
1959,8.584210263506975e-06
1960,8.498128408973571e-06
1961,8.4504863480106e-06
1962,8.436154530500062e-06
1963,8.344388334080577e-06
1964,9.527951988275163e-06
1965,8.812347914499696e-06
1966,9.118787602346856e-06
1967,9.132616469287314e-06
1968,9.254971701011527e-06
1969,9.832851901592221e-06
1970,9.69497978076106e-06
1971,1.0088265298691113e-05
1972,1.0681048479455058e-05
1973,1.2237963346706238e-05
1974,1.3243913599580992e-05
1975,1.2359270840534009e-05
1976,1.318700105912285e-05
1977,1.417132716596825e-05
1978,1.4622426533605903e-05
1979,1.542163772683125e-05
1980,1.664465708017815e-05
1981,1.734302168188151e-05
1982,1.804555176931899e-05
1983,1.986334791581612e-05
1984,2.0754203433170915e-05
1985,2.1530340745812282e-05
1986,2.3951881303219125e-05
1987,2.475027031323407e-05
1988,2.4805432985886e-05
1989,2.760590177786071e-05
1990,2.7198491807212122e-05
1991,2.8521142667159438e-05
1992,3.103654307778925e-05
1993,3.460039079072885e-05
1994,3.2584885047981516e-05
1995,3.6413468478713185e-05
1996,3.619294875534251e-05
1997,4.095305848750286e-05
1998,4.032785727758892e-05
1999,4.115451520192437e-05
2000,4.8232253902824596e-05
2001,4.823274866794236e-05
2002,4.9640606448519975e-05
2003,5.050547406426631e-05
2004,5.1858001825166866e-05
2005,5.610777225228958e-05
2006,5.490117473527789e-05
2007,6.015206963638775e-05
2008,6.151507113827392e-05
2009,7.27537990314886e-05
2010,7.83490831963718e-05
2011,9.194721496896818e-05
2012,8.266526128863916e-05
2013,7.808384543750435e-05
2014,0.0001014620647765696
2015,9.58290693233721e-05
2016,8.92522803042084e-05
2017,8.978028927231207e-05
2018,8.045845606829971e-05
2019,9.463317110203207e-05
