,shopping
1800,2.7382412781662424e-07
1801,1.1341671068976211e-07
1802,1.4298316841632186e-07
1803,1.239108371464681e-07
1804,6.825804632626387e-08
1805,5.166108962839644e-08
1806,1.105649900523531e-07
1807,6.620182801952978e-08
1808,1.4360165323523688e-07
1809,6.877432667806715e-08
1810,5.711739348157607e-08
1811,5.601643948693891e-08
1812,5.699131833125648e-08
1813,6.559923093618636e-08
1814,5.0861316935879586e-08
1815,4.1773944303713506e-08
1816,6.517707618058921e-08
1817,1.1555385270867191e-07
1818,1.649421648153293e-07
1819,1.850380613177549e-07
1820,1.4393195613138232e-07
1821,1.3159062461909343e-07
1822,1.0310404263691453e-07
1823,1.3825832922975678e-07
1824,1.3498197404260281e-07
1825,1.7030954779784224e-07
1826,1.209384379308176e-07
1827,1.8682918323520425e-07
1828,1.7283193187722645e-07
1829,1.5511419348968047e-07
1830,1.3981089352910203e-07
1831,1.3747032312494412e-07
1832,1.1269886499576387e-06
1833,2.90869451191611e-07
1834,2.3344428257132677e-07
1835,2.5749196197466517e-07
1836,1.8186456429702957e-07
1837,2.2035870017589332e-07
1838,2.738879345542955e-07
1839,2.432732912893698e-07
1840,1.9732071621092473e-07
1841,2.6393442453809257e-07
1842,1.7293324106049113e-07
1843,2.259264562098906e-07
1844,3.252559395150456e-07
1845,3.5418912602835917e-07
1846,2.3272400540008675e-07
1847,2.529066875922581e-07
1848,3.503785137581872e-07
1849,3.1821082302485593e-07
1850,3.06724246001977e-07
1851,2.744774292295915e-07
1852,3.505967356431938e-07
1853,4.6985715584924037e-07
1854,4.293252118259261e-07
1855,3.9321733424912964e-07
1856,4.449028665476362e-07
1857,4.2138751155107457e-07
1858,4.156563591095619e-07
1859,4.7591575480510073e-07
1860,4.7003072722873185e-07
1861,4.2419227952450456e-07
1862,5.335586479304766e-07
1863,5.16629427238513e-07
1864,5.065160735284735e-07
1865,5.070362476544688e-07
1866,4.53127967148248e-07
1867,5.004327476854087e-07
1868,5.13602913088107e-07
1869,6.394836873369059e-07
1870,5.257227826405142e-07
1871,5.988187012917479e-07
1872,5.669490406035038e-07
1873,5.874669000149879e-07
1874,6.464578063969384e-07
1875,6.017035047989339e-07
1876,4.677539493513905e-07
1877,4.83763699321571e-07
1878,5.784587528978591e-07
1879,5.905808961870207e-07
1880,5.436382934931316e-07
1881,5.933381999057019e-07
1882,5.977943260404572e-07
1883,5.430578084997251e-07
1884,5.773662792307732e-07
1885,6.21615697582456e-07
1886,5.709154606847733e-07
1887,6.714840310451109e-07
1888,6.505277383439534e-07
1889,7.467962177543086e-07
1890,6.433740509237396e-07
1891,8.21669516426482e-07
1892,7.536694397458632e-07
1893,7.380270403700706e-07
1894,8.28784322948195e-07
1895,7.734493578936963e-07
1896,7.705135658397921e-07
1897,7.275925213434675e-07
1898,7.64703997901961e-07
1899,8.558977242500987e-07
1900,1.0494009075046051e-06
1901,9.428370049135992e-07
1902,9.195108532367158e-07
1903,9.898174084810307e-07
1904,9.75848593043338e-07
1905,1.0841496305147302e-06
1906,1.1247776683376287e-06
1907,1.0684786957426695e-06
1908,1.1414563232392538e-06
1909,1.2454810303097474e-06
1910,1.2580983366206056e-06
1911,1.3567172345574363e-06
1912,1.4583890788344434e-06
1913,1.558198846396408e-06
1914,1.5059404177009128e-06
1915,1.5845140524106682e-06
1916,1.672427629273443e-06
1917,1.6949574046520866e-06
1918,1.5819659893168136e-06
1919,1.7205784388352185e-06
1920,1.9050518176300102e-06
1921,1.9431729469943093e-06
1922,2.1441301214508712e-06
1923,2.0960840174666373e-06
1924,2.3052923552313587e-06
1925,2.5421413738513365e-06
1926,2.4906278213165933e-06
1927,2.425448656140361e-06
1928,2.4168316485884134e-06
1929,2.5882318368530832e-06
1930,2.7198739189771004e-06
1931,2.6223610802844632e-06
1932,2.528984396121814e-06
1933,2.4994201339723077e-06
1934,2.5361287043779157e-06
1935,2.4390135422436288e-06
1936,2.8939255116711138e-06
1937,2.8537572234199615e-06
1938,2.924148020611028e-06
1939,2.9447242013702635e-06
1940,3.2069765438791364e-06
1941,3.3729909318935825e-06
1942,3.5986056445835857e-06
1943,3.870330601785099e-06
1944,3.8067528294050135e-06
1945,3.975324034399819e-06
1946,4.304717094782973e-06
1947,4.338551661930978e-06
1948,4.580113909469219e-06
1949,4.5102187868906185e-06
1950,4.313522822485538e-06
1951,4.8787323976284824e-06
1952,5.710023287974764e-06
1953,6.032140390743734e-06
1954,6.298073913058033e-06
1955,6.702316113660345e-06
1956,6.73093336445163e-06
1957,7.282611477421597e-06
1958,7.163871032389579e-06
1959,7.458271738869371e-06
1960,7.423730039590737e-06
1961,7.661765266675502e-06
1962,7.126961008907529e-06
1963,7.231255040096585e-06
1964,7.511662715842249e-06
1965,6.887929885124322e-06
1966,7.220475708891172e-06
1967,6.938824299140833e-06
1968,7.6105798143544234e-06
1969,7.131356596801197e-06
1970,7.704794370511081e-06
1971,7.626784281455912e-06
1972,8.477815754304174e-06
1973,9.084781595447566e-06
1974,9.445438081456814e-06
1975,9.233023774868343e-06
1976,9.259495527658146e-06
1977,9.768187737790868e-06
1978,9.251691153622232e-06
1979,9.717154171084985e-06
1980,9.999166650231928e-06
1981,9.622122888686135e-06
1982,9.522731488686986e-06
1983,9.886581210594159e-06
1984,1.2056081686750986e-05
1985,1.0724885214585811e-05
1986,9.781649168871809e-06
1987,1.0105492947332095e-05
1988,1.07056421256857e-05
1989,1.1140328751935158e-05
1990,1.0961889529426116e-05
1991,1.1038852790079545e-05
1992,1.121686818805756e-05
1993,1.1743716640921775e-05
1994,1.2684055036515929e-05
1995,1.2343314665486105e-05
1996,1.2738644727505744e-05
1997,1.369126039207913e-05
1998,1.3583141480921768e-05
1999,1.445174802938709e-05
2000,1.4863723663438577e-05
2001,1.6520572899025865e-05
2002,1.5241154869727325e-05
2003,1.5211439858831e-05
2004,1.5737537978566252e-05
2005,1.5962541510816664e-05
2006,1.586261896591168e-05
2007,1.6046507880673744e-05
2008,1.594252717040945e-05
2009,1.696655453997664e-05
2010,1.8236652977066115e-05
2011,1.886082100099884e-05
2012,1.7351618225802667e-05
2013,1.594771492818836e-05
2014,1.813092785596382e-05
2015,1.7199947251356207e-05
2016,1.7257862054975703e-05
2017,1.5235315913741942e-05
2018,1.3208587006374728e-05
2019,1.4921482033969369e-05
