,job
1800,3.7978215914336033e-06
1801,2.977188614750048e-06
1802,2.2288552372629056e-06
1803,2.048851229119464e-06
1804,1.787710857570346e-06
1805,2.668143224582309e-06
1806,3.950855443690671e-06
1807,2.2337778773362515e-06
1808,1.7104956668845261e-06
1809,1.8044211174128577e-06
1810,1.2844091088481946e-06
1811,1.675550493018818e-06
1812,4.031185653730063e-06
1813,2.540063405831461e-06
1814,2.9909733711974695e-06
1815,1.956691676241462e-06
1816,2.370816218899563e-06
1817,2.534871100579039e-06
1818,1.9657861685118405e-06
1819,2.173864459109609e-06
1820,2.181768650189042e-06
1821,1.884879111457849e-06
1822,2.7364656034478685e-06
1823,2.499999482097337e-06
1824,2.3927802885737037e-06
1825,2.9074897156533552e-06
1826,3.117851974820951e-06
1827,2.3705713374511106e-06
1828,2.3788766156940255e-06
1829,2.430399035802111e-06
1830,2.682026888578548e-06
1831,2.9687410005863057e-06
1832,1.7486770957475528e-05
1833,2.6431762307765894e-06
1834,3.2480618301633513e-06
1835,3.3354745028191246e-06
1836,2.8717281566059683e-06
1837,2.8832685075030895e-06
1838,2.938283842013334e-06
1839,3.0401279218494892e-06
1840,2.917527808676823e-06
1841,3.4445047276676632e-06
1842,3.176985273967148e-06
1843,3.2079440188681474e-06
1844,3.0149853955663275e-06
1845,3.00592478197359e-06
1846,3.2742018447606824e-06
1847,2.689412440304295e-06
1848,2.537207592467894e-06
1849,2.624668468342861e-06
1850,2.8534263947221916e-06
1851,3.1421350286109373e-06
1852,3.2543050565436715e-06
1853,2.937438011940685e-06
1854,2.685151457626489e-06
1855,3.0197393243724946e-06
1856,3.272755520811188e-06
1857,3.4605388918862445e-06
1858,3.0404287372221006e-06
1859,3.916215973731596e-06
1860,3.6207527500664582e-06
1861,3.917326921509812e-06
1862,4.0786740100884344e-06
1863,3.4913048239104683e-06
1864,3.879731139022624e-06
1865,4.2228321035509e-06
1866,3.920425569958752e-06
1867,4.262908987584524e-06
1868,4.267641088517848e-06
1869,4.806192464457126e-06
1870,4.1716011764947325e-06
1871,4.161303877481259e-06
1872,4.440269549377263e-06
1873,4.212200110487174e-06
1874,5.127637450641487e-06
1875,4.418034222908318e-06
1876,5.054091161582619e-06
1877,4.3841955630341545e-06
1878,4.550729045149637e-06
1879,4.931793228024617e-06
1880,4.696036739915144e-06
1881,4.7068278945516795e-06
1882,4.978116521670017e-06
1883,4.903174158243928e-06
1884,5.393613264459418e-06
1885,5.177106231712969e-06
1886,6.531012331834063e-06
1887,5.651657374983188e-06
1888,5.845404302817769e-06
1889,6.297460458881687e-06
1890,6.777092494303361e-06
1891,6.173200745251961e-06
1892,7.2400994213239755e-06
1893,6.6385250647726934e-06
1894,7.453861144313123e-06
1895,7.65254026191542e-06
