,college
1800,2.693000715225935e-05
1801,3.2959706004476175e-05
1802,2.8621865567401983e-05
1803,2.472165215294808e-05
1804,2.847985888365656e-05
1805,3.328797538415529e-05
1806,3.4793574741343036e-05
1807,3.520228710840456e-05
1808,3.706195275299251e-05
1809,3.440888031036593e-05
1810,4.520475704339333e-05
1811,3.415520041016862e-05
1812,4.343624823377468e-05
1813,5.137945481692441e-05
1814,5.0602087867446244e-05
1815,4.467974213184789e-05
1816,4.1576186049496755e-05
1817,5.912407868891023e-05
1818,2.9966746296850033e-05
1819,3.628609556471929e-05
1820,2.8945916710654274e-05
1821,4.028302282677032e-05
1822,3.698699947563e-05
1823,2.958625009341631e-05
1824,3.571352863218635e-05
1825,3.221732549718581e-05
1826,2.8595550247700885e-05
1827,2.763381962722633e-05
1828,3.325552461319603e-05
1829,2.9992615964147262e-05
1830,3.0008104658918455e-05
1831,3.070067396038212e-05
1832,2.7577032597037032e-05
1833,3.4929686080431566e-05
1834,2.9112907213857397e-05
1835,3.595768066588789e-05
1836,3.2118437957251444e-05
1837,3.719468804774806e-05
1838,3.0639672331744805e-05
1839,3.0635095754405484e-05
1840,3.009520332852844e-05
1841,2.9016224289080128e-05
1842,3.2831852877279744e-05
1843,2.9242395612527616e-05
1844,2.801266782626044e-05
1845,3.1918742024572566e-05
1846,2.658240555319935e-05
1847,3.1513292924501e-05
1848,3.2830936106620356e-05
1849,2.6148072720388882e-05
1850,2.8799413485103287e-05
1851,3.0509871066897176e-05
1852,2.7520338335307315e-05
1853,3.43806495948229e-05
1854,3.426964394748211e-05
1855,2.904747088905424e-05
1856,2.8735252271872014e-05
1857,3.229306093999185e-05
1858,2.89698873530142e-05
1859,2.991381006722804e-05
1860,2.601207233965397e-05
1861,3.124466456938535e-05
1862,2.2195783458300866e-05
1863,2.9929067750344984e-05
1864,2.7975818738923408e-05
1865,2.6364325094618835e-05
1866,2.830078301485628e-05
1867,3.2000665669329464e-05
1868,3.1035055144457147e-05
1869,3.33454372594133e-05
1870,3.0252349461079575e-05
1871,3.365649899933487e-05
1872,3.3408152376068756e-05
1873,3.574294169084169e-05
1874,3.4671840694500133e-05
1875,3.466373891569674e-05
1876,3.616778485593386e-05
1877,3.48785579262767e-05
1878,3.856157491100021e-05
1879,3.712851321324706e-05
1880,3.46436099789571e-05
1881,4.021441054646857e-05
1882,3.586839375202544e-05
1883,3.857759293168783e-05
1884,3.870630098390393e-05
1885,3.702946560224518e-05
1886,4.261966023477726e-05
1887,4.2584135371726006e-05
