,sales
1800,5.940793016634416e-06
1801,5.618177510768874e-06
1802,6.6234847508894745e-06
1803,5.411733582150191e-06
1804,6.5755252762755845e-06
1805,4.534020263236016e-06
1806,4.390658432384953e-06
1807,5.178691480978159e-06
1808,5.694987066817703e-06
1809,5.223228981776629e-06
1810,6.738388037774712e-06
1811,8.628178875369485e-06
1812,8.70574058353668e-06
1813,1.2509621228673495e-05
1814,8.462666301056743e-06
1815,6.408123226719908e-06
1816,7.479070063709514e-06
1817,8.474924470647238e-06
1818,9.083986697078217e-06
1819,1.2235142094141338e-05
1820,7.781921340210829e-06
1821,9.6925896286848e-06
1822,8.361948857782409e-06
1823,7.621747954544844e-06
1824,7.927041224320419e-06
1825,8.77399907039944e-06
1826,8.833422725729179e-06
1827,8.48335912451148e-06
1828,1.1255347999394871e-05
1829,9.66519110079389e-06
1830,1.2394126315484755e-05
1831,1.0039194421551656e-05
1832,4.866170638706535e-05
1833,1.2184495062683709e-05
1834,1.5131610780372284e-05
1835,1.0673399629013147e-05
1836,1.595847243152093e-05
1837,1.5505343981203623e-05
1838,1.3168320947443135e-05
1839,1.1983442163909785e-05
1840,1.2406811038090382e-05
1841,1.6301424693665467e-05
1842,1.2691496522165835e-05
1843,1.2010609680146445e-05
1844,1.1668556908261962e-05
1845,1.1844050277431961e-05
1846,1.2965986570634414e-05
1847,1.3112813576299231e-05
1848,1.2337995940470137e-05
1849,1.3389963896770496e-05
1850,1.2513331967056729e-05
1851,1.292379147344036e-05
1852,1.3502111869456712e-05
1853,1.3349393157113809e-05
1854,1.3466056770994328e-05
1855,1.4174228454066906e-05
1856,1.2837997928727418e-05
1857,1.4109411495155655e-05
1858,1.4650140656158328e-05
1859,1.9360169972060248e-05
1860,1.5023125342850108e-05
1861,1.446487567591248e-05
1862,1.292952129006153e-05
1863,1.3935758033767343e-05
1864,1.5558069208054803e-05
1865,1.4775037016079295e-05
1866,1.694785532890819e-05
1867,1.4873863619868644e-05
1868,1.661113856243901e-05
1869,1.5138886737986468e-05
1870,1.6629535821266472e-05
1871,1.5708874343545176e-05
1872,1.8899410861195065e-05
1873,1.7154212400782853e-05
1874,1.7436466805520467e-05
1875,1.7258196749025956e-05
1876,1.605436409590766e-05
1877,1.7867821952677332e-05
1878,1.853988396760542e-05
1879,2.123112790286541e-05
1880,2.092934118991252e-05
1881,2.1705358449253254e-05
1882,1.979222179215867e-05
1883,2.0747385860886425e-05
1884,2.070917616947554e-05
1885,1.9835213606711477e-05
1886,2.2804913896834478e-05
1887,2.2399246518034488e-05
1888,2.30626519623911e-05
1889,2.238013439637143e-05
1890,2.2069316401029937e-05
1891,2.2938698748475872e-05
1892,2.2302496290649287e-05
1893,2.1951524104224518e-05
1894,2.390963891230058e-05
1895,2.4515215045539662e-05
1896,2.435891656205058e-05
1897,2.5311250283266418e-05
1898,2.4588642190792598e-05
1899,2.2942373107071035e-05
1900,2.4013465008465573e-05
1901,2.6138821340282448e-05
1902,2.4185990696423687e-05
1903,2.548858719819691e-05
1904,2.594281977508217e-05
1905,2.8896474759676494e-05
1906,3.0104007237241603e-05
1907,3.05008034047205e-05
1908,3.12700321956072e-05
1909,3.416634353925474e-05
1910,3.344954166095704e-05
1911,3.581456621759571e-05
1912,3.902266325894743e-05
1913,4.371354589238763e-05
1914,4.421463017934002e-05
1915,5.0534938054624945e-05
1916,5.3642790589947253e-05
1917,5.881653487449512e-05
1918,5.894711648579687e-05
1919,7.142675895011052e-05
1920,7.905051461420953e-05
1921,9.548796515446156e-05
1922,8.899621752789244e-05
1923,7.824600470485166e-05
1924,7.482154614990577e-05
1925,8.116711978800595e-05
1926,8.049260213738307e-05
1927,8.694245480000973e-05
1928,9.214830788550898e-05
1929,8.9749060862232e-05
1930,9.811012569116428e-05
1931,9.827243775362149e-05
1932,0.00010597307846182957
1933,0.0001157114893430844
1934,0.00010637361992849037
1935,9.936866263160482e-05
1936,0.00010200386168435216
1937,9.853664232650772e-05
1938,0.00010228995233774185
1939,0.00010736240074038506
1940,0.00011172921222168952
1941,0.00011650705710053444
1942,0.00010916125029325485
1943,0.00010022271453635767
1944,0.00011003753024851903
1945,0.00012331438483670354
1946,0.00011266450019320473
1947,0.00010892460704781115
1948,0.00010681296407710761
1949,0.00011196917330380529
1950,0.00010139930964214727
1951,0.00011080413241870701
1952,0.00011491519398987293
1953,0.00011559585254872218
1954,0.00011845086555695161
1955,0.00011983672447968274
1956,0.0001246933825314045
1957,0.00012690680159721524
1958,0.00011980967246927321
1959,0.00011705265933414921
1960,0.00011378422641428187
1961,0.00012144994252594188
1962,0.00010895509331021458
1963,0.00010729461791925132
1964,0.0001064056996256113
1965,9.778606909094378e-05
1966,0.00010223887511529028
1967,9.856004908215255e-05
1968,9.392087667947635e-05
1969,8.858873479766771e-05
1970,9.298119402956218e-05
1971,8.66265909280628e-05
1972,8.777082985034212e-05
1973,9.21013270271942e-05
1974,8.974964293884113e-05
1975,9.944784687831998e-05
1976,9.431207581656054e-05
1977,9.818233957048506e-05
1978,9.602536010788754e-05
1979,9.76964583969675e-05
1980,9.971562394639477e-05
1981,9.98003306449391e-05
1982,0.00010320526052964851
1983,9.761011460795999e-05
1984,0.0001066817858372815
1985,9.926730126608163e-05
1986,0.00010083138477057219
1987,9.802633576327935e-05
1988,0.0001003977085929364
1989,9.77993113338016e-05
1990,9.015697287395597e-05
1991,8.928994793677703e-05
1992,9.04113840078935e-05
1993,9.129849058808759e-05
1994,9.45782958297059e-05
1995,8.980809798231348e-05
1996,8.496249211020768e-05
1997,8.604232425568625e-05
1998,8.389342838199809e-05
1999,8.491971675539389e-05
2000,7.798712613293901e-05
2001,7.988074503373355e-05
2002,7.344318873947486e-05
2003,7.172416371759027e-05
2004,6.801469862693921e-05
2005,6.951860268600285e-05
2006,6.64031904307194e-05
2007,6.782366835977882e-05
2008,6.422576552722603e-05
2009,5.62764034839347e-05
2010,5.533538933377713e-05
2011,5.0748341891448945e-05
2012,4.62649404653348e-05
2013,4.383811756270006e-05
2014,4.0817190892994404e-05
2015,4.318811261327937e-05
2016,4.4345568312564865e-05
2017,3.3671105484245345e-05
2018,2.9036615160293877e-05
2019,3.30814000335522e-05
