,in
1800,0.015801478177309036
1801,0.015997091308236122
1802,0.01592879183590412
1803,0.016066230833530426
1804,0.0157485231757164
1805,0.01606198027729988
1806,0.015810921788215637
1807,0.0160584207624197
1808,0.015690715983510017
1809,0.016321493312716484
1810,0.016157176345586777
1811,0.015923481434583664
1812,0.01632402092218399
1813,0.016441412270069122
1814,0.016333824023604393
1815,0.01639247126877308
1816,0.01613450236618519
1817,0.0163775272667408
1818,0.016192695125937462
1819,0.016624100506305695
1820,0.015803754329681396
1821,0.016116315498948097
1822,0.016120651736855507
1823,0.01620381325483322
1824,0.016390766948461533
1825,0.01589532382786274
1826,0.01619880460202694
1827,0.016136758029460907
1828,0.01620151847600937
1829,0.016463229432702065
1830,0.016356827691197395
1831,0.016474105417728424
1832,0.01662164367735386
1833,0.016420327126979828
1834,0.01622668281197548
1835,0.01636931672692299
1836,0.01647755317389965
1837,0.016231905668973923
1838,0.01649792119860649
1839,0.016455963253974915
1840,0.016291998326778412
1841,0.016353324055671692
1842,0.016527289524674416
1843,0.016426507383584976
1844,0.016368167474865913
1845,0.016408130526542664
1846,0.016421763226389885
1847,0.0165446437895298
1848,0.01651006005704403
1849,0.016513235867023468
1850,0.016319889575242996
1851,0.016375526785850525
1852,0.016248388215899467
1853,0.01625346951186657
1854,0.016262799501419067
1855,0.01633906178176403
1856,0.016278879716992378
1857,0.01628255844116211
1858,0.016268881037831306
1859,0.016323167830705643
1860,0.016160249710083008
1861,0.016228370368480682
1862,0.016164666041731834
1863,0.016409773379564285
1864,0.016150347888469696
1865,0.016078634187579155
1866,0.01609044522047043
1867,0.01618124358355999
1868,0.01618477702140808
1869,0.016103480011224747
1870,0.01620340533554554
1871,0.016142820939421654
1872,0.016177242621779442
1873,0.016293175518512726
1874,0.016235098242759705
1875,0.0162372887134552
1876,0.01632271520793438
1877,0.016289491206407547
1878,0.0163614209741354
1879,0.01633192040026188
1880,0.016268644481897354
1881,0.01637767069041729
1882,0.016302185133099556
1883,0.016286510974168777
1884,0.016361001878976822
1885,0.016331737861037254
1886,0.016458358615636826
1887,0.016353707760572433
1888,0.016491658985614777
1889,0.01635761745274067
1890,0.016541847959160805
1891,0.016436105594038963
1892,0.016353504732251167
1893,0.016336431726813316
1894,0.016505710780620575
1895,0.016408655792474747
1896,0.016348447650671005
1897,0.016290511935949326
1898,0.016403762623667717
1899,0.01606900617480278
1900,0.01628977060317993
1901,0.016332454979419708
1902,0.016418691724538803
1903,0.016342295333743095
1904,0.01642455719411373
1905,0.016480552032589912
1906,0.016434352844953537
1907,0.016440844163298607
1908,0.016502492129802704
1909,0.016506977379322052
1910,0.016609998419880867
1911,0.016753332689404488
1912,0.016635149717330933
1913,0.016523364931344986
1914,0.016513826325535774
1915,0.016545210033655167
1916,0.016517965123057365
1917,0.016483843326568604
1918,0.016630373895168304
1919,0.0165792778134346
1920,0.016690343618392944
1921,0.016692880541086197
1922,0.01685979776084423
1923,0.016606949269771576
1924,0.016705546528100967
1925,0.016719890758395195
1926,0.016980769112706184
1927,0.01676231622695923
1928,0.016869019716978073
1929,0.016887875273823738
1930,0.016954904422163963
1931,0.016719363629817963
1932,0.016930216923356056
1933,0.016925036907196045
1934,0.01691412180662155
1935,0.01681552082300186
1936,0.01680726930499077
1937,0.016905443742871284
1938,0.01695268042385578
1939,0.0168090108782053
1940,0.01683206483721733
1941,0.016566194593906403
1942,0.016724534332752228
1943,0.016723550856113434
1944,0.016794010996818542
1945,0.016744961962103844
1946,0.01667863130569458
1947,0.016739582642912865
1948,0.016715452075004578
1949,0.016706235706806183
1950,0.016876788809895515
1951,0.016645828261971474
1952,0.016642430797219276
1953,0.016660459339618683
1954,0.016762947663664818
1955,0.016751540824770927
1956,0.01677197776734829
1957,0.01666959375143051
1958,0.016870727762579918
1959,0.0168283823877573
1960,0.016834625974297523
1961,0.016867129132151604
1962,0.016825959086418152
1963,0.016782164573669434
1964,0.016819067299365997
1965,0.016659732908010483
1966,0.01674194447696209
1967,0.016684893518686295
1968,0.016694484278559685
1969,0.016591986641287804
1970,0.016484513878822327
1971,0.016486307606101036
1972,0.01645750179886818
1973,0.01618797518312931
1974,0.0162578746676445
1975,0.016216030344367027
1976,0.016115162521600723
1977,0.01594923622906208
1978,0.01586088538169861
1979,0.015816237777471542
1980,0.015917640179395676
1981,0.015750084072351456
1982,0.015770170837640762
1983,0.01572538912296295
1984,0.015527711249887943
1985,0.015411186031997204
1986,0.015484065748751163
1987,0.015420032665133476
1988,0.015437078662216663
1989,0.015172570012509823
1990,0.015306892804801464
1991,0.015174979344010353
1992,0.015199251472949982
1993,0.015071222558617592
1994,0.01499437540769577
1995,0.014918952248990536
1996,0.015086435712873936
1997,0.015043780207633972
1998,0.015134437009692192
1999,0.015038687735795975
2000,0.015006422065198421
2001,0.014967595227062702
2002,0.014993017539381981
2003,0.014947572723031044
2004,0.015066135674715042
2005,0.015071793459355831
2006,0.015073375776410103
2007,0.015012409538030624
2008,0.01488277968019247
2009,0.01467598881572485
2010,0.014511875808238983
2011,0.01418450940400362
2012,0.014587409794330597
2013,0.014667616225779057
2014,0.014062129892408848
2015,0.014227436855435371
2016,0.014501119963824749
2017,0.013932661153376102
2018,0.01368333213031292
2019,0.013942139223217964
