,movie
1800,2.3810793337020186e-08
1801,1.2151790684811203e-08
1802,8.410774299250079e-09
1803,8.644942539604017e-09
1804,6.500766591699403e-09
1805,9.11666298009095e-09
1806,1.4741997844680554e-08
1807,1.2813257121990773e-08
1808,1.8177425786802814e-08
1809,1.0859103838356532e-08
1810,4.393645625100362e-08
1811,1.3180338598317576e-08
1812,1.519768488833506e-08
1813,9.153381164139773e-09
1814,1.9688251029492676e-08
1815,5.012873671716989e-09
1816,1.3578558721860645e-08
1817,1.4627069333528198e-08
1818,6.7599250641592334e-09
1819,1.7305717747717608e-08
1820,2.3988659947349333e-09
1821,1.1279196243663137e-08
1822,1.0520820659110086e-08
1823,1.3413121280336782e-08
1824,3.599519127206463e-09
1825,9.607205697648169e-09
1826,1.9664787132001038e-08
1827,5.633040700558922e-09
1828,8.863175970930115e-09
1829,8.29487678544183e-09
1830,5.123959923025723e-09
1831,3.0892206570598546e-09
1832,6.842606694590359e-07
1833,4.002790987556182e-09
1834,1.1704726965433565e-08
1835,2.622603290092229e-08
1836,6.350826087242467e-09
1837,1.1628427110110806e-08
1838,1.2316159647696168e-08
1839,7.881423513822483e-09
1840,3.794629055420273e-09
1841,6.94564317171853e-09
1842,4.2437604541589735e-09
1843,3.1746105744190345e-09
1844,6.857805878723866e-09
1845,1.0216993473477487e-08
1846,7.3443473525003355e-09
1847,4.207319825866307e-09
1848,5.606056063811593e-09
1849,9.130870282092474e-09
1850,1.7393768203533e-08
1851,9.187528959841984e-09
1852,4.13794420950353e-09
1853,8.307234011795117e-09
1854,8.450004251869814e-09
1855,1.203365407320689e-08
1856,6.418492404236531e-09
1857,6.363234383854888e-09
1858,5.8801958857657155e-09
1859,1.843825714331615e-08
1860,9.434308445577244e-09
1861,4.435470657426777e-09
1862,8.530114392613086e-09
1863,6.83146339497398e-09
1864,6.3265082062002875e-09
1865,5.850418371977639e-09
1866,1.2698276208311654e-08
1867,6.92298307569672e-09
1868,9.287576041572265e-09
1869,1.3935480325244498e-08
1870,1.0587052123867124e-08
1871,6.901001547987562e-09
1872,6.650428652221763e-09
1873,1.0643588232994716e-08
1874,1.3633556505965316e-08
1875,1.490642276280596e-08
1876,9.011022150673398e-09
1877,1.4465619813108788e-08
1878,6.1777147841723945e-09
1879,1.6904404986917143e-08
1880,8.073836710309479e-09
1881,7.873922847068116e-09
1882,6.598710911021044e-09
1883,2.7394607471364907e-08
1884,7.95453036772642e-09
1885,1.1116485509887752e-08
1886,2.068697213530868e-08
1887,6.193713986135663e-09
1888,7.517028777215273e-09
1889,8.111053162451753e-09
1890,2.3792846803871726e-08
1891,1.8334930018681916e-08
1892,2.0334784522901828e-08
1893,1.2040748842423454e-08
1894,1.4518064084256821e-08
1895,1.3370591744887861e-08
1896,8.39444957989599e-09
1897,6.0310538785302015e-09
1898,6.81712908345844e-09
1899,1.2752320088793567e-08
1900,2.918036727805884e-07
1901,9.343771090186692e-09
1902,6.6298619927351865e-09
1903,6.7041940887691e-09
1904,1.211563738223731e-08
1905,1.4222307775924037e-08
1906,1.5174066447798396e-08
1907,8.21223711255925e-09
1908,1.0886259893538863e-08
1909,1.9657488081747942e-08
1910,1.6203092201294567e-08
1911,1.844566632769329e-08
1912,4.939113651403204e-08
1913,1.2100362312139623e-07
1914,3.151604346385284e-07
1915,7.244530593197851e-07
1916,1.074717374649481e-06
1917,1.1122709793198737e-06
1918,1.2826209285776713e-06
1919,1.5153311778703937e-06
1920,1.897426614050346e-06
1921,2.1407718122645747e-06
1922,1.9133294699713588e-06
1923,2.0384277377161197e-06
1924,1.801138864720997e-06
1925,2.453385150147369e-06
1926,2.288675659656292e-06
1927,2.6685406737669837e-06
1928,2.8501801807578886e-06
1929,3.20809158438351e-06
1930,3.023408453373122e-06
1931,2.741472144407453e-06
1932,2.737313934630947e-06
1933,3.665270014607813e-06
