,reserved
1800,2.2592474124394357e-05
1801,2.1136012946953997e-05
1802,2.428190600767266e-05
1803,2.273043355671689e-05
1804,2.3061469619278796e-05
1805,2.1849602489965037e-05
1806,2.2294814698398113e-05
1807,2.2380489099305123e-05
1808,2.2752683435101062e-05
1809,2.1269364879117347e-05
1810,2.147467603208497e-05
1811,2.4719725843169726e-05
1812,2.2403919501812197e-05
1813,2.2160336811793968e-05
1814,2.1645591914420947e-05
1815,2.3119371689972468e-05
1816,2.3194892492028885e-05
1817,2.4605657017673366e-05
1818,2.3250086087500677e-05
1819,2.2910107873030938e-05
1820,2.368760215176735e-05
1821,2.3300313841900788e-05
1822,2.3967482775333337e-05
1823,2.434171983622946e-05
1824,2.193906948377844e-05
1825,2.395687624812126e-05
1826,2.6261341190547682e-05
1827,2.5400318918400444e-05
1828,2.5194465706590563e-05
1829,2.418039548501838e-05
1830,2.5174014808726497e-05
1831,2.368582681810949e-05
1832,2.9853637897758745e-05
1833,2.7108901122119278e-05
1834,2.6507304937695153e-05
1835,2.4081458832370117e-05
1836,2.4408534955000505e-05
1837,2.456098263792228e-05
1838,2.3995398805709556e-05
1839,2.404464794381056e-05
1840,2.469653009029571e-05
1841,2.4052227672655135e-05
1842,2.2908880055183545e-05
1843,2.3405345928040333e-05
1844,2.3161748686106876e-05
1845,2.4420744011877105e-05
1846,2.7273692467133515e-05
1847,2.4256134565803222e-05
1848,2.326419962628279e-05
1849,2.4797616788418964e-05
1850,2.4416609448962845e-05
1851,2.4442273570457473e-05
1852,2.5389674192410894e-05
1853,2.5483603167231195e-05
1854,2.537016371206846e-05
1855,2.5380744773428887e-05
1856,2.641885293996893e-05
1857,2.3321961634792387e-05
1858,2.4785393179627135e-05
1859,2.4620290787424892e-05
1860,2.4126558855641633e-05
1861,2.466524892952293e-05
1862,2.3723954654997215e-05
1863,2.4366121579078026e-05
1864,2.397390744590666e-05
1865,2.395122282905504e-05
1866,2.4467908588121645e-05
1867,2.340693390578963e-05
1868,2.3151140339905396e-05
1869,2.2542652004631236e-05
1870,2.291703458467964e-05
1871,2.2681395421386696e-05
1872,2.201402821810916e-05
1873,2.3201542717288248e-05
1874,2.2199690647539683e-05
1875,2.302211032656487e-05
1876,2.220889291493222e-05
1877,2.3807628167560324e-05
1878,2.328689515707083e-05
1879,2.233823215647135e-05
1880,2.292724821018055e-05
1881,2.3105392756406218e-05
1882,2.2838627046439797e-05
1883,2.3243288524099626e-05
1884,2.3431615773006342e-05
1885,2.2364327378454618e-05
1886,2.3847132979426533e-05
1887,2.2791158698964864e-05
1888,2.285400296386797e-05
1889,2.188748294429388e-05
1890,2.2220390746952035e-05
1891,2.1212757928879e-05
1892,2.1454297893797047e-05
1893,2.1538951841648668e-05
1894,2.131251858372707e-05
1895,2.1699368517147377e-05
1896,2.2695845473208465e-05
1897,2.233654959127307e-05
1898,2.1885651221964508e-05
1899,2.1425390514195897e-05
1900,2.0969942852389067e-05
1901,2.2245498257689178e-05
1902,2.0659797883126885e-05
1903,2.1769277736893855e-05
1904,2.2562076992471702e-05
1905,2.1164842110010795e-05
1906,2.1825773728778586e-05
1907,2.19635185203515e-05
1908,2.1362789993872866e-05
1909,2.044487337116152e-05
1910,2.138705713150557e-05
1911,2.0410801880643703e-05
1912,2.172573294956237e-05
1913,2.083364233840257e-05
1914,2.0389148630783893e-05
1915,1.980491288122721e-05
1916,1.938224522746168e-05
1917,1.9560766304493882e-05
1918,1.9323326341691427e-05
1919,1.9837330910377204e-05
1920,1.9561413864721544e-05
1921,1.933207386173308e-05
1922,1.9890929252142087e-05
1923,1.8927608834928833e-05
1924,1.8639513655216433e-05
1925,1.9944067389587872e-05
1926,1.931177575897891e-05
1927,1.729132236505393e-05
1928,1.7926069631357677e-05
1929,1.8310174709768035e-05
1930,1.8424407244310714e-05
1931,1.8556429495220073e-05
1932,1.77928068296751e-05
1933,1.7620397557038814e-05
1934,1.876103488029912e-05
1935,1.794628769857809e-05
1936,1.903698648675345e-05
1937,1.8036782421404496e-05
1938,1.8441203792463057e-05
1939,1.8024491510004736e-05
1940,1.8176428056904115e-05
1941,1.7672267858870327e-05
1942,1.739201252348721e-05
1943,1.7880869563668966e-05
1944,1.904399505292531e-05
1945,1.728777715470642e-05
1946,1.7305668734479696e-05
1947,1.6852092812769115e-05
1948,1.7416652553947642e-05
1949,1.6688249161234125e-05
1950,1.7462129108025692e-05
1951,1.6612204490229487e-05
1952,1.7520411347504705e-05
1953,1.7681762983556837e-05
1954,1.7101425328291953e-05
1955,1.67159378179349e-05
1956,1.6809102817205712e-05
1957,1.6942631191341206e-05
1958,1.6369011063943617e-05
1959,1.6989861251204275e-05
1960,1.726378468447365e-05
1961,1.6947544281720184e-05
1962,1.7143476725323126e-05
1963,1.715095822873991e-05
1964,1.7259908418054692e-05
1965,1.5959505617502145e-05
1966,1.56625628733309e-05
1967,1.6146417692652903e-05
1968,1.651197817409411e-05
1969,1.661022542975843e-05
1970,1.764816806826275e-05
1971,1.742875247146003e-05
1972,1.7532989659230225e-05
1973,1.6829126252559945e-05
1974,1.614001303096302e-05
1975,1.6408705050707795e-05
1976,1.606397381692659e-05
1977,1.658699693507515e-05
1978,1.811839138099458e-05
1979,1.7118794858106412e-05
1980,1.6773601601016708e-05
1981,1.690417411737144e-05
1982,1.7005815607262775e-05
1983,1.7416581613360904e-05
1984,1.684202470642049e-05
1985,1.8268823623657227e-05
1986,1.8244230886921287e-05
1987,1.8373815692029893e-05
1988,1.9246284864493646e-05
1989,2.118240445270203e-05
1990,2.0200292055960745e-05
1991,2.0841031073359773e-05
1992,2.159530413337052e-05
1993,2.1988333173794672e-05
1994,2.2124888346297666e-05
1995,2.3083182895788923e-05
1996,2.305147427250631e-05
1997,2.425848833809141e-05
1998,2.2813057512394153e-05
1999,2.3209226128528826e-05
2000,2.342398693144787e-05
2001,2.3779917682986706e-05
2002,2.3402757506119087e-05
2003,2.359803875151556e-05
2004,2.38089487538673e-05
2005,2.4511511583114043e-05
2006,2.397072603343986e-05
2007,2.27354157686932e-05
2008,2.208237310696859e-05
2009,2.194401531596668e-05
2010,2.1921907318755984e-05
2011,2.2305461243377067e-05
2012,2.155486072297208e-05
2013,2.1883439330849797e-05
2014,2.3055847123032436e-05
2015,2.2675223590340465e-05
2016,2.303967448824551e-05
2017,2.321924148418475e-05
2018,2.1867119357921183e-05
2019,2.2363559764926322e-05
