,our
1883,0.00101192865986377
1884,0.0010394454002380371
1885,0.0010078700724989176
1886,0.0009918409632518888
1887,0.0009940100135281682
1888,0.0010129543952643871
1889,0.0010271570645272732
1890,0.0010056841420009732
1891,0.000982792116701603
1892,0.001001368393190205
1893,0.0009746353607624769
1894,0.0009856239194050431
1895,0.0009280077647417784
1896,0.0009630012209527194
1897,0.0009618279873393476
1898,0.0009568897075951099
1899,0.0009846084285527468
1900,0.0009553732816129923
1901,0.0009057874558493495
1902,0.0009168139076791704
1903,0.0009176282328553498
1904,0.0009144361247308552
1905,0.0008767314138822258
1906,0.0008605920011177659
1907,0.00084964360576123
1908,0.0008545755408704281
1909,0.0008863914990797639
1910,0.0008413344039581716
1911,0.0008109085028991103
1912,0.0008340341737493873
1913,0.0008306129020638764
1914,0.0008646735223010182
1915,0.000870457966811955
1916,0.0009211181895807385
1917,0.0009417809778824449
1918,0.0010093735763803124
1919,0.0009759493987075984
1920,0.0009210420539602637
1921,0.0008813522290438414
1922,0.0008540126727893949
1923,0.0008347895345650613
1924,0.0008694478892721236
1925,0.0008026045397855341
1926,0.0008152484078891575
1927,0.0008172047673724592
1928,0.0008161870064213872
1929,0.000815983337815851
1930,0.0008095925441011786
1931,0.0007785353227518499
1932,0.0008146571926772594
1933,0.000743926502764225
1934,0.0008151919464580715
1935,0.0007776663405820727
1936,0.0007829833775758743
1937,0.0007541301310993731
1938,0.0007972627645358443
1939,0.0007961129304021597
1940,0.0008268365636467934
1941,0.0008279791800305247
1942,0.0009199017658829689
1943,0.0009434120147489011
1944,0.0009535289136692882
1945,0.0009160286863334477
1946,0.0008788774139247835
1947,0.0008633324760012329
1948,0.0008560950518585742
1949,0.0007917799521237612
1950,0.0008194578113034368
1951,0.0008422977989539504
1952,0.0008452094625681639
1953,0.0008225811761803925
1954,0.0007875121082179248
1955,0.0008493405766785145
1956,0.0008582207374274731
1957,0.0008126424509100616
1958,0.000840965483803302
1959,0.0008214986883103848
1960,0.0007927123224362731
1961,0.000800339796114713
1962,0.0007927450933493674
1963,0.0007768521900288761
1964,0.0007808788795955479
1965,0.0008177230483852327
1966,0.0008228201186284423
1967,0.0008376003825105727
1968,0.0008298211032524705
1969,0.0008567916229367256
1970,0.000806292227935046
1971,0.0007810572278685868
1972,0.0007404772331938148
1973,0.0007292749942280352
1974,0.0007381183095276356
1975,0.0007155907223932445
1976,0.0007071611471474171
1977,0.0006912321550771594
1978,0.0006770428153686225
1979,0.000676462659612298
1980,0.0006761523545719683
1981,0.00064321409445256
1982,0.0006429576897062361
1983,0.0006446077604778111
1984,0.0006571872509084642
1985,0.0006358185783028603
1986,0.0006481556338258088
1987,0.0006254863110370934
1988,0.0006515870918519795
1989,0.0006265995907597244
1990,0.0006468879873864353
1991,0.0006370560149662197
1992,0.0006293279002420604
1993,0.0006093918345868587
1994,0.0006259683868847787
1995,0.0006154550355859101
1996,0.0006345311412587762
1997,0.000644559389911592
1998,0.0006441851728595793
1999,0.0006587862153537571
2000,0.0006801236304454505
2001,0.0006793809588998556
2002,0.0006897681741975248
2003,0.0007189847528934479
2004,0.0007351438980549574
2005,0.0007316482369787991
2006,0.0007468044641427696
2007,0.0007424406358040869
2008,0.0007761179003864527
2009,0.0008233030093833804
2010,0.0008276732405647635
2011,0.0008202273747883737
2012,0.0007651324267499149
2013,0.0007608139421790838
2014,0.000802829978056252
2015,0.0008118221303448081
2016,0.0007768920622766018
2017,0.0008116476237773895
2018,0.0008175118709914386
2019,0.0008449137094430625
