,print
1800,1.361580507364124e-05
1801,2.0933484847773798e-05
1802,1.5930007066344842e-05
1803,1.5621410057065077e-05
1804,1.9027744201594032e-05
1805,1.677466025284957e-05
1806,2.012037111853715e-05
1807,1.698183586995583e-05
1808,1.7821146684582345e-05
1809,1.684970993665047e-05
1810,1.9282246285001747e-05
1811,1.4254535926738754e-05
1812,2.0908213627990335e-05
1813,1.969044933503028e-05
1814,1.933878411364276e-05
1815,1.6525773389730603e-05
1816,2.3858885469962843e-05
1817,1.768997753970325e-05
1818,1.5922327293083072e-05
1819,1.601178155397065e-05
1820,1.4442372958001215e-05
1821,1.782739673217293e-05
1822,1.4876441127853468e-05
1823,1.4495456525764894e-05
1824,2.4263457817141898e-05
1825,1.5648391126887873e-05
1826,1.3936434697825462e-05
1827,1.6954512830125168e-05
1828,1.6107051123981364e-05
1829,1.4120369087322615e-05
1830,1.55717134475708e-05
1831,1.586855432833545e-05
1832,1.299849282077048e-05
1833,1.527865242678672e-05
1834,1.425505706720287e-05
1835,1.4423126231122296e-05
1836,1.519983652542578e-05
1837,1.4885549717291724e-05
1838,1.374952626065351e-05
1839,1.4363106856762897e-05
1840,1.4712319170939736e-05
1841,1.5921550584607758e-05
1842,1.4781548088649288e-05
1843,1.5474110114155337e-05
1844,1.4776612260902766e-05
1845,1.3901923011871986e-05
1846,1.2995363249501679e-05
1847,1.275846443604678e-05
1848,1.3518537343770731e-05
1849,1.453314871469047e-05
1850,1.4636643754784018e-05
1851,1.4226506209524814e-05
1852,1.4217600437405054e-05
1853,1.3702948308491614e-05
1854,1.2798831448890269e-05
1855,1.2998115380469244e-05
1856,1.4413906683330424e-05
1857,1.4408837159862742e-05
1858,1.3536945516534615e-05
1859,1.5506921045016497e-05
1860,1.5382976926048286e-05
1861,1.503342264186358e-05
1862,1.4186859516485129e-05
1863,1.5115893802430946e-05
1864,1.5414536392199807e-05
1865,1.4494607057713438e-05
1866,1.4368433767231181e-05
1867,1.4746612578164786e-05
1868,1.5127293409022968e-05
1869,1.5718911527073942e-05
1870,1.5374516806332394e-05
1871,1.5373549103969708e-05
1872,1.4037393157195766e-05
1873,1.622348827368114e-05
1874,1.680818786553573e-05
1875,1.6019530448829755e-05
1876,1.5982275726855733e-05
1877,1.6440177205367945e-05
1878,1.668656841502525e-05
1879,1.7274154743063264e-05
1880,1.5923807950457558e-05
1881,1.5977968359948136e-05
1882,1.6845286154421046e-05
1883,1.7171583749586716e-05
1884,1.6922378563322127e-05
1885,1.593083106854465e-05
1886,1.7587073671165854e-05
1887,1.6721533029340208e-05
1888,1.7783868315746076e-05
1889,1.800422069209162e-05
1890,1.6756353943492286e-05
1891,1.8422257198835723e-05
1892,1.8060220099869184e-05
1893,1.7569576812093146e-05
1894,1.760127088346053e-05
1895,1.7502576156402938e-05
1896,2.1607151211355813e-05
