,yahoo
1883,5.0645492244427714e-09
1884,1.1268917354811947e-08
1885,5.444809048071875e-09
1886,5.621459742144452e-09
1887,4.485103399787249e-09
1888,2.031629531273893e-09
1889,5.214248588458759e-09
1890,4.642506823415715e-09
1891,3.4023581729769603e-09
1892,5.495887744899619e-09
1893,8.853491273441705e-09
1894,1.0216415269326262e-08
1895,5.033634398188269e-09
1896,5.004383130113865e-09
1897,6.6496235184843044e-09
1898,5.335144326323871e-09
1899,3.5272376130990324e-09
1900,5.851677808976774e-09
1901,2.9041451465872115e-09
1902,1.0199787681131056e-09
1903,5.439252159789021e-09
1904,7.197408447012776e-09
1905,3.013200799983906e-09
1906,6.471292834930864e-09
1907,3.6622138654962555e-09
1908,3.2018410145440157e-09
1909,7.167923588013991e-09
1910,5.127561042428397e-09
1911,6.917124650840378e-09
1912,7.813832247904884e-09
1913,7.42412664678227e-09
1914,3.913820822987191e-09
1915,3.3296589929676657e-09
1916,1.6013669279502096e-09
1917,2.2509394348446676e-09
1918,2.0082790985753718e-09
1919,5.268151692661149e-09
1920,5.572327932412691e-09
1921,5.5363922335516236e-09
1922,4.6736907677313866e-09
1923,4.385112717386619e-09
1924,8.46159409206848e-09
1925,2.704945156750682e-09
1926,2.0281145651779298e-08
1927,1.316320474842314e-08
1928,4.347977977658957e-09
1929,8.02303734559473e-09
1930,6.366746241326382e-09
1931,6.705989097355314e-09
1932,4.071013304240978e-09
1933,4.383610363589696e-09
1934,6.243456418530968e-09
1935,3.6410598980296527e-09
1936,5.6759539290851535e-09
1937,3.3027776069616266e-09
1938,4.760023841754446e-08
1939,2.1984303266719962e-09
1940,6.59807053438044e-09
1941,5.177035689030163e-09
1942,8.190133904406594e-09
1943,1.6249754875019562e-09
1944,5.21234966299744e-09
1945,4.184551816166504e-09
1946,5.5564113310424545e-09
1947,6.37436414763215e-09
1948,4.729893809951591e-09
1949,5.212652975927767e-09
1950,6.490334492070815e-09
1951,8.01990029941635e-09
1952,2.226106587954746e-08
1953,5.329792163166758e-09
1954,6.4872467397947275e-09
1955,4.39150582565162e-09
1956,7.687726011340601e-09
1957,8.332158962787162e-09
1958,5.377367440217995e-09
1959,4.8080779357917436e-09
1960,1.7038361832533155e-08
1961,1.1247208497877637e-08
1962,8.93350549091565e-09
1963,8.523228345325151e-09
1964,7.484953101766223e-09
1965,1.2354326450747521e-08
1966,8.527220707321703e-09
1967,1.1520429943345789e-08
1968,9.934597144933832e-09
1969,9.171173154243206e-09
1970,9.596476502338191e-09
1971,1.4197036435348309e-08
1972,9.73992086983344e-09
1973,8.471345402938368e-09
1974,1.215532297038635e-08
1975,1.2234491642004741e-08
1976,8.262350803533991e-09
1977,9.638496223374204e-09
1978,1.5156656374415434e-08
1979,1.1082238238202535e-08
1980,1.1124605237000651e-08
1981,1.3023245593046795e-08
1982,1.2175296326688567e-08
1983,1.283672368401767e-08
1984,1.912027514094916e-08
1985,1.2088148260147591e-08
1986,1.523435599892764e-08
1987,1.2503359236859524e-08
1988,2.2230311813586923e-08
1989,1.9295594455570608e-08
1990,1.5869360936449084e-08
1991,2.294989798201641e-08
1992,1.8579068949975408e-08
1993,2.2042858205395532e-08
1994,2.0647210163815544e-08
1995,4.088443716909751e-08
1996,5.0319897582085105e-08
1997,5.72210403504414e-08
1998,6.062665391937117e-08
1999,7.768523602180721e-08
2000,9.346126716991421e-08
2001,9.253704291722897e-08
2002,1.0246134962699216e-07
2003,1.280505017575706e-07
2004,1.354138419173978e-07
2005,1.5824886645532388e-07
2006,1.6468385410917108e-07
2007,1.7599325019546086e-07
2008,1.3588606861958397e-07
2009,1.1632796770300047e-07
2010,1.1725636994697197e-07
2011,9.026052794069983e-08
2012,8.055905453829837e-08
2013,7.086943298872939e-08
2014,8.673390539115644e-08
2015,8.070126966686075e-08
2016,7.188028661175849e-08
2017,6.288416187771873e-08
2018,5.322057816670167e-08
2019,5.467413188853243e-08
