,yahoo
1800,7.936931112340062e-09
1801,2.3047896320349537e-06
1802,0.0
1803,3.457977015841607e-08
1804,0.0
1805,1.82333259601819e-08
1806,0.0
1807,2.135542853665129e-09
1808,3.0901624370471836e-08
1809,9.04925379074939e-09
1810,4.393645891553888e-09
1811,6.590169299158788e-09
1812,5.065894814748617e-09
1813,2.1357889679052278e-08
1814,7.711231830853649e-08
1815,5.012873671716989e-09
1816,0.0
1817,2.9254139111145605e-09
1818,1.4871834430607578e-08
1819,4.126748009980474e-08
1820,0.0
1821,1.253244064081116e-09
1822,1.0520820881154691e-09
1823,4.127114205942917e-09
1824,6.659110596274331e-08
1825,5.240293976527255e-09
1826,5.899436494871679e-09
1827,5.633040700558922e-09
1828,7.976858285019262e-09
1829,0.0
1830,0.0
1831,3.0892206570598546e-09
1832,5.903039390631193e-09
1833,4.669922670785809e-09
1834,5.20210097221252e-09
1835,4.768369699093e-09
1836,5.773478362058881e-10
1837,1.2209848243571741e-08
1838,1.055670839633649e-08
1839,5.254282342548322e-09
1840,8.131348039341901e-09
1841,1.1754164752630913e-08
1842,1.7505511706872312e-08
1843,2.3809580085298876e-08
1844,7.837492432827275e-09
1845,8.939869289292801e-09
1846,2.386912889562609e-08
1847,8.882119928443899e-09
1848,9.810598555759498e-09
1849,5.478522080437642e-09
1850,1.0181718579360677e-08
1851,6.890647163970698e-09
1852,4.514121076937272e-09
1853,2.0934230349212157e-08
1854,1.6250008005869176e-09
1855,3.5393099562242014e-09
1856,7.769753729292006e-09
1857,4.949182397240293e-09
1858,5.512683642905358e-09
1859,1.7742472380177787e-08
1860,5.0540940321752714e-09
1861,1.7741882629707106e-08
1862,1.0662643212810963e-08
1863,1.494382573241637e-08
1864,3.558660921498813e-09
1865,6.2404463818666045e-09
1866,3.341651677590818e-10
1867,2.307660951217372e-09
1868,3.0958586805240884e-09
1869,5.264514602032477e-09
1870,2.4198976156242225e-09
1871,5.959955640122416e-09
1872,4.156518240705509e-09
1873,9.756622176837482e-09
1874,5.680648729189386e-10
1875,1.433309915199743e-09
1876,5.461225249803192e-09
1877,8.067365442343544e-09
1878,1.0108987424928273e-08
1879,9.391336597275313e-09
1880,1.957293704890617e-08
1881,7.365927867652999e-09
1882,3.397114056724604e-08
