,music
1800,4.364518463262357e-05
1801,3.351463601575233e-05
1802,3.198617559974082e-05
1803,3.14992867060937e-05
1804,3.417128027649596e-05
1805,3.358578396728262e-05
1806,4.1061379306484014e-05
1807,3.9261954952962697e-05
1808,3.5662291338667274e-05
1809,2.91983214992797e-05
1810,4.011691635241732e-05
1811,2.9777680538245477e-05
1812,2.7882684662472457e-05
1813,3.5652421502163634e-05
1814,4.346017522038892e-05
1815,3.379846384632401e-05
1816,2.81415614153957e-05
1817,3.5496970667736605e-05
1818,3.937656219932251e-05
1819,4.462345896172337e-05
1820,4.2399955418659374e-05
1821,3.882424789480865e-05
1822,4.318586434237659e-05
1823,4.9393303925171494e-05
1824,5.885303835384548e-05
1825,5.476107253343798e-05
1826,5.050212348578498e-05
1827,5.837426215293817e-05
1828,4.599545354722068e-05
1829,4.393630297272466e-05
1830,4.567863652482629e-05
1831,4.493425876717083e-05
1832,3.284795457147993e-05
1833,4.490197170525789e-05
1834,4.780600647791289e-05
1835,4.7143083065748215e-05
1836,4.238079418428242e-05
1837,4.126986823393963e-05
1838,5.1625822379719466e-05
1839,5.016473733121529e-05
1840,4.6026139898458496e-05
1841,5.064388824393973e-05
1842,5.0012185965897515e-05
1843,4.601862747222185e-05
1844,4.794096093974076e-05
1845,4.5005857828073204e-05
1846,4.5005243009654805e-05
1847,4.4678934500552714e-05
1848,4.612849807017483e-05
1849,4.450568667380139e-05
1850,4.928672933601774e-05
1851,4.782492032973096e-05
1852,4.74291191494558e-05
1853,5.211294046603143e-05
1854,5.848182991030626e-05
1855,4.906368485535495e-05
1856,4.935482866130769e-05
1857,5.36791849299334e-05
1858,4.6526314690709114e-05
1859,5.366854747990146e-05
1860,4.687705586547963e-05
1861,4.80651760881301e-05
1862,5.28380878677126e-05
1863,4.64612094219774e-05
1864,4.70953164040111e-05
1865,5.227894871495664e-05
1866,4.659565820475109e-05
1867,5.1297985919518396e-05
1868,4.784958946402185e-05
1869,5.21818692504894e-05
1870,4.741819793707691e-05
1871,5.1489627367118374e-05
1872,4.547978824120946e-05
1873,5.6322616728721187e-05
1874,5.012064866605215e-05
1875,5.9740643337136135e-05
1876,4.9619327910477296e-05
1877,4.7089208237593994e-05
1878,5.478032471728511e-05
