,west
1800,6.167391984490678e-05
1801,7.247327448567376e-05
1802,7.959956565173343e-05
1803,5.736783714382909e-05
1804,6.507267244160175e-05
1805,7.182107219705358e-05
1806,6.488199142040685e-05
1807,7.458597247023135e-05
1808,7.047387771308422e-05
1809,7.15958813088946e-05
1810,7.537152851000428e-05
1811,6.860530993435532e-05
1812,5.9683839936042204e-05
1813,8.338425686815754e-05
1814,8.448228618362918e-05
1815,8.797759801382199e-05
1816,5.300254269968718e-05
1817,6.925332127138972e-05
1818,8.342287765117362e-05
1819,9.683481039246544e-05
1820,7.350845407927409e-05
1821,6.831935024820268e-05
1822,0.00010206458682660013
1823,6.677876808680594e-05
1824,7.220815314212814e-05
1825,6.569144898094237e-05
1826,7.108034333214164e-05
1827,8.477538358420134e-05
1828,7.8020770160947e-05
1829,0.00010316089901607484
1830,8.075214282143861e-05
1831,7.119958900148049e-05
1832,9.120786126004532e-05
1833,7.690027996432036e-05
1834,8.447496657026932e-05
1835,8.212980173993856e-05
1836,8.12201396911405e-05
1837,8.535323286196217e-05
1838,8.570933277951553e-05
1839,8.965539745986462e-05
1840,8.237326983362436e-05
1841,9.178613981930539e-05
1842,0.00010298810957465321
1843,8.701819024281576e-05
1844,8.203895413316786e-05
1845,9.009557834360749e-05
1846,8.952300413511693e-05
1847,8.615656406618655e-05
1848,8.146346954163164e-05
1849,8.289916877401993e-05
1850,8.545473247068003e-05
1851,8.6177111370489e-05
1852,7.730244396952912e-05
1853,8.448756125289947e-05
1854,8.888624870451167e-05
1855,8.895701466826722e-05
1856,8.933561912272125e-05
1857,8.449421147815883e-05
1858,7.969392754603177e-05
1859,8.599881402915344e-05
1860,8.509746112395078e-05
1861,8.251950930571184e-05
1862,8.204178448067978e-05
1863,7.60508410166949e-05
1864,6.912936078151688e-05
1865,7.821502367733046e-05
1866,8.155868999892846e-05
1867,8.289184188470244e-05
1868,8.065083238761872e-05
1869,8.351006545126438e-05
1870,8.65766778588295e-05
1871,8.670763054396957e-05
1872,8.396083285333589e-05
1873,9.428415796719491e-05
1874,9.649575804360211e-05
1875,9.628602856537327e-05
1876,0.00010609440505504608
1877,9.888252679957077e-05
1878,0.00010407623631181195
1879,9.78837488219142e-05
1880,0.00010668669710867107
1881,0.000109411463199649
1882,0.00010479461343493313
1883,0.00010504243255127221
1884,0.00010822182230185717
1885,0.0001079367648344487
1886,0.00011056826770072803
1887,0.00010039668995887041
1888,0.00010180657409364358
1889,0.00010246712918160483
1890,0.00010550367005635053
1891,0.00010435844887979329
1892,0.00010156803909922019
1893,9.717415377963334e-05
1894,9.693855099612847e-05
1895,9.659261559136212e-05
1896,9.617875912226737e-05
1897,0.00010023287177318707
1898,9.8295888165012e-05
1899,9.422309813089669e-05
1900,9.401383431395516e-05
1901,9.32084076339379e-05
1902,9.73233109107241e-05
1903,0.00010359409498050809
1904,0.00010283033770974725
1905,0.00010304326860932633
1906,0.00011154109961353242
1907,0.00011351986177032813
1908,0.00010794932313729078
1909,0.00010386951180407777
1910,0.00010627238953020424
1911,0.00012161247286712751
1912,0.00010784651385620236
1913,0.0001044446398736909
1914,0.00010340784501750022
1915,0.00010163441038457677
1916,9.63145139394328e-05
1917,8.805920515442267e-05
1918,8.636771235615015e-05
1919,8.240295574069023e-05
1920,8.20010100142099e-05
1921,7.713693776167929e-05
1922,8.031757170101628e-05
1923,9.197124745696783e-05
1924,8.909468306228518e-05
1925,9.369067993247882e-05
1926,9.419886919204146e-05
1927,8.823262032819912e-05
1928,8.947913738666102e-05
1929,8.940150291891769e-05
1930,8.863800030667335e-05
1931,8.12064899946563e-05
1932,8.454131602775306e-05
1933,8.192148379748687e-05
1934,8.51945296744816e-05
1935,9.178549225907773e-05
1936,8.134906966006383e-05
1937,8.458476077066734e-05
1938,8.140480349538848e-05
1939,7.29952153051272e-05
1940,7.840942998882383e-05
1941,7.390477549051866e-05
1942,7.240026752697304e-05
1943,7.218863174784929e-05
1944,7.64120850362815e-05
1945,7.171885954448953e-05
1946,6.969361857045442e-05
1947,6.996675074333325e-05
1948,7.184590504039079e-05
1949,8.949244511313736e-05
1950,7.702636503381655e-05
1951,7.331625238293782e-05
1952,6.978010787861422e-05
1953,7.603398989886045e-05
1954,6.924290210008621e-05
1955,6.807580211898312e-05
1956,6.95818307576701e-05
1957,7.037249451968819e-05
1958,6.834583473391831e-05
1959,6.893944373587146e-05
1960,6.793934880988672e-05
1961,6.519048474729061e-05
1962,6.568893877556548e-05
1963,6.715658673783764e-05
1964,6.550933903781697e-05
1965,6.51212249067612e-05
1966,6.414612289518118e-05
1967,6.0516063967952505e-05
1968,5.9996265918016434e-05
1969,5.837704156874679e-05
1970,5.775549652753398e-05
1971,5.77732571400702e-05
1972,5.6753829994704574e-05
1973,5.6550343288108706e-05
1974,5.408905781223439e-05
1975,5.227968722465448e-05
1976,5.290123226586729e-05
1977,4.920155697618611e-05
1978,4.8690046241972595e-05
1979,4.900582644040696e-05
1980,4.767460995935835e-05
1981,4.771174644702114e-05
1982,4.394189454615116e-05
1983,4.7076158807612956e-05
1984,4.632431591744535e-05
1985,4.5082411816110834e-05
1986,4.263386654201895e-05
1987,4.4331922254059464e-05
1988,4.351950701675378e-05
1989,4.2943771404679865e-05
1990,4.278506094124168e-05
1991,4.377535151434131e-05
1992,4.369103044155054e-05
1993,4.314285979489796e-05
1994,4.321047163102776e-05
1995,4.240971975377761e-05
1996,4.6083107008598745e-05
1997,4.455830276128836e-05
1998,4.546077980194241e-05
1999,4.3895644921576604e-05
2000,4.512479790719226e-05
2001,4.429968248587102e-05
2002,4.208215614198707e-05
2003,4.185088619124144e-05
2004,4.214164073346183e-05
2005,4.004203583463095e-05
2006,4.0103750507114455e-05
2007,4.0339720726478845e-05
2008,3.9476275560446084e-05
2009,3.931964602088556e-05
2010,4.230370177538134e-05
2011,3.8997102819848806e-05
2012,3.442891829763539e-05
2013,3.4834403777495027e-05
2014,3.656306944321841e-05
2015,3.600476338760927e-05
2016,3.469094735919498e-05
2017,3.517999721225351e-05
2018,3.299105810583569e-05
2019,3.400516288820654e-05
