,j
1800,0.00014861109957564622
1801,0.00014570806524716318
1802,0.00015468675701413304
1803,9.342300472781062e-05
1804,0.00010419428872410208
1805,0.00010429765825392678
1806,9.420382411917672e-05
1807,9.126242366619408e-05
1808,7.087377889547497e-05
1809,6.661155202891678e-05
1810,6.531886901939288e-05
1811,7.132210885174572e-05
1812,6.427733751479536e-05
1813,0.00010618990199873224
1814,5.8054090914083645e-05
1815,5.723531648982316e-05
1816,5.779034472652711e-05
1817,4.703041850007139e-05
1818,4.932987576466985e-05
1819,4.8397436330560595e-05
1820,4.3441064917715266e-05
1821,4.5383727410808206e-05
1822,4.290811557439156e-05
1823,4.304167305235751e-05
1824,4.272629303159192e-05
1825,3.851965448120609e-05
1826,4.211509076412767e-05
1827,4.107331551495008e-05
1828,3.8119633245514706e-05
1829,3.516281140036881e-05
1830,3.246760388719849e-05
1831,3.175332676619291e-05
1832,3.3900170819833875e-05
1833,3.2209791243076324e-05
1834,2.9214999813120812e-05
1835,3.147422103211284e-05
1836,3.207686677342281e-05
1837,3.311601540190168e-05
1838,2.9402192012639716e-05
1839,2.769111961242743e-05
1840,3.1286173907574266e-05
1841,3.139377076877281e-05
1842,3.24202082992997e-05
1843,3.152494173264131e-05
1844,3.0351669920491986e-05
1845,3.336912777740508e-05
1846,3.1433806725544855e-05
1847,3.296201612101868e-05
1848,3.3038824767572805e-05
1849,3.2097748771775514e-05
1850,4.529506986727938e-05
1851,4.595028076437302e-05
1852,4.794749111169949e-05
1853,4.413002170622349e-05
1854,4.894632365903817e-05
1855,4.379117308417335e-05
1856,4.5899651013314724e-05
1857,4.263049049768597e-05
1858,4.314410034567118e-05
1859,4.1057475755224004e-05
1860,4.193718632450327e-05
1861,3.967205702792853e-05
1862,4.1543364204699174e-05
1863,3.9501228457083926e-05
1864,3.731769902515225e-05
1865,3.6161047319183126e-05
1866,3.6816647480009124e-05
1867,3.809519694186747e-05
1868,3.6096163967158645e-05
1869,3.913826003554277e-05
1870,3.9193870179587975e-05
1871,3.710668534040451e-05
1872,3.5903449315810576e-05
1873,3.634193853940815e-05
1874,3.519190431688912e-05
1875,3.4167813282692805e-05
1876,3.4269734896952286e-05
1877,3.416167601244524e-05
1878,3.563502468750812e-05
1879,3.6042070860276e-05
1880,3.762774576898664e-05
1881,3.514157288009301e-05
1882,3.648891652119346e-05
1883,3.559065953595564e-05
1884,3.41068152920343e-05
1885,3.37219717039261e-05
1886,3.1304112781072035e-05
1887,3.0786392017034814e-05
1888,3.112720514764078e-05
1889,3.2317719160346314e-05
1890,3.1708128517493606e-05
1891,3.441031731199473e-05
1892,2.9558350433944725e-05
1893,3.116287189186551e-05
1894,3.0514462196151726e-05
1895,3.2069914595922455e-05
1896,2.9377828468568623e-05
1897,2.892478005378507e-05
1898,2.8161559384898283e-05
1899,2.6899662771029398e-05
1900,2.7616539227892645e-05
1901,2.9758648452116176e-05
1902,3.0787039577262476e-05
1903,2.96970501949545e-05
1904,2.8798031053156592e-05
1905,2.9674241886823438e-05
1906,2.5239938622689806e-05
1907,2.5687877496238798e-05
1908,2.548846896388568e-05
1909,2.2690279365633614e-05
1910,2.208440491813235e-05
1911,2.1500825823750347e-05
1912,2.0457191567402333e-05
1913,2.1399226170615293e-05
1914,1.9638280718936585e-05
1915,1.912556035676971e-05
1916,1.9183175027137622e-05
1917,2.0230419977451675e-05
1918,1.9181630705134012e-05
1919,1.975451596081257e-05
1920,1.9628574591479264e-05
1921,2.058007703453768e-05
1922,2.085639425786212e-05
1923,2.3121237973100506e-05
1924,2.5042580091394484e-05
1925,2.471035077178385e-05
1926,2.5716664822539315e-05
1927,2.481520459696185e-05
1928,2.384833715041168e-05
1929,2.329809831280727e-05
1930,2.3058602891978808e-05
1931,2.2936397726880386e-05
1932,2.3106540538719855e-05
1933,2.2939813788980246e-05
1934,2.3740374672343023e-05
1935,2.3590095224790275e-05
1936,2.3656402845517732e-05
1937,2.4293973183375783e-05
1938,2.5353971068398096e-05
1939,2.4847833628882654e-05
1940,2.4149567252607085e-05
1941,2.3481206881115213e-05
1942,2.6157371394219808e-05
1943,2.479712748026941e-05
1944,2.572352605056949e-05
1945,2.5859308152575977e-05
1946,2.603028406156227e-05
1947,2.5322295186924748e-05
1948,2.562958798080217e-05
1949,2.4873736037989147e-05
1950,2.5834893676801585e-05
1951,2.699809556361288e-05
1952,2.6023068130598404e-05
1953,2.767168916761875e-05
1954,2.7679807317326777e-05
1955,2.6536223231232725e-05
1956,2.7031581339542754e-05
1957,2.6841540602617897e-05
1958,2.7327172574587166e-05
1959,2.9625773095176555e-05
1960,2.9084392735967413e-05
1961,2.9754697607131675e-05
1962,2.91017258859938e-05
1963,3.0071802029851824e-05
1964,3.153206125716679e-05
1965,3.1307365134125575e-05
1966,3.1808474886929616e-05
1967,3.235767871956341e-05
1968,3.224455576855689e-05
1969,3.366848613950424e-05
1970,3.291424218332395e-05
1971,3.661545633804053e-05
1972,3.235520125599578e-05
1973,3.3263473596889526e-05
1974,3.227269553462975e-05
1975,3.591498898458667e-05
1976,3.245960033382289e-05
1977,3.094989369856194e-05
1978,3.113216735073365e-05
1979,3.122496491414495e-05
1980,2.9376711609074846e-05
1981,3.064101474592462e-05
1982,2.9579256079159677e-05
1983,2.9783337595290504e-05
1984,2.891076474043075e-05
1985,3.130104232695885e-05
1986,2.830766243278049e-05
1987,2.968626722577028e-05
1988,2.940629747172352e-05
1989,3.737696897587739e-05
1990,2.8116059183957987e-05
1991,2.758504888333846e-05
1992,2.8667363949352875e-05
1993,2.8004169507767074e-05
1994,3.167783506796695e-05
1995,3.129529795842245e-05
1996,2.9353048375924118e-05
1997,2.9728493245784193e-05
1998,2.9083757908665575e-05
1999,2.973050686705392e-05
2000,2.9718588848481886e-05
2001,2.9450844522216357e-05
2002,2.7340744054527022e-05
2003,2.959772973554209e-05
2004,2.9080540116410702e-05
2005,3.0044171580811962e-05
2006,3.155806189170107e-05
2007,3.269991066190414e-05
2008,3.6665551306214184e-05
2009,3.2433024898637086e-05
2010,3.235422991565429e-05
2011,3.232256494811736e-05
2012,3.188134724041447e-05
2013,3.61812963092234e-05
2014,3.604666198953055e-05
2015,3.62756873073522e-05
2016,4.841828558710404e-05
2017,5.237487130216323e-05
2018,5.646490535582416e-05
2019,5.411862730397843e-05
