,south
1921,8.135406096698716e-05
1922,8.432501635979861e-05
1923,9.930363739840686e-05
1924,9.818794205784798e-05
1925,0.00010005152580561116
1926,0.00010130741429748014
1927,9.463199239689857e-05
1928,9.693688480183482e-05
1929,9.689116996014491e-05
1930,9.737699292600155e-05
1931,8.856951171765104e-05
1932,9.141301416093484e-05
1933,8.860572415869683e-05
1934,9.247825801139697e-05
1935,9.871558722807094e-05
1936,8.945821900852025e-05
1937,9.370499174110591e-05
1938,8.875531057128683e-05
1939,7.915023888926953e-05
1940,8.403035462833941e-05
1941,7.957043271744624e-05
1942,7.959120557643473e-05
1943,7.754762191325426e-05
1944,8.056825754465535e-05
1945,7.740339788142592e-05
1946,7.753205863991752e-05
1947,7.594909402541816e-05
1948,7.871857087593526e-05
1949,9.475977276451886e-05
1950,8.584313764004037e-05
1951,8.055127545958385e-05
1952,7.914094749139622e-05
1953,8.470141619909555e-05
1954,7.89386685937643e-05
1955,7.58276873966679e-05
1956,7.729228673269972e-05
1957,7.948818529257551e-05
1958,7.802884647389874e-05
1959,7.68666504882276e-05
1960,7.74718209868297e-05
1961,7.583275873912498e-05
1962,7.723347516730428e-05
1963,7.86727323429659e-05
1964,7.731404912192374e-05
1965,7.951629959279671e-05
1966,7.602135156048462e-05
1967,7.152632315410301e-05
1968,7.163819100242108e-05
1969,6.849204510217533e-05
1970,6.872569065308198e-05
1971,7.016665040282533e-05
1972,6.808726175222546e-05
1973,6.792668864363804e-05
1974,6.56893098494038e-05
1975,6.295077764661983e-05
1976,6.451983063016087e-05
1977,5.979454726912081e-05
1978,5.9109537687618285e-05
1979,5.953530489932746e-05
1980,5.849890658282675e-05
1981,5.8578618336468935e-05
1982,5.436957872007042e-05
1983,5.8037567214341834e-05
1984,5.693980710930191e-05
1985,5.616636190097779e-05
1986,5.3274285164661705e-05
1987,5.5522428738186136e-05
1988,5.5587275710422546e-05
1989,5.396813139668666e-05
1990,5.395732296165079e-05
1991,5.451881588669494e-05
1992,5.517997487913817e-05
1993,5.4022009862819687e-05
1994,5.440461973194033e-05
1995,5.371920997276902e-05
1996,5.720808985643089e-05
1997,5.606318882200867e-05
1998,5.735947343055159e-05
1999,5.544101077248342e-05
2000,5.708107346436009e-05
2001,5.587919076788239e-05
2002,5.36541010660585e-05
2003,5.3562980610877275e-05
2004,5.390812657424249e-05
2005,5.165218681213446e-05
2006,5.2251936722313985e-05
2007,5.258199234958738e-05
2008,5.177033017389476e-05
2009,5.109442281536758e-05
2010,5.6607663282193244e-05
2011,5.162839079275727e-05
2012,4.601841646945104e-05
2013,4.642291969503276e-05
2014,4.836115476791747e-05
2015,4.821237234864384e-05
2016,4.676934622693807e-05
2017,4.653417272493243e-05
2018,4.312284727348015e-05
2019,4.4863278162665665e-05
