,south
1800,6.588843098143116e-05
1801,8.031522884266451e-05
1802,7.885521335992962e-05
1803,5.825826519867405e-05
1804,6.963621126487851e-05
1805,7.830605318304151e-05
1806,7.599991658935323e-05
1807,8.515050285495818e-05
1808,7.111372542567551e-05
1809,7.596124487463385e-05
1810,8.02968061179854e-05
1811,7.110463047865778e-05
1812,6.700406083837152e-05
1813,9.365129517391324e-05
1814,9.746996511239558e-05
1815,0.00010062006913358346
1816,5.747532122768462e-05
1817,7.791547250235453e-05
1818,8.678932499606162e-05
1819,0.00010452786227688193
1820,7.832417759345844e-05
1821,7.471715798601508e-05
1822,0.0001076385160558857
1823,7.353279215749353e-05
1824,8.015768980840221e-05
1825,7.191342592705041e-05
1826,7.587756408611313e-05
1827,9.219504136126488e-05
1828,8.584606985095888e-05
1829,0.00011326571257086471
1830,8.53615056257695e-05
1831,8.118162804748863e-05
1832,0.00010091000149259344
1833,8.280573092633858e-05
1834,8.826079283608124e-05
1835,8.975501987151802e-05
1836,9.061994205694646e-05
1837,9.569090616423637e-05
1838,9.800261614145711e-05
1839,9.88777173915878e-05
1840,9.201595821650699e-05
1841,0.00010531998850638047
1842,0.00011816008191090077
1843,9.479651635047048e-05
1844,9.363158460473642e-05
1845,9.789752948563546e-05
1846,9.677968046162277e-05
1847,9.285882697440684e-05
1848,9.097087604459375e-05
1849,9.055448754224926e-05
1850,9.630760177969933e-05
1851,9.332309855381027e-05
1852,8.573143713874742e-05
1853,9.19860030990094e-05
1854,0.00010283362644258887
1855,0.00010325051698600873
1856,0.00010345427290303633
1857,9.274909098166972e-05
1858,8.829922444419935e-05
1859,9.590711124474183e-05
1860,9.568477980792522e-05
1861,9.35997159103863e-05
1862,9.330708417110145e-05
1863,8.948491449700668e-05
1864,8.185789920389652e-05
1865,9.318663796875626e-05
1866,0.00010017403110396117
1867,9.14796328288503e-05
1868,8.833041647449136e-05
1869,9.114082786254585e-05
1870,9.446463809581473e-05
1871,9.540007158648223e-05
1872,8.768147381488234e-05
1873,0.00010198863310506567
1874,0.00010295976971974596
1875,0.00010735777323134243
1876,0.00011469774472061545
1877,0.0001074720494216308
1878,0.00011527615424711257
1879,0.00010519879288040102
1880,0.00011280250328127295
1881,0.00011899199307663366
1882,0.00011188065400347114
1883,0.00011350806016707793
1884,0.00011640725278994069
1885,0.00011962359712924808
1886,0.00011985784658463672
1887,0.00010687830217648298
1888,0.00010802721953950822
1889,0.00010777909483294934
1890,0.00011344641825417057
1891,0.00011402530799387023
1892,0.0001120906526921317
1893,0.00010631467739585787
1894,0.00010087957343785092
1895,0.00010356671555200592
1896,0.00010266185563523322
1897,0.00010600891982903704
1898,0.00010669073526514694
1899,0.00010093244054587558
1900,0.00010067135735880584
1901,0.0001009604602586478
1902,0.00010701490100473166
1903,0.00010753717651823536
1904,0.00010728456982178614
1905,0.00010917188046732917
1906,0.00011697620357153937
1907,0.00011935654765693471
1908,0.00011280715989414603
1909,0.00010936350736301392
1910,0.00011526479647727683
1911,0.00012880656868219376
1912,0.0001132219476858154
1913,0.00010687888425309211
1914,0.0001100681911339052
1915,0.00010617656516842544
1916,0.00010228090832242742
1917,9.28820445551537e-05
1918,9.012129885377362e-05
1919,8.823574898997322e-05
1920,8.7690947111696e-05
