,available
1800,7.802002983225975e-06
1801,2.750355179159669e-06
1802,2.0690504243248142e-06
1803,1.7895030168801895e-06
1804,1.4431701629291638e-06
1805,2.0390934878378175e-06
1806,1.8280078393217991e-06
1807,2.2978440483711893e-06
1808,1.7395796021446586e-06
1809,1.855097025327268e-06
1810,1.6461526683997363e-06
1811,2.17805086322187e-06
1812,2.6481964141567005e-06
1813,1.522512434348755e-06
1814,1.855617711044033e-06
1815,2.5181334422086366e-06
1816,3.5779501104116207e-06
1817,3.1901638521958375e-06
1818,3.2123161872732453e-06
1819,3.1869144550000783e-06
1820,3.408788643355365e-06
1821,3.5968105294159614e-06
1822,3.2972252483887132e-06
1823,3.8134535316203255e-06
1824,3.6310148061602376e-06
1825,4.93897687192657e-06
1826,8.308372343890369e-06
1827,5.213379154156428e-06
1828,6.72980968374759e-06
1829,6.272585778788198e-06
1830,6.381525963661261e-06
1831,8.126967259158846e-06
1832,3.885085243382491e-05
1833,8.612671081209555e-06
1834,9.116682122112252e-06
1835,1.2539024282887112e-05
1836,1.081026130123064e-05
1837,1.177494505100185e-05
1838,1.1540828381839674e-05
1839,1.1749100849556271e-05
1840,1.2110829629818909e-05
1841,1.4246048522181809e-05
1842,1.2284094736969564e-05
1843,1.2074102414771914e-05
1844,1.2272533240320627e-05
1845,1.2870857972302474e-05
1846,1.3368548025027849e-05
1847,1.54188928718213e-05
1848,1.6201502148760483e-05
1849,1.5964869817253202e-05
1850,1.5498695574933663e-05
1851,1.6271114873234183e-05
1852,1.6610085367574356e-05
1853,1.599574534338899e-05
1854,1.6190857422770932e-05
1855,1.799102028599009e-05
1856,1.7673150068731047e-05
1857,1.9311710275360383e-05
1858,2.0964000214007683e-05
1859,2.1799933165311813e-05
1860,1.924801108543761e-05
1861,2.040397157543339e-05
1862,2.1696345356758684e-05
1863,2.2660817194264382e-05
1864,2.2010712200426497e-05
1865,2.331664836674463e-05
1866,2.2909362087375484e-05
1867,2.3146498278947547e-05
1868,2.3327604139922187e-05
1869,2.7373309421818703e-05
1870,2.43568738369504e-05
1871,2.5369023205712438e-05
1872,2.467613921908196e-05
1873,2.6887180865742266e-05
1874,2.8802309316233732e-05
1875,2.721196142374538e-05
1876,2.8985181415919214e-05
1877,3.3066458854591474e-05
1878,3.1256990041583776e-05
1879,3.152188583044335e-05
1880,3.204309905413538e-05
1881,3.22099331242498e-05
1882,3.6637266020989046e-05
1883,3.536160511430353e-05
1884,3.748704693862237e-05
1885,3.846599065582268e-05
1886,3.947321602026932e-05
1887,3.71571586583741e-05
1888,3.7965059163980186e-05
1889,4.0375471144216135e-05
1890,3.9159156585810706e-05
1891,4.0099246689351276e-05
1892,3.9587430364917964e-05
1893,4.095572148798965e-05
1894,4.3492716940818354e-05
1895,4.271416401024908e-05
1896,4.1093411709880456e-05
1897,4.2387793655507267e-05
1898,4.47320744569879e-05
1899,4.335883932071738e-05
1900,5.034510468249209e-05
