,mail
1800,1.0822005606314633e-05
1801,9.608015716366936e-06
1802,9.05419892660575e-06
1803,7.77756667957874e-06
1804,8.04144838184584e-06
1805,1.0529745850362815e-05
1806,6.729722372256219e-06
1807,7.0964088081382215e-06
1808,7.558173365396215e-06
1809,6.1516825553553645e-06
1810,5.516954388440354e-06
1811,5.540684924199013e-06
1812,5.3559174375550356e-06
1813,5.9100334510731045e-06
1814,6.928623861313099e-06
1815,8.871114914654754e-06
1816,6.6290522227063775e-06
1817,5.975157819193555e-06
1818,6.765332727809437e-06
1819,8.366649126401171e-06
1820,8.255697139247786e-06
1821,7.792671567585785e-06
1822,9.610769666323904e-06
1823,9.973171472665854e-06
1824,7.6003848334949e-06
1825,1.2755748684867285e-05
1826,8.259210517280735e-06
1827,8.491809239785653e-06
1828,9.933847650245298e-06
1829,1.1543980690476019e-05
1830,1.1584540516196284e-05
1831,9.544919521431439e-06
1832,2.0882493117824197e-05
1833,1.1126424396934453e-05
1834,2.6644511308404617e-05
1835,1.7674557966529392e-05
1836,1.485169559600763e-05
1837,1.4060512512514833e-05
1838,1.3946584658697248e-05
1839,1.3374250556807965e-05
1840,1.3363057405513246e-05
1841,1.4574630768038332e-05
1842,1.2930207958561368e-05
1843,1.4165641914587468e-05
1844,1.3251240488898475e-05
1845,1.539998993393965e-05
1846,1.5161486771830823e-05
1847,1.436379079677863e-05
1848,1.537741263746284e-05
1849,1.690900171524845e-05
1850,1.8592241758597083e-05
1851,1.7889651644509286e-05
1852,2.232383303635288e-05
1853,1.5981124306563288e-05
1854,2.1645011656801216e-05
1855,2.1289302821969613e-05
1856,1.9906785382772796e-05
1857,2.153177047148347e-05
1858,2.8125712560722604e-05
1859,2.4725353796384297e-05
1860,2.2933119907975197e-05
1861,2.0877356291748583e-05
1862,2.1277090127114207e-05
1863,2.053964817605447e-05
1864,1.9893705029971898e-05
1865,1.97759745788062e-05
1866,2.163485623896122e-05
1867,2.1415422452264465e-05
1868,2.3448652427759953e-05
1869,2.1418833057396114e-05
1870,2.0328046957729384e-05
1871,2.0643090465455316e-05
1872,2.110984678438399e-05
1873,2.2653990527032875e-05
1874,2.1221199858700857e-05
1875,2.0802486687898636e-05
1876,2.4016011593630537e-05
1877,2.4366501747863367e-05
1878,2.5772302251425572e-05
1879,2.4254870368167758e-05
1880,2.303098517586477e-05
1881,1.9755165340029635e-05
1882,2.6092035113833845e-05
1883,1.9887795133399777e-05
1884,2.2111384168965742e-05
1885,2.232507904409431e-05
1886,2.2134161554276943e-05
1887,2.2716407329426147e-05
1888,2.348604357393924e-05
1889,2.424162084935233e-05
1890,2.233645318483468e-05
1891,2.3729180611553602e-05
1892,2.6620065909810364e-05
1893,2.5732673748279922e-05
1894,2.2611617168877274e-05
1895,2.510729609639384e-05
1896,2.4474500605720095e-05
1897,2.6831849027075805e-05
1898,2.490149017830845e-05
1899,2.6348463507019915e-05
1900,2.7611988116404973e-05
1901,3.0255130695877597e-05
1902,2.3546592274215072e-05
1903,2.4263490558951162e-05
1904,2.5070134142879397e-05
1905,2.616229721752461e-05
1906,2.753434637270402e-05
1907,2.966914871649351e-05
1908,2.7755158953368664e-05
1909,2.663448321982287e-05
1910,2.8980666684219614e-05
1911,2.8655631467700005e-05
1912,3.065057535422966e-05
1913,3.1577797926729545e-05
1914,3.250976078561507e-05
1915,2.922794737969525e-05
1916,3.28050009557046e-05
1917,3.48618341377005e-05
1918,3.51387461705599e-05
1919,3.493048279779032e-05
1920,3.282149918959476e-05
1921,3.216120239812881e-05
1922,3.1066916562849656e-05
1923,3.0318344215629622e-05
1924,3.4942644560942426e-05
1925,3.288367952336557e-05
1926,3.176044629071839e-05
1927,3.1206880521494895e-05
1928,4.0178216295316815e-05
1929,3.48247958754655e-05
1930,3.582074714358896e-05
1931,3.52225688402541e-05
1932,4.131441528443247e-05
1933,3.433605525060557e-05
1934,3.915179695468396e-05
1935,3.528915112838149e-05
