,september
1800,8.730624045938384e-08
1801,1.741756534556771e-07
1802,1.6821548598500158e-08
1803,5.186965168491042e-08
1804,1.462672543084409e-07
1805,3.9505540172513065e-08
1806,3.1940995626200674e-08
1807,5.552411508347177e-08
1808,1.6359683385758217e-08
1809,8.687283070685226e-08
1810,3.8078262321050715e-08
1811,2.9655762290303755e-08
1812,1.7730631185486345e-08
1813,1.0831501384700459e-07
1814,8.531575446113493e-08
1815,7.352214481670671e-08
1816,5.1598522787799084e-08
1817,5.412015724459707e-08
1818,6.083932646561152e-08
1819,6.522924422824872e-08
1820,5.397448532562521e-08
1821,1.35350362029385e-07
1822,5.260410418372885e-08
1823,7.325627393584e-08
1824,5.3092907847940296e-08
1825,2.7948233949359746e-08
1826,4.9161968718181015e-08
1827,2.910404361955443e-08
1828,3.1907433140077046e-08
1829,7.216542741161902e-08
1830,4.6115637530874665e-08
1831,5.328905672286055e-08
1832,5.607887487713015e-08
1833,4.80334882979605e-08
1834,6.177494782377835e-08
1835,6.735321989026488e-08
1836,5.8889479959134405e-08
1837,4.825797361718287e-08
1838,6.97915751857181e-08
1839,4.413597309849138e-08
1840,4.987226986941096e-08
1841,5.556514537374824e-08
1842,4.190713553953174e-08
1843,7.566155346694359e-08
1844,5.829134863688523e-08
1845,5.3639219288470485e-08
1846,5.141043146750235e-08
1847,4.768295980284165e-08
1848,4.905299277879749e-08
1849,5.387213164453897e-08
1850,2.9272440471572736e-08
1851,5.053141194366617e-08
1852,3.874620446708832e-08
1853,3.6551828230813044e-08
1854,2.1775010239366566e-08
1855,4.03481337230005e-08
1856,3.6484060217389924e-08
1857,2.828104150864874e-08
1858,4.593903213390149e-08
1859,5.287952831167786e-08
1860,3.638947632111922e-08
1861,2.9435394566235118e-08
1862,3.4546964400306024e-08
1863,6.148317055476582e-08
1864,3.163254191917986e-08
1865,2.3401673487910557e-08
1866,4.811978371321857e-08
1867,2.769193230278688e-08
1868,2.8481899505550246e-08
1869,3.189676434089961e-08
1870,4.688551769049809e-08
1871,2.5094550437643193e-08
1872,3.297504491683867e-08
1873,2.7200281138561877e-08
1874,2.7551147141480214e-08
1875,2.5799577585416955e-08
1876,3.058286068835514e-08
1877,3.672041870572684e-08
1878,2.639568918993973e-08
1879,3.756534638910125e-08
1880,3.8901212917608063e-08
1881,3.479766164105058e-08
1882,2.8838810450793062e-08
1883,4.581114865231939e-08
1884,4.595950642283242e-08
1885,4.0382335697586313e-08
1886,4.699540312458339e-08
1887,8.115901550809212e-08
1888,1.2718000164113619e-07
1889,7.608939966985417e-08
1890,9.110919307886434e-08
1891,6.880324576741259e-08
1892,4.7631029786998624e-08
1893,2.6914614537076886e-08
1894,5.932690427812304e-08
1895,5.316776352515262e-08
1896,6.715559663916792e-08
1897,5.458877083697189e-08
1898,5.601901520435604e-08
1899,1.1287160361916904e-07
1900,1.0845109699175737e-07
1901,1.5391968588573945e-07
1902,5.737380703862982e-08
1903,7.23547017855708e-08
1904,7.761205722545128e-08
1905,3.215687911506393e-07
1906,5.634487720840298e-08
1907,6.5697896900474e-08
1908,7.161451520687478e-08
1909,6.277363695517124e-08
1910,9.342416262825282e-08
1911,5.7162353073181293e-08
1912,6.945628427956763e-08
1913,6.594938639636894e-08
1914,6.369743488221502e-08
1915,6.235543281718492e-08
1916,6.075185865483945e-08
1917,6.445871747473575e-08
1918,7.531046719577716e-08
1919,7.175222549449245e-08
1920,6.432617283280706e-08
1921,5.989369356029783e-08
1922,6.224958326583874e-08
1923,7.211074404267492e-08
1924,8.068031576158319e-08
1925,5.731102703521174e-08
1926,5.379659739901399e-08
1927,6.820933151630015e-08
1928,6.312620115522805e-08
1929,7.525608936020944e-08
1930,5.602736408150122e-08
1931,7.72785426761402e-08
1932,6.9207224839829e-08
1933,6.194231616518664e-08
1934,8.0430410775989e-08
1935,5.9580980149576135e-08
1936,7.978769644978456e-08
1937,5.8191794494177884e-08
1938,1.1433390056936332e-07
1939,9.174782888976551e-08
1940,1.6573724792579014e-07
1941,1.656651420489652e-07
1942,9.723606098077653e-08
1943,1.02012350566838e-07
1944,9.324314476089057e-08
