,september
1945,1.0182409226899836e-07
1946,1.0482094836561373e-07
1947,1.7170944488498208e-07
1948,1.0274380457531151e-07
1949,8.363412007383886e-08
1950,9.619603247301711e-08
1951,1.2065760301993578e-07
1952,8.916330784813908e-08
1953,8.646107119147928e-08
1954,8.641939075459959e-08
1955,9.277056278733653e-08
1956,7.918357880498661e-08
1957,8.362642489601058e-08
1958,7.568898752197128e-08
1959,9.088210362051541e-08
1960,1.2586977504724928e-07
1961,8.372921911359299e-08
1962,8.648898131013993e-08
1963,9.583072824170813e-08
1964,9.005580636767263e-08
1965,2.420162559246819e-07
1966,9.948423951300356e-08
1967,9.398908673574624e-08
1968,1.0854009957483868e-07
1969,9.977497938962188e-08
1970,1.4171828865983116e-07
1971,1.2262766801995895e-07
1972,1.1612499406510324e-07
1973,1.3136724419382517e-07
1974,2.0595126670741593e-07
1975,1.6032662131237885e-07
1976,2.3019025263693038e-07
1977,1.4645951296188287e-07
1978,1.5434811473369336e-07
1979,1.4851325147446914e-07
1980,1.6422839621554886e-07
1981,1.3377386665069935e-07
1982,1.206150841426279e-07
1983,1.1865740390248902e-07
1984,1.234272559713645e-07
1985,2.3667868731536146e-07
1986,1.2923294434585841e-07
1987,9.570472769837579e-08
1988,2.625100989916973e-07
1989,9.913776466419222e-08
1990,1.109450877834206e-07
1991,1.1688436529766477e-07
1992,9.797082611839869e-08
1993,8.812482832354362e-08
1994,9.88215020925054e-08
1995,9.695579450408331e-08
1996,8.490355440926578e-08
1997,8.758415503962169e-08
1998,6.876385327814205e-08
1999,7.794992029630521e-08
2000,7.731392770438106e-08
2001,6.600544111279305e-08
2002,6.484030734554835e-08
2003,6.760542703432293e-08
2004,7.205507301932812e-08
2005,6.93348738423083e-08
2006,9.33003860836834e-08
2007,1.0159706675949565e-07
2008,1.4301599549071398e-07
2009,2.3442122198957804e-07
2010,3.4707284157775575e-07
2011,4.4237657448320533e-07
2012,3.3086132589232875e-07
2013,3.2543198358325753e-07
2014,4.52940099648913e-07
2015,4.4555770273291273e-07
2016,5.972918302177277e-07
2017,4.363702714726969e-07
2018,2.601345840957947e-07
2019,2.7797065627055417e-07
