,add
1800,7.720253051957116e-05
1801,8.939261897467077e-05
1802,8.818276546662673e-05
1803,7.79428009991534e-05
1804,8.530956256436184e-05
1805,7.966747944010422e-05
1806,7.9823010310065e-05
1807,8.28270276542753e-05
1808,7.742673915345222e-05
1809,7.855475996620953e-05
1810,8.110523776849732e-05
1811,7.57622328819707e-05
1812,7.947122503537685e-05
1813,7.98022301751189e-05
1814,8.259549213107675e-05
1815,8.008566510397941e-05
1816,7.056776667013764e-05
1817,7.938695489428937e-05
1818,7.685899618081748e-05
1819,8.060604159254581e-05
1820,7.220706902444363e-05
1821,7.946570258354768e-05
1822,7.719231507508084e-05
1823,7.817889127181843e-05
1824,7.92110149632208e-05
1825,7.777644350426272e-05
1826,7.51037587178871e-05
1827,7.569680019514635e-05
1828,7.67816964071244e-05
1829,7.96722961240448e-05
1830,7.789224036969244e-05
1831,7.75394364609383e-05
1832,6.205766840139404e-05
1833,7.370405364781618e-05
1834,7.446937524946406e-05
1835,7.299539720406756e-05
1836,7.392708357656375e-05
1837,7.534523319918662e-05
1838,7.306943007279187e-05
1839,6.835138628957793e-05
1840,6.829356425441802e-05
1841,6.908937939442694e-05
1842,6.93955589667894e-05
1843,6.848904740763828e-05
1844,6.797261448809877e-05
1845,6.978675082791597e-05
1846,7.028494292171672e-05
1847,7.390951941488311e-05
1848,6.855645915493369e-05
1849,7.108108547981828e-05
1850,7.149941666284576e-05
1851,7.045571692287922e-05
1852,7.059408380882815e-05
1853,7.044733501970768e-05
1854,6.961893814150244e-05
1855,6.843538722023368e-05
1856,6.729417509632185e-05
1857,6.708016007905826e-05
1858,6.769538595108315e-05
1859,6.731007306370884e-05
1860,6.899613072164357e-05
1861,7.051914144540206e-05
1862,6.998361641308293e-05
1863,6.739153468515724e-05
1864,7.02321485732682e-05
1865,7.044176891213283e-05
1866,6.828631740063429e-05
1867,6.646590918535367e-05
1868,6.614116136915982e-05
1869,6.654346361756325e-05
1870,6.509917875519022e-05
1871,6.894414400449023e-05
1872,6.661180668743327e-05
1873,6.562274938914925e-05
1874,6.780109833925962e-05
1875,6.589957047253847e-05
1876,6.447222403949127e-05
1877,6.367654714267701e-05
1878,6.538970774272457e-05
1879,6.377039244398475e-05
1880,6.435361137846485e-05
1881,6.388469046214595e-05
1882,6.465734622906893e-05
1883,6.411742651835084e-05
1884,6.371114432113245e-05
1885,6.300824315985665e-05
1886,6.311752804322168e-05
1887,6.276923522818834e-05
1888,6.23754967818968e-05
1889,6.196168396854773e-05
1890,6.034233592799865e-05
1891,6.073095937608741e-05
1892,6.0037080402253196e-05
1893,5.861046884092502e-05
1894,6.0706301155732945e-05
1895,5.6292548833880574e-05
1896,5.86980240768753e-05
1897,5.833219984197058e-05
1898,5.553218215936795e-05
1899,5.665978096658364e-05
1900,5.749923730036244e-05
1901,5.532181603484787e-05
1902,5.8334117056801915e-05
1903,5.5576630984432995e-05
1904,5.518049147212878e-05
1905,5.5875709222164005e-05
1906,5.56965205760207e-05
1907,5.692356717190705e-05
1908,5.642166797770187e-05
1909,5.870790118933655e-05
1910,5.3940813813824207e-05
1911,5.480889740283601e-05
1912,5.4654090490657836e-05
1913,5.497922393260524e-05
1914,5.547723776544444e-05
1915,5.5585125664947554e-05
1916,5.69644253118895e-05
1917,5.9034773585153744e-05
1918,5.54914258827921e-05
1919,5.523341314983554e-05
1920,5.691341357305646e-05
1921,5.498039899975993e-05
1922,5.4958523833192885e-05
1923,5.387419514590874e-05
1924,5.53691279492341e-05
1925,5.209487790125422e-05
1926,5.024739584769122e-05
1927,5.398606299422681e-05
1928,5.049435640103184e-05
1929,5.5571726989001036e-05
1930,5.1475301006576046e-05
1931,5.457078441395424e-05
1932,4.984778934158385e-05
1933,5.439831511466764e-05
1934,5.1740807975875214e-05
1935,5.4291842388920486e-05
1936,5.3394833230413496e-05
1937,5.585846156463958e-05
1938,5.0994633056689054e-05
1939,5.781784057035111e-05
1940,5.314588634064421e-05
1941,5.7659082813188434e-05
1942,5.694513311027549e-05
1943,5.929770486545749e-05
1944,5.6299941206816584e-05
1945,5.8303707191953436e-05
1946,5.6273682275786996e-05
1947,6.244460382731631e-05
1948,5.823839455842972e-05
1949,5.6509790738346055e-05
1950,5.609155778074637e-05
1951,6.012638550600968e-05
1952,5.529279951588251e-05
1953,5.813097959617153e-05
1954,5.4057876695878804e-05
1955,6.219447823241353e-05
1956,5.451245669974014e-05
1957,5.966201570117846e-05
1958,5.585725375567563e-05
1959,5.807007983094081e-05
1960,5.3228464821586385e-05
1961,5.7848392316373065e-05
1962,5.376215267460793e-05
1963,5.774183227913454e-05
1964,5.127208714839071e-05
1965,5.600209260592237e-05
1966,5.3091029258212075e-05
1967,5.58786814508494e-05
1968,5.396238702815026e-05
1969,5.478514503920451e-05
1970,5.62979475944303e-05
1971,5.568096094066277e-05
1972,5.5372645874740556e-05
1973,5.5575404985575005e-05
1974,5.4409167205449194e-05
1975,6.0195157857378945e-05
1976,5.345255704014562e-05
1977,5.781238360214047e-05
1978,5.266699372441508e-05
1979,5.814496034872718e-05
1980,5.4444943089038134e-05
1981,5.513436917681247e-05
1982,5.224772394285537e-05
1983,5.861626414116472e-05
1984,5.558210614253767e-05
1985,5.964961746940389e-05
1986,5.418016007752158e-05
1987,5.794772005174309e-05
1988,5.342242729966529e-05
1989,5.680328104062937e-05
1990,5.343934753909707e-05
1991,5.606645572697744e-05
1992,5.318642797647044e-05
1993,5.663807314704172e-05
1994,5.480174513650127e-05
1995,5.798219353891909e-05
1996,5.595040784101002e-05
1997,6.145389488665387e-05
1998,5.854500341229141e-05
1999,6.328342715278268e-05
2000,5.8549234381644055e-05
2001,6.042668974259868e-05
2002,6.157699681352824e-05
2003,6.485076301032677e-05
2004,6.338259117910638e-05
2005,6.101777034928091e-05
2006,6.354420474963263e-05
2007,6.467183266067877e-05
2008,6.632738950429484e-05
2009,6.889559153933078e-05
2010,7.618049858137965e-05
2011,7.400481990771368e-05
2012,6.600205233553424e-05
2013,6.549943645950407e-05
2014,6.394150841515511e-05
2015,6.45132822683081e-05
2016,6.167074025142938e-05
2017,5.775046520284377e-05
2018,5.692260310752317e-05
2019,5.8402005379321054e-05
