,a
1800,0.01421112660318613
1801,0.014351868070662022
1802,0.014142031781375408
1803,0.01359014306217432
1804,0.014106341637670994
1805,0.013996615074574947
1806,0.014184861443936825
1807,0.014344554394483566
1808,0.013996475376188755
1809,0.014071621932089329
1810,0.013898124918341637
1811,0.01381774339824915
1812,0.013439995236694813
1813,0.014225300401449203
1814,0.013869553804397583
1815,0.014071745797991753
1816,0.013535823673009872
1817,0.01419011689722538
1818,0.014195693656802177
1819,0.01448154915124178
1820,0.014063525944948196
1821,0.013952560722827911
1822,0.014290704391896725
1823,0.014554721303284168
1824,0.014509045518934727
1825,0.01429106667637825
1826,0.014319222420454025
1827,0.014426006935536861
1828,0.014263815246522427
1829,0.01437203586101532
1830,0.014357399195432663
1831,0.014414935372769833
1832,0.013664084486663342
1833,0.014479289762675762
1834,0.014364484697580338
1835,0.0144678158685565
1836,0.014318706467747688
1837,0.01418059691786766
1838,0.01420894917100668
1839,0.014271956868469715
1840,0.014062770642340183
1841,0.01426229439675808
1842,0.014396834187209606
1843,0.014142065308988094
1844,0.014104725793004036
1845,0.014184107072651386
1846,0.014203540049493313
1847,0.014169706031680107
1848,0.014275848865509033
1849,0.014291772618889809
1850,0.014244535937905312
1851,0.01423685159534216
1852,0.014424855820834637
1853,0.014389105141162872
1854,0.014331546612083912
1855,0.014418542385101318
1856,0.014417539350688457
1857,0.014380968175828457
1858,0.014125694520771503
1859,0.014299629256129265
1860,0.014302379451692104
1861,0.014125273562967777
1862,0.014211942441761494
1863,0.014272796921432018
1864,0.01422953512519598
1865,0.014155722223222256
1866,0.01409901399165392
1867,0.014138130471110344
1868,0.014172305352985859
1869,0.014255085028707981
1870,0.014148964546620846
1871,0.01415311824530363
1872,0.01418162789195776
1873,0.014280433766543865
1874,0.014175405725836754
1875,0.014139316976070404
1876,0.014194314368069172
1877,0.014070052653551102
1878,0.014249640516936779
1879,0.014260504394769669
1880,0.014289576560258865
1881,0.01420325506478548
1882,0.014333635568618774
1883,0.01440285611897707
1884,0.014312717132270336
1885,0.014240584336221218
1886,0.014251991175115108
1887,0.014130547642707825
1888,0.014246084727346897
1889,0.014042750932276249
1890,0.014330475591123104
1891,0.014143926091492176
1892,0.014288685284554958
1893,0.014369766227900982
1894,0.01429694052785635
1895,0.014157588593661785
1896,0.014286380261182785
1897,0.0142998481169343
1898,0.014420703984797001
1899,0.014320511370897293
1900,0.014294927008450031
1901,0.014121654443442822
1902,0.014149324968457222
1903,0.014252214692533016
1904,0.014307419769465923
1905,0.014234013855457306
1906,0.014095387421548367
1907,0.014099651016294956
1908,0.014174111187458038
1909,0.014103896915912628
1910,0.01422914583235979
1911,0.014017580077052116
1912,0.014072548598051071
1913,0.01385443564504385
1914,0.013943172059953213
1915,0.013864360749721527
1916,0.013919662684202194
1917,0.013697768561542034
1918,0.013683885335922241
1919,0.013628007844090462
1920,0.013761429116129875
1921,0.01365851704031229
1922,0.013881281018257141
1923,0.013600742444396019
1924,0.013625060208141804
1925,0.013476173393428326
1926,0.01370641216635704
1927,0.013478260487318039
1928,0.013534530065953732
1929,0.013362874276936054
1930,0.013400656171143055
1931,0.013122961856424809
1932,0.013348111882805824
1933,0.013100865297019482
1934,0.013270856812596321
1935,0.013165839947760105
1936,0.013248259201645851
1937,0.01320657879114151
1938,0.013209383003413677
1939,0.013074151240289211
1940,0.012998753227293491
1941,0.012870409525930882
1942,0.01305959653109312
1943,0.013001766055822372
1944,0.013211303390562534
1945,0.013048393651843071
1946,0.013202193193137646
1947,0.01324301678687334
1948,0.013287839479744434
1949,0.013094679452478886
1950,0.013309859670698643
1951,0.013219757005572319
1952,0.013349720276892185
1953,0.013297593221068382
1954,0.01341938879340887
1955,0.013274027034640312
1956,0.013356087729334831
1957,0.013294579461216927
1958,0.013379349373281002
1959,0.013355004601180553
1960,0.013324134051799774
1961,0.013309622183442116
1962,0.013333706185221672
1963,0.01328379288315773
1964,0.013233994133770466
1965,0.013236818835139275
1966,0.013344488106667995
1967,0.013297490775585175
1968,0.013409558683633804
1969,0.013279316946864128
1970,0.01323885191231966
1971,0.013122331351041794
1972,0.013141321949660778
1973,0.012894149869680405
1974,0.013056597672402859
1975,0.013011928647756577
1976,0.012912566773593426
1977,0.012847082689404488
1978,0.012731736525893211
1979,0.01278721634298563
1980,0.012896443717181683
1981,0.012799565680325031
1982,0.0129198944196105
1983,0.01303024496883154
1984,0.012954827398061752
1985,0.01288656797260046
1986,0.013026529923081398
1987,0.013109694235026836
1988,0.013124142773449421
1989,0.012999491766095161
1990,0.013146767392754555
1991,0.01315472275018692
1992,0.013166085816919804
1993,0.013042478822171688
1994,0.013169445097446442
1995,0.01326649822294712
1996,0.01346112322062254
1997,0.013658438809216022
1998,0.013776801526546478
1999,0.013906016945838928
2000,0.014061563648283482
2001,0.014151427894830704
2002,0.01421811431646347
2003,0.014317980967462063
2004,0.014453286305069923
2005,0.014481451362371445
2006,0.01458493247628212
2007,0.014677493833005428
2008,0.014861878007650375
2009,0.015174098312854767
2010,0.015263944864273071
2011,0.01534711942076683
2012,0.015018807724118233
2013,0.015176492743194103
2014,0.015330562368035316
2015,0.015244184993207455
2016,0.01513473130762577
2017,0.015046237967908382
2018,0.01483639981597662
2019,0.015060345642268658
