,november
1800,7.936931112340062e-09
1801,1.1341671068976211e-07
1802,1.2616161448875118e-08
1803,8.644941829061281e-08
1804,1.9502299153373315e-07
1805,3.0388875860154485e-09
1806,9.827998859179843e-09
1807,5.552411508347177e-08
1808,1.0906455294446005e-08
1809,3.2577311515069596e-08
1810,1.757458356621555e-08
1811,1.647542369198618e-08
1812,1.2664736814826938e-08
1813,8.695712239159548e-08
1814,1.312550068632845e-08
1815,2.0051494686867954e-08
1816,9.5049905723954e-09
1817,4.9732037155081343e-08
1818,1.3519849684229257e-09
1819,1.4643299017791378e-08
1820,9.595463978939733e-09
1821,9.14868181212114e-08
1822,0.0
1823,1.857201326060931e-08
1824,7.199038254412926e-09
1825,4.366911721120914e-09
1826,9.832393788045124e-10
1827,2.816520350279461e-09
1828,3.545270521598809e-09
1829,3.1520531962314635e-08
1830,1.0247919846051445e-08
1831,2.3169155483060422e-08
1832,1.229799906354856e-08
1833,6.671317942519295e-10
1834,2.5360241906469128e-08
1835,2.0861618210687993e-08
1836,5.773478362058881e-10
1837,8.72132055462771e-09
1838,6.451321699074697e-09
1839,8.932280692874883e-09
1840,2.7104494204621687e-09
1841,1.9234088100006375e-08
1842,6.896110793519483e-09
1843,5.291017401987119e-09
1844,7.837492432827275e-09
1845,4.384793328426895e-08
1846,6.8853256429690646e-09
1847,7.012200153866388e-09
1848,1.2146455397044065e-08
1849,1.2783218039658095e-08
1850,8.909003312851382e-09
1851,9.953156521191886e-09
1852,1.7304131461060024e-08
1853,2.2263387577936555e-08
1854,1.3000006404695341e-08
1855,1.2387585179851612e-08
1856,8.783199945128217e-09
1857,7.070260377162185e-09
1858,7.350244857207144e-09
1859,5.566266114698237e-09
1860,1.2803704763086898e-08
1861,5.645144351973386e-09
1862,5.118068635567852e-09
1863,3.501125078742007e-08
1864,6.3265082062002875e-09
1865,5.460390362088674e-09
1866,5.680807824148815e-09
1867,8.241646476392361e-09
1868,7.739646257221011e-09
1869,1.6103221867069806e-08
1870,1.4821872618142606e-08
1871,2.4153505862045677e-08
1872,1.4686364124827378e-08
1873,1.655669201738874e-08
1874,9.089037966703017e-09
1875,2.2646295505523995e-08
1876,2.2664085719270588e-08
1877,4.172775192046174e-08
1878,2.1902806679463538e-08
1879,2.6295740696014036e-08
1880,2.0306922365875835e-08
1881,3.403566850579409e-08
1882,4.88793396868914e-08
1883,2.2560264767435e-08
1884,2.209591620783158e-08
1885,2.404790677701385e-08
1886,2.630843276563155e-08
1887,7.432456783362795e-08
1888,3.839779694203571e-08
1889,3.4375414514897784e-08
1890,5.029382421639639e-08
1891,3.5724760039101966e-08
1892,2.711304780689261e-08
1893,2.585219505135683e-08
1894,5.251596135735781e-08
1895,2.7999591978300487e-08
1896,4.58466082875475e-08
1897,5.876411535155057e-08
1898,3.8531599244606696e-08
1899,1.1002267541471156e-07
1900,1.459018363902942e-07
1901,1.0391788407559943e-07
1902,2.8176913247079938e-08
1903,5.085068011112526e-08
1904,5.0141945706627666e-08
1905,3.9653723860055834e-08
1906,4.5745345289560646e-08
1907,4.683194632093546e-08
1908,4.52526869310077e-08
1909,1.4183800089995202e-07
1910,1.3885434668736707e-07
1911,4.0349895868985186e-08
1912,4.138437148526464e-08
1913,4.8787118345217095e-08
1914,4.0410199630969146e-08
1915,3.975410933776402e-08
1916,3.0225802305494653e-08
1917,2.8750635649998912e-08
1918,3.235560797065773e-08
1919,2.0229702357710266e-08
1920,3.186980634950487e-08
1921,3.855342001202189e-08
1922,5.916693623930769e-08
1923,4.709935907953877e-08
1924,3.4043157626229004e-08
1925,2.6035097633325677e-08
1926,3.678105997551029e-08
1927,4.7182396656353376e-08
1928,3.510589863253699e-08
1929,8.055129541162387e-08
1930,3.692712624570049e-08
1931,4.5185593933183554e-08
1932,4.425014665798699e-08
1933,6.80412526321561e-08
1934,6.0414620861593e-08
1935,5.0809337182045056e-08
1936,5.0921414640470175e-08
1937,5.614721843016923e-08
1938,6.611143987811374e-08
1939,7.137570889881317e-08
1940,1.424869111588123e-07
1941,1.33841595584272e-07
1942,6.360423299156537e-08
1943,5.145755821445164e-08
1944,5.096519828384771e-08
1945,3.5917402385621244e-08
1946,4.415094423393384e-08
1947,8.313233479384508e-08
1948,2.5620259691550018e-08
1949,4.5871345832892985e-08
1950,5.018419457769596e-08
1951,6.212430037066952e-08
1952,3.452251107205484e-08
1953,4.4888693651046196e-08
1954,4.089282157337948e-08
1955,3.447332019845817e-08
1956,5.282565851416621e-08
1957,3.901888945279097e-08
1958,3.6424054883354984e-08
1959,5.1663267441881544e-08
1960,1.014273109944952e-07
1961,6.02350525014117e-08
1962,5.3284804124587026e-08
1963,5.6697995631793674e-08
1964,2.637855232023867e-07
1965,2.9371875598371844e-07
1966,6.287958598250043e-08
1967,5.9175981448333914e-08
1968,6.466743940336528e-08
1969,6.542924779751047e-08
1970,8.420134633979615e-08
1971,8.25783956770465e-08
1972,8.370048476535885e-08
1973,9.324618588379963e-08
1974,9.35458643880338e-08
1975,9.063262496056268e-08
1976,7.904122867330443e-08
1977,6.815385944491936e-08
1978,5.8753329312821734e-08
1979,7.116259581607665e-08
1980,8.629996983700039e-08
1981,8.373718429766086e-08
1982,8.824245156802135e-08
1983,6.27024547839028e-08
1984,7.300954507627466e-08
1985,1.0920837922867577e-07
1986,8.762346226376394e-08
1987,6.977182920309133e-08
1988,2.452930232266226e-07
1989,8.569372056399516e-08
1990,1.2246090363987605e-07
1991,1.0286212415167029e-07
1992,7.431627579990163e-08
1993,6.953053599545456e-08
1994,7.201231966291743e-08
1995,7.758244890965216e-08
1996,7.281956726501448e-08
1997,6.186427725651811e-08
1998,6.017955200832148e-08
1999,6.228935944818659e-08
2000,6.342158087591088e-08
2001,5.985787510098817e-08
2002,7.045878902545155e-08
2003,7.200341656243836e-08
2004,7.280046787627725e-08
2005,7.801582313504696e-08
2006,9.781376064665892e-08
2007,1.1784694464722634e-07
2008,2.2325380655274785e-07
2009,3.038793465748313e-07
2010,3.926829776901286e-07
2011,5.32748231307778e-07
2012,4.4487532591119816e-07
2013,3.9575692767357395e-07
2014,6.284552114266262e-07
2015,6.440028528231778e-07
2016,7.429252946167253e-07
2017,6.149118121356878e-07
2018,2.818789823777479e-07
2019,3.1161627589426644e-07
