,security
1800,6.70075387461111e-05
1801,6.610574200749397e-05
1802,8.590344077674672e-05
1803,7.089140854077414e-05
1804,7.128415745683014e-05
1805,7.511825970141217e-05
1806,7.534144242526963e-05
1807,7.14146881364286e-05
1808,7.305325561901554e-05
1809,6.685588596155867e-05
1810,6.874151586089283e-05
1811,8.538387919543311e-05
1812,0.00010166870924877003
1813,8.252993575297296e-05
1814,7.294333045138046e-05
1815,7.593668124172837e-05
1816,8.599844295531511e-05
1817,8.544987940695137e-05
1818,7.680762064410374e-05
1819,8.032115874812007e-05
1820,7.537237252108753e-05
1821,6.557098095072433e-05
1822,6.383508298313245e-05
1823,6.706250860588625e-05
1824,6.272341852309182e-05
1825,6.789586768718436e-05
1826,7.913798617664725e-05
1827,7.131898746592924e-05
1828,7.492840813938528e-05
1829,7.079926581354812e-05
1830,6.558595487149432e-05
1831,6.723379920003936e-05
1832,7.036964234430343e-05
1833,6.930898962309584e-05
1834,6.656152982031927e-05
1835,6.224689423106611e-05
1836,7.112405728548765e-05
1837,6.895715341670439e-05
1838,6.862739974167198e-05
1839,6.667001434834674e-05
1840,6.65664701955393e-05
1841,5.959521877230145e-05
1842,5.659956514136866e-05
1843,6.698640208924189e-05
1844,5.7248962548328564e-05
1845,5.802486339234747e-05
1846,5.952777064521797e-05
1847,6.345479778246954e-05
1848,6.172969006001949e-05
1849,6.401561404345557e-05
1850,5.7183075114153326e-05
1851,6.074258635635488e-05
1852,5.727780080633238e-05
1853,6.217299960553646e-05
1854,5.6510052672820166e-05
1855,5.643854456138797e-05
1856,5.560035788221285e-05
1857,5.6190187024185434e-05
1858,5.455094651551917e-05
1859,5.5259803048102185e-05
1860,5.3854066209169105e-05
1861,5.294016227708198e-05
1862,5.011186294723302e-05
1863,5.0983209803234786e-05
1864,5.171445809537545e-05
1865,4.9655231123324484e-05
1866,5.132910519023426e-05
1867,5.0448765250621364e-05
1868,4.848145545111038e-05
1869,5.09923993377015e-05
1870,5.261341357254423e-05
1871,5.198179496801458e-05
1872,4.807151708519086e-05
1873,4.8073539801407605e-05
1874,4.5868964662076905e-05
1875,4.984822226106189e-05
1876,4.7843612264841795e-05
1877,5.054955181549303e-05
1878,4.920156789012253e-05
1879,4.864121729042381e-05
1880,4.889515184913762e-05
1881,5.0033700972562656e-05
1882,4.8336289182771e-05
1883,4.599900057655759e-05
1884,4.654063013731502e-05
1885,4.4172829802846536e-05
1886,4.994801929569803e-05
1887,4.738191273645498e-05
1888,4.6771765482844785e-05
1889,4.3825370084960014e-05
1890,4.3263713450869545e-05
1891,4.118384458706714e-05
1892,4.029859701404348e-05
1893,3.963424751418643e-05
1894,4.389958121464588e-05
1895,4.3816686229547486e-05
1896,4.1785147914197296e-05
1897,4.1085859265876934e-05
1898,4.339814040577039e-05
1899,4.079941936652176e-05
1900,3.883082536049187e-05
1901,4.126840576645918e-05
1902,3.8082183891674504e-05
1903,3.870053114951588e-05
1904,3.9703663787804544e-05
1905,3.9707476389594376e-05
1906,4.0102600905811414e-05
1907,3.9005684811854735e-05
1908,3.7171026633586735e-05
1909,3.6845842259936035e-05
1910,3.819766061496921e-05
1911,3.634593667811714e-05
1912,3.718371226568706e-05
1913,3.8742080505471677e-05
1914,4.1143062844639644e-05
1915,3.986106094089337e-05
1916,4.087148772669025e-05
1917,4.259749402990565e-05
1918,4.113345858058892e-05
1919,4.171291220700368e-05
1920,4.0730392356636e-05
1921,4.1585753933759406e-05
1922,4.310216900194064e-05
1923,4.000522312708199e-05
1924,4.059026832692325e-05
1925,3.968340388382785e-05
1926,3.727279181475751e-05
1927,4.04811289627105e-05
1928,3.769036629819311e-05
1929,3.797865065280348e-05
1930,4.1648389014881104e-05
1931,5.085534576210193e-05
1932,5.459600652102381e-05
1933,5.488775423145853e-05
1934,6.0726979427272454e-05
1935,6.140267214505002e-05
1936,6.371728522935882e-05
1937,5.9442289057187736e-05
1938,6.160652992548421e-05
1939,6.473820394603536e-05
1940,6.295439379755408e-05
1941,8.399724902119488e-05
1942,6.410435889847577e-05
1943,7.073338201735169e-05
