,copyright
1800,6.151121851871721e-07
1801,2.8354176606626424e-07
1802,3.868956071073626e-07
1803,3.976673497163574e-07
1804,1.8202146634394012e-07
1805,2.0360546670872282e-07
1806,2.997539638727176e-07
1807,3.288735967998946e-07
1808,4.108098039523611e-07
1809,2.5337911324641027e-07
1810,1.9478495971725351e-07
1811,2.075903324794126e-07
1812,4.711282315383869e-07
1813,9.733095112096635e-07
1814,5.135352125762438e-07
1815,5.196678785068798e-07
1816,4.1957744656428986e-07
1817,4.885441171609273e-07
1818,1.2695138593699085e-06
1819,9.98406790131412e-07
1820,5.109584435558645e-07
1821,5.764922548223694e-07
1822,8.574468779443123e-07
1823,8.739164059079485e-07
1824,1.3003262893107603e-06
1825,8.987104251900746e-07
1826,1.6577415635765647e-06
1827,1.0702776762627764e-06
1828,1.0538316246311297e-06
1829,1.2317892696955823e-06
1830,1.076031480806705e-06
1831,1.302878786191286e-06
1832,4.879354037257144e-06
1833,1.3923040569352452e-06
1834,1.929329300764948e-06
1835,1.310109610130894e-06
1836,1.5721182080596918e-06
1837,2.9774587346764747e-06
1838,3.808625933743315e-06
1839,3.020687017851742e-06
1840,4.618063485395396e-06
1841,3.3307030662399484e-06
1842,4.566816642181948e-06
1843,3.0550336305168457e-06
1844,2.1259197637846228e-06
1845,2.136203193003894e-06
1846,2.411700052107335e-06
1847,3.6510186873783823e-06
1848,2.9529901439673267e-06
1849,2.432920382489101e-06
1850,3.1117876915232046e-06
1851,4.182239990768721e-06
1852,3.685779802253819e-06
1853,2.9194943635957316e-06
1854,3.3215017083421117e-06
1855,3.530107733240584e-06
1856,2.900145091189188e-06
1857,2.052496711257845e-06
1858,3.0705648441653466e-06
1859,2.5503934466541978e-06
1860,2.588706820461084e-06
1861,2.350396243855357e-06
1862,4.752553195430664e-06
1863,4.583057943818858e-06
1864,3.790369191847276e-06
1865,2.9123382319085067e-06
1866,3.3192625323863467e-06
1867,3.210945351383998e-06
1868,3.950315658585168e-06
1869,4.285005161364097e-06
1870,3.752656311917235e-06
1871,4.082256054971367e-06
1872,3.0968831197242253e-06
1873,2.981682882818859e-06
1874,2.950244834210025e-06
1875,4.092386461707065e-06
1876,2.8138963443780085e-06
1877,3.657854676930583e-06
1878,5.504624368768418e-06
1879,7.2399152486468665e-06
1880,5.285671704768902e-06
1881,4.933901891490677e-06
1882,3.978778295277152e-06
1883,4.509520749707008e-06
1884,5.350967967387987e-06
1885,3.332450205562054e-06
1886,6.6731226979754865e-06
1887,4.2973697418347e-06
1888,6.2669673752679955e-06
1889,5.120778041600715e-06
1890,4.613491000782233e-06
1891,6.841008143965155e-06
1892,4.1759590203582775e-06
1893,4.680132860812591e-06
1894,4.387860826682299e-06
1895,5.123610662849387e-06
1896,6.040774678695016e-06
1897,5.273770057101501e-06
1898,5.470745691127377e-06
1899,5.77354512643069e-06
1900,5.16404088557465e-06
1901,4.6182221922208555e-06
1902,4.7310441004810855e-06
1903,5.531972419703379e-06
1904,5.369986411096761e-06
1905,5.231036993791349e-06
1906,7.931238542369101e-06
1907,5.057184353063349e-06
1908,5.164676622371189e-06
1909,6.421264970413176e-06
1910,5.906950264034094e-06
1911,5.728820269723656e-06
1912,7.939817805890925e-06
1913,5.734221758757485e-06
1914,5.107927790959366e-06
1915,5.179839263291797e-06
1916,4.326993348513497e-06
1917,6.46510716251214e-06
1918,4.3851887312484905e-06
1919,3.3538108255015686e-06
1920,3.5277723782201065e-06
1921,3.5710734209715156e-06
1922,3.888908395310864e-06
1923,3.836648829746991e-06
1924,4.798117515747435e-06
1925,6.392461727955379e-06
1926,7.381305749731837e-06
1927,6.849482360848924e-06
1928,6.284116807364626e-06
1929,5.305474132910604e-06
1930,5.916298960073618e-06
1931,5.800041890324792e-06
1932,6.9062084548932035e-06
1933,4.197973794362042e-06
1934,4.8686106310924515e-06
1935,6.50690526526887e-06
1936,1.0070763892144896e-05
1937,5.374248303269269e-06
1938,8.528530997864436e-06
1939,7.709162673563696e-06
1940,5.485510428115958e-06
1941,6.48865307084634e-06
1942,6.235654836928006e-06
1943,4.768400231114356e-06
1944,5.327214694261784e-06
1945,5.97484222453204e-06
1946,4.761844593303977e-06
1947,8.898878149921075e-06
1948,6.388509973476175e-06
1949,5.6852668421925046e-06
1950,7.2748539423628245e-06
1951,5.765350579167716e-06
1952,9.285007763537578e-06
1953,6.6991933636018075e-06
1954,7.518371148762526e-06
1955,9.294072697230149e-06
1956,9.124341886490583e-06
1957,8.212459761125501e-06
1958,7.392155566776637e-06
1959,7.462514076905791e-06
1960,1.2316415450186469e-05
1961,9.186803254124243e-06
1962,6.197560196596896e-06
1963,9.042848432727624e-06
1964,6.1234009081090335e-06
1965,9.274242984247394e-06
1966,8.771251486905385e-06
1967,1.0159194061998278e-05
1968,6.659141945419833e-06
1969,7.320566055568634e-06
1970,7.141698006307706e-06
1971,8.320826964336447e-06
1972,1.4549807929142844e-05
1973,9.058876457856968e-06
1974,9.242995474778581e-06
1975,9.58977125264937e-06
1976,1.3770450095762499e-05
1977,1.1588095730985515e-05
1978,1.1176188309036661e-05
1979,1.1607885426201392e-05
1980,1.3984977158543188e-05
1981,1.2013944797217846e-05
1982,1.4850788829789963e-05
1983,1.426236758561572e-05
1984,1.3452555322146509e-05
1985,1.6270700143650174e-05
1986,1.3932959518569987e-05
1987,1.536750278319232e-05
1988,1.5074886505317409e-05
1989,1.7080905308830552e-05
1990,1.3945423233963083e-05
1991,1.5901028746156953e-05
1992,1.4961970919102896e-05
1993,1.5322488252422772e-05
1994,1.5508308933931403e-05
1995,1.6107265764730982e-05
1996,1.7286327420151792e-05
1997,1.8794675270328298e-05
1998,1.8927989003714174e-05
1999,1.8305174307897687e-05
2000,1.681199501035735e-05
2001,1.8325124983675778e-05
2002,1.9882438209606335e-05
2003,1.748032809700817e-05
2004,1.734131365083158e-05
2005,1.822082958824467e-05
2006,1.6520993085578084e-05
2007,1.4948263014957774e-05
2008,1.5275756595656276e-05
2009,1.39808280437137e-05
2010,1.4824307982053142e-05
2011,1.3928047337685712e-05
2012,1.3446217963064555e-05
2013,1.4429968359763734e-05
2014,1.2702308595180511e-05
2015,1.2686732588917948e-05
2016,1.3366661733016372e-05
2017,1.2642299225262832e-05
2018,1.2893787243228871e-05
2019,1.2674979188886937e-05
